거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2025-06-30,당근(일반),92100.0,93950000.0,,0.0,,0.0,70441,30.7,118970818,-21.0
2025-06-29,당근(일반),,,18660.0,0.0,61350000.0,0.0,69392,0.0,116475650,0.0
2025-06-28,당근(일반),35800.0,32730000.0,86960.0,-58.8,270630000.0,-87.9,77075,-53.6,128745650,-74.6
2025-06-27,당근(일반),117980.0,112604500.0,62420.0,89.0,202909000.0,-44.5,69736,69.2,117912403,-4.5
2025-06-26,당근(일반),136280.0,142028500.0,63140.0,115.8,198042500.0,-28.3,68707,98.3,110790703,28.2
2025-06-25,당근(일반),104980.0,117718500.0,63620.0,65.0,203097000.0,-42.0,69444,51.2,115775146,1.7
2025-06-24,당근(일반),96420.0,109810500.0,85300.0,13.0,261981500.0,-58.1,73343,31.5,121961632,-10.0
2025-06-23,당근(일반),48040.0,49751000.0,,0.0,,0.0,71637,-32.9,117341217,-57.6
2025-06-22,당근(일반),,,25200.0,0.0,74552000.0,0.0,77651,0.0,129446250,0.0
2025-06-21,당근(일반),,,72120.0,0.0,193258500.0,0.0,79924,0.0,127215207,0.0
2025-06-20,당근(일반),91340.0,67569000.0,48580.0,88.0,138341500.0,-51.2,74522,22.6,124068113,-45.5
2025-06-19,당근(일반),104940.0,79122000.0,76040.0,38.0,206045500.0,-61.6,73154,43.5,125520577,-37.0
2025-06-18,당근(일반),104700.0,98734000.0,65720.0,59.3,175038000.0,-43.6,69050,51.6,121622000,-18.8
2025-06-17,당근(일반),137620.0,138580500.0,63780.0,115.8,196189500.0,-29.4,77254,78.1,122276633,13.3
2025-06-16,당근(일반),165720.0,177048500.0,,0.0,,0.0,82325,101.3,121391177,45.8
2025-06-15,당근(일반),,,19060.0,0.0,47342000.0,0.0,83217,0.0,131330817,0.0
2025-06-14,당근(일반),50860.0,59257000.0,73480.0,-30.8,215458000.0,-72.5,81534,-37.6,141239253,-58.0
