거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2015-06-30,마늘,6720.0,38432900.0,13880.0,-51.6,35221180.0,9.1,37351.0,-82.0,150200134.0,-74.4
2015-07-01,마늘,43620.0,184424750.0,13300.0,228.0,34074560.0,441.2,38868.0,12.2,161636777.0,14.1
2015-07-02,마늘,5880.0,35367070.0,40742.0,-85.6,135378190.0,-73.9,39557.0,-85.1,167588269.0,-78.9
2015-07-03,마늘,8800.0,47932050.0,9780.0,-10.0,25908060.0,85.0,41435.0,-78.8,171976066.0,-72.1
2015-07-04,마늘,8660.0,46765580.0,13340.0,-35.1,37557940.0,24.5,39894.0,-78.3,157149507.0,-70.2
2015-07-06,마늘,7918.0,48398040.0,,0.0,,0.0,37604.0,-78.9,148348971.0,-67.4
2015-07-07,마늘,9525.0,57083240.0,11630.0,-18.1,34589130.0,65.0,37677.0,-74.7,150072739.0,-62.0
2015-07-08,마늘,22728.0,88469680.0,10900.0,108.5,30700890.0,188.2,38137.0,-40.4,150186865.0,-41.1
2015-07-09,마늘,11420.0,66285380.0,9715.0,17.6,29946710.0,121.3,40912.0,-72.1,161004507.0,-58.8
2015-07-10,마늘,8203.0,53270360.0,17120.0,-52.1,44640290.0,19.3,41544.0,-80.3,162524161.0,-67.2
2015-07-11,마늘,10445.0,62999100.0,10570.0,-1.2,31073830.0,102.7,42112.0,-75.2,164837165.0,-61.8
2015-07-13,마늘,18933.0,109550750.0,,0.0,,0.0,44788.0,-57.7,176487889.0,-37.9
2015-07-14,마늘,12086.0,72451610.0,15300.0,-21.0,46618690.0,55.4,44605.0,-72.9,176766519.0,-59.0
2015-07-15,마늘,20768.0,126228740.0,11360.0,82.8,34066790.0,270.5,45261.0,-54.1,180065504.0,-29.9
2015-07-16,마늘,10210.0,60264900.0,13812.0,-26.1,40484740.0,48.9,46008.0,-77.8,183976438.0,-67.2
2015-07-17,마늘,19690.0,103889520.0,15260.0,29.0,45092770.0,130.4,45846.0,-57.1,183321493.0,-43.3
2015-07-18,마늘,10185.0,56441330.0,14082.0,-27.7,41921450.0,34.6,45298.0,-77.5,179828169.0,-68.6
2015-07-20,마늘,14634.0,82532220.0,,0.0,,0.0,43563.0,-66.4,170592707.0,-51.6
2015-07-21,마늘,6690.0,40086410.0,12872.0,-48.0,41144130.0,-2.6,42867.0,-84.4,165167531.0,-75.7
2015-07-22,마늘,8865.0,53485280.0,14800.0,-40.1,46039460.0,16.2,41741.0,-78.8,163900564.0,-67.4
2015-07-23,마늘,10886.0,59356100.0,11150.0,-2.4,35759050.0,66.0,42531.0,-74.4,166109873.0,-64.3
2015-07-24,마늘,9925.0,61608130.0,10020.0,-0.9,29303370.0,110.2,43227.0,-77.0,167982506.0,-63.3
2015-07-25,마늘,5227.0,29429500.0,21170.0,-75.3,63667580.0,-53.8,43400.0,-88.0,169854063.0,-82.7
2015-07-27,마늘,15981.0,94126700.0,,0.0,,0.0,42966.0,-62.8,172629803.0,-45.5
2015-07-28,마늘,9532.0,55583920.0,14400.0,-33.8,47282280.0,17.6,42809.0,-77.7,173454923.0,-68.0
2015-07-29,마늘,10458.0,60301400.0,10732.0,-2.6,37329140.0,61.5,44864.0,-76.7,183840079.0,-67.2
2015-07-30,마늘,14980.0,89764750.0,12212.0,22.7,42076980.0,113.3,44687.0,-66.5,183579889.0,-51.1
2015-07-31,마늘,9315.0,57647600.0,15860.0,-41.3,55377100.0,4.1,44368.0,-79.0,183719553.0,-68.6
2015-08-01,마늘,3220.0,19771390.0,13022.0,-75.3,44417380.0,-55.5,40356.0,-92.0,173622961.0,-88.6
2015-08-03,마늘,12640.0,63610200.0,,0.0,,0.0,36043.0,-64.9,140129523.0,-54.6
2015-08-04,마늘,36672.0,152354440.0,16520.0,122.0,53988660.0,182.2,36789.0,-0.3,143392048.0,6.3
2015-08-05,마늘,9836.0,57963190.0,12383.0,-20.6,41456650.0,39.8,36840.0,-73.3,143689853.0,-59.7
2015-08-06,마늘,7305.0,42017270.0,13648.0,-46.5,45426650.0,-7.5,41295.0,-82.3,157356311.0,-73.3
2015-08-07,마늘,9056.0,55048080.0,9000.0,0.6,30588940.0,80.0,43675.0,-79.3,169707666.0,-67.6
2015-08-08,마늘,6525.0,38928200.0,39782.0,-83.6,140117220.0,-72.2,44743.0,-85.4,172426785.0,-77.4
2015-08-10,마늘,12232.0,72672430.0,,0.0,,0.0,44517.0,-72.5,168299384.0,-56.8
2015-08-11,마늘,9280.0,54572750.0,14448.0,-35.8,50443810.0,8.2,42702.0,-78.3,163484891.0,-66.6
2015-08-12,마늘,9792.0,59292330.0,9952.0,-1.6,34992161.0,69.4,41606.0,-76.5,166918895.0,-64.5
2015-08-13,마늘,9200.0,53093680.0,16200.0,-43.2,55325820.0,-4.0,42926.0,-78.6,172622433.0,-69.2
2015-08-14,마늘,9272.0,56788250.0,7900.0,17.4,28390250.0,100.0,42347.0,-78.1,170221563.0,-66.6
2015-08-15,마늘,6620.0,40707490.0,9192.0,-28.0,32311960.0,26.0,40983.0,-83.8,164766458.0,-75.3
2015-08-17,마늘,13202.0,78369060.0,,0.0,,0.0,42210.0,-68.7,165695793.0,-52.7
2015-08-18,마늘,10120.0,61704910.0,14590.0,-30.6,53505680.0,15.3,41721.0,-75.7,162244976.0,-62.0
2015-08-19,마늘,12240.0,71292630.0,9780.0,25.2,35382210.0,101.5,41079.0,-70.2,163946327.0,-56.5
2015-08-20,마늘,12240.0,72363880.0,9658.0,26.7,34371210.0,110.5,42197.0,-71.0,169034189.0,-57.2
2015-08-21,마늘,9662.0,58125600.0,8820.0,9.5,31241960.0,86.0,40409.0,-76.1,165213491.0,-64.8
