거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2025-06-30,영양부추,5047.0,15886900.0,,0.0,,0.0,4181.0,20.7,16535047.0,-3.9
2025-06-29,영양부추,,,3601.0,0.0,11812400.0,0.0,4195.0,0.0,17585967.0,0.0
2025-06-28,영양부추,4332.0,13463100.0,3574.0,21.2,11340250.0,18.7,4193.0,3.3,17639880.0,-23.7
2025-06-27,영양부추,3862.0,13493300.0,3908.0,-1.2,12324100.0,9.5,4056.0,-4.8,17177590.0,-21.4
2025-06-26,영양부추,3551.0,13693600.0,4418.0,-19.6,17762350.0,-22.9,3911.0,-9.2,16313925.0,-16.1
2025-06-25,영양부추,3451.0,12225700.0,3974.0,-13.2,17900950.0,-31.7,3785.0,-8.8,15706375.0,-22.2
2025-06-24,영양부추,4017.0,12495600.0,3381.0,18.8,16680150.0,-25.1,3758.0,6.9,16012645.0,-22.0
2025-06-23,영양부추,5288.0,18724600.0,,0.0,,0.0,3855.0,37.2,16691338.0,12.2
2025-06-22,영양부추,,,2728.0,0.0,12552750.0,0.0,3976.0,0.0,17969162.0,0.0
2025-06-21,영양부추,3134.0,13942400.0,2140.0,46.4,9161550.0,52.2,4020.0,-22.0,19069175.0,-26.9
2025-06-20,영양부추,2967.0,12756500.0,2576.0,15.2,8633650.0,47.8,3974.0,-25.3,19841634.0,-35.7
2025-06-19,영양부추,3386.0,14019450.0,3345.0,1.2,10553050.0,32.8,3868.0,-12.5,19796572.0,-29.2
2025-06-18,영양부추,3710.0,17117500.0,3731.0,-0.6,11195850.0,52.9,3783.0,-1.9,19478583.0,-12.1
2025-06-17,영양부추,3895.0,20320150.0,3775.0,3.2,11253500.0,80.6,3844.0,1.3,19079852.0,6.5
2025-06-16,영양부추,3751.0,25773650.0,,0.0,,0.0,3948.0,-5.0,18483182.0,39.4
2025-06-15,영양부추,,,3368.0,0.0,9426350.0,0.0,4009.0,0.0,18140867.0,0.0
2025-06-14,영양부추,3030.0,18902700.0,3447.0,-12.1,11163025.0,69.3,3977.0,-23.8,17974473.0,5.2
2025-06-13,영양부추,3190.0,18165350.0,3595.0,-11.3,14663450.0,23.9,3969.0,-19.6,17841029.0,1.8
2025-06-12,영양부추,3384.0,16320550.0,3563.0,-5.0,17604550.0,-7.3,3864.0,-12.4,18368154.0,-11.1
2025-06-11,영양부추,3662.0,17229950.0,3694.0,-0.9,23266350.0,-25.9,3769.0,-2.8,18573039.0,-7.2
2025-06-10,영양부추,3454.0,16188350.0,4028.0,-14.3,27199900.0,-40.5,3753.0,-8.0,19022429.0,-14.9
2025-06-09,영양부추,3598.0,20411350.0,,0.0,,0.0,3765.0,-4.4,19635095.0,4.0
2025-06-08,영양부추,,,2066.0,0.0,18311900.0,0.0,3832.0,0.0,19114008.0,0.0
2025-06-07,영양부추,3660.0,17483075.0,2579.0,41.9,16459050.0,6.2,4012.0,-8.8,18205961.0,-4.0
2025-06-06,영양부추,4623.0,15814500.0,2992.0,54.5,15681950.0,0.8,4172.0,10.8,17511764.0,-9.7
2025-06-05,영양부추,4614.0,16924850.0,3180.0,45.1,18273300.0,-7.4,4263.0,8.2,17851834.0,-5.2
2025-06-04,영양부추,4318.0,15855200.0,3136.0,37.7,18653800.0,-15.0,4355.0,-0.8,18177233.0,-12.8
