거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2023-11-24,쑥갓(일반),116.0,195800.0,280.0,-58.6,420000.0,-53.4,19310.0,-99.4,25757200.0,-99.2
2023-11-23,쑥갓(일반),76.0,116800.0,240.0,-68.3,93000.0,25.6,19192.0,-99.6,26323633.0,-99.6
2023-11-22,쑥갓(일반),120.0,225000.0,240.0,-50.0,153000.0,47.1,19232.0,-99.4,26194193.0,-99.1
2023-11-21,쑥갓(일반),40.0,90000.0,220.0,-81.8,254000.0,-64.6,19361.0,-99.8,25665173.0,-99.6
2023-11-20,쑥갓(일반),200.0,500000.0,,0.0,,0.0,19791.0,-99.0,24813577.0,-98.0
2023-11-19,쑥갓(일반),,,612.0,0.0,836000.0,0.0,20319.0,0.0,25738633.0,0.0
2023-11-18,쑥갓(일반),,,200.0,0.0,157500.0,0.0,21229.0,0.0,27465673.0,0.0
2023-11-17,쑥갓(일반),168.0,336000.0,388.0,-56.7,185200.0,81.4,20689.0,-99.2,28000536.0,-98.8
2023-11-16,쑥갓(일반),,,296.0,0.0,140600.0,0.0,20442.0,0.0,26741814.0,0.0
2023-11-15,쑥갓(일반),80.0,160000.0,236.0,-66.1,185700.0,-13.8,21016.0,-99.6,26286541.0,-99.4
2023-11-14,쑥갓(일반),40.0,130000.0,224.0,-82.1,207600.0,-37.4,20644.0,-99.8,26964684.0,-99.5
2023-11-13,쑥갓(일반),,,,0.0,,0.0,19843.0,0.0,27594011.0,0.0
2023-11-12,쑥갓(일반),,,,0.0,,0.0,19376.0,0.0,28789165.0,0.0
2023-11-11,쑥갓(일반),40.0,50000.0,,0.0,,0.0,19109.0,-99.8,28663660.0,-99.8
2023-11-10,쑥갓(일반),80.0,90000.0,,0.0,,0.0,19037.0,-99.6,27721923.0,-99.7
2023-11-09,쑥갓(일반),104.0,78000.0,280.0,-62.9,455000.0,-82.9,19148.0,-99.5,26246109.0,-99.7
2023-11-08,쑥갓(일반),136.0,136000.0,,0.0,,0.0,19658.0,-99.3,25702805.0,-99.5
2023-11-07,쑥갓(일반),40.0,40000.0,528.0,-92.4,924000.0,-95.7,19710.0,-99.8,25864022.0,-99.8
2023-11-06,쑥갓(일반),176.0,220000.0,,0.0,,0.0,19601.0,-99.1,27103775.0,-99.2
2023-11-05,쑥갓(일반),,,320.0,0.0,560000.0,0.0,19293.0,0.0,28383504.0,0.0
2023-11-04,쑥갓(일반),,,,0.0,,0.0,19075.0,0.0,29092919.0,0.0
2023-11-03,쑥갓(일반),40.0,110000.0,88.0,-54.5,77000.0,42.9,18799.0,-99.8,28782125.0,-99.6
2023-11-02,쑥갓(일반),40.0,60000.0,,0.0,,0.0,18880.0,-99.8,27376417.0,-99.8
2023-11-01,쑥갓(일반),48.0,60000.0,,0.0,,0.0,19203.0,-99.8,27009817.0,-99.8
2023-10-31,쑥갓(일반),,,,0.0,,0.0,19131.0,0.0,26178318.0,0.0
2023-10-30,쑥갓(일반),80.0,110000.0,,0.0,,0.0,19614.0,-99.6,25457271.0,-99.6
2023-10-29,쑥갓(일반),,,80.0,0.0,94000.0,0.0,20341.0,0.0,25629718.0,0.0
2023-10-28,쑥갓(일반),40.0,40000.0,88.0,-54.5,66000.0,-39.4,20860.0,-99.8,26412839.0,-99.8
2023-10-27,쑥갓(일반),,,272.0,0.0,189000.0,0.0,20882.0,0.0,25526042.0,0.0
2023-10-26,쑥갓(일반),96.0,102000.0,804.0,-88.1,829500.0,-87.7,21127.0,-99.5,25032368.0,-99.6
2023-10-25,쑥갓(일반),244.0,343300.0,680.0,-64.1,1343500.0,-74.4,21386.0,-98.9,25602655.0,-98.7
2023-10-24,쑥갓(일반),40.0,90000.0,160.0,-75.0,276000.0,-67.4,21090.0,-99.8,26666498.0,-99.7
2023-10-23,쑥갓(일반),208.0,468000.0,,0.0,,0.0,20827.0,-99.0,28164175.0,-98.3
2023-10-22,쑥갓(일반),,,224.0,0.0,187600.0,0.0,20615.0,0.0,29647390.0,0.0
2023-10-21,쑥갓(일반),,,,0.0,,0.0,20001.0,0.0,30965620.0,0.0
2023-10-20,쑥갓(일반),120.0,108000.0,160.0,-25.0,526000.0,-79.5,19155.0,-99.4,31592120.0,-99.7
