거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2025-06-30,애호박,234696.0,443176500.0,,0.0,,0.0,176792.0,32.8,244749557.0,81.1
2025-06-29,애호박,,,163417.0,0.0,238730000.0,0.0,175793.0,0.0,249631583.0,0.0
2025-06-28,애호박,135848.0,318365500.0,166552.0,-18.4,247040400.0,28.9,177613.0,-23.5,248446623.0,28.1
2025-06-27,애호박,99192.0,230194500.0,165978.0,-40.2,245821500.0,-6.4,178917.0,-44.6,253387230.0,-9.2
2025-06-26,애호박,121106.0,261074000.0,158556.0,-23.6,229780500.0,13.6,180181.0,-32.8,260373503.0,0.3
2025-06-25,애호박,162576.0,355984000.0,159428.0,2.0,215235500.0,65.4,177352.0,-8.3,250127847.0,42.3
2025-06-24,애호박,154528.0,409601000.0,257156.0,-39.9,302788500.0,35.3,181413.0,-14.8,249591609.0,64.1
2025-06-23,애호박,175848.0,415016000.0,,0.0,,0.0,182782.0,-3.8,254635277.0,63.0
2025-06-22,애호박,,,167736.0,0.0,201032000.0,0.0,187650.0,0.0,262624627.0,0.0
2025-06-21,애호박,153024.0,312980500.0,159918.0,-4.3,185659000.0,68.6,187967.0,-18.6,276942609.0,13.0
2025-06-20,애호박,139992.0,256733000.0,164688.0,-15.0,197003500.0,30.3,181427.0,-22.8,290244529.0,-11.5
2025-06-19,애호박,132872.0,231590500.0,165530.0,-19.7,199065500.0,16.3,179890.0,-26.1,289729460.0,-20.1
2025-06-18,애호박,128363.0,225724000.0,189262.0,-32.2,215830000.0,4.6,175822.0,-27.0,291584337.0,-22.6
2025-06-17,애호박,172272.0,307217000.0,326256.0,-47.2,385136800.0,-20.2,177489.0,-2.9,285041617.0,7.8
2025-06-16,애호박,210622.0,342280000.0,,0.0,,0.0,179981.0,17.0,274444133.0,24.7
2025-06-15,애호박,,,160088.0,0.0,208620000.0,0.0,182847.0,0.0,275186980.0,0.0
2025-06-14,애호박,163136.0,251195500.0,140352.0,16.2,197596500.0,27.1,183673.0,-11.2,279917117.0,-10.3
