거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2025-06-30,백다다기,694425.0,1045635900.0,,0.0,,0.0,410298.0,69.2,621627793.0,68.2
2025-06-29,백다다기,,,386935.0,0.0,897819500.0,0.0,415177.0,0.0,656992763.0,0.0
2025-06-28,백다다기,387951.0,712225300.0,375842.0,3.2,698988700.0,1.9,439175.0,-11.7,710060770.0,0.3
2025-06-27,백다다기,364176.0,693699300.0,403888.0,-9.8,630414900.0,10.0,475750.0,-23.5,696263217.0,-0.4
2025-06-26,백다다기,387691.0,772035300.0,468818.0,-17.3,601148200.0,28.4,528342.0,-26.6,713441583.0,8.2
2025-06-25,백다다기,404949.0,768089900.0,551650.0,-26.6,624038200.0,23.1,535132.0,-24.3,722801383.0,6.3
2025-06-24,백다다기,312520.0,643511000.0,938652.0,-66.7,1048177500.0,-38.6,564638.0,-44.7,757839443.0,-15.1
2025-06-23,백다다기,584286.0,881977900.0,,0.0,,0.0,584229.0,0.0,793407577.0,11.2
2025-06-22,백다다기,,,713115.0,0.0,774402700.0,0.0,584598.0,0.0,828667097.0,0.0
2025-06-21,백다다기,654263.0,783453200.0,713094.0,-8.3,801970800.0,-2.3,602621.0,8.6,849944521.0,-7.8
2025-06-20,백다다기,651918.0,902565100.0,649376.0,0.4,831599300.0,8.5,581935.0,12.0,838530367.0,7.6
2025-06-19,백다다기,633201.0,902904500.0,615890.0,2.8,776427500.0,16.3,584370.0,8.4,820469015.0,10.0
2025-06-18,백다다기,621898.0,942693600.0,605501.0,2.7,689902100.0,36.6,577480.0,7.7,820234062.0,14.9
2025-06-17,백다다기,619136.0,1054144600.0,1033837.0,-40.1,1080434000.0,-2.4,587445.0,5.4,827374347.0,27.4
2025-06-16,백다다기,963286.0,1557605000.0,,0.0,,0.0,631932.0,52.4,867342327.0,79.6
2025-06-15,백다다기,,,725443.0,0.0,803341900.0,0.0,677372.0,0.0,896208233.0,0.0
2025-06-14,백다다기,712667.0,1180178800.0,706981.0,0.8,779688700.0,51.4,730402.0,-2.4,976496287.0,20.9
2025-06-13,백다다기,668294.0,1033029900.0,742367.0,-10.0,798461200.0,29.4,741739.0,-9.9,994204033.0,3.9
2025-06-12,백다다기,717259.0,1074430800.0,754084.0,-4.9,837158100.0,28.3,752586.0,-4.7,960908813.0,11.8
2025-06-11,백다다기,760342.0,1001745700.0,726912.0,4.6,764341400.0,31.1,728582.0,4.4,939007970.0,6.7
2025-06-10,백다다기,819181.0,1067413400.0,1218686.0,-32.8,1265392400.0,-15.6,734333.0,11.6,898125413.0,18.8
2025-06-09,백다다기,1180946.0,1504499600.0,,0.0,,0.0,730376.0,61.7,930710547.0,61.7
2025-06-08,백다다기,,,831497.0,0.0,933187600.0,0.0,731881.0,0.0,951543972.0,0.0
