거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2015-06-30,노랑파프리카,43270.0,86093000.0,63799.0,-32.2,90313600.0,-4.7,32579.0,32.8,76470468.0,12.6
2015-06-30,빨강파프리카,65721.0,128669500.0,68325.0,-3.8,100405000.0,28.2,38961.0,68.7,93162765.0,38.1
2015-06-30,파프리카,755.0,1376000.0,,0.0,,0.0,701.0,7.7,1009500.0,36.3
2015-07-01,노랑파프리카,65033.0,112367500.0,34855.0,86.6,54636500.0,105.7,31401.0,107.1,75523333.0,48.8
2015-07-01,빨강파프리카,88696.0,140383200.0,34269.0,158.8,59262500.0,136.9,39165.0,126.5,90541181.0,55.0
2015-07-01,파프리카,466.0,1205500.0,59.0,689.8,370000.0,225.8,723.0,-35.5,1058300.0,13.9
2015-07-02,노랑파프리카,62996.0,93907500.0,38815.0,62.3,75192000.0,24.9,31989.0,96.9,72338267.0,29.8
2015-07-02,빨강파프리카,84710.0,116737000.0,41265.0,105.3,82105000.0,42.2,39641.0,113.7,89559813.0,30.3
2015-07-02,파프리카,475.0,1247500.0,1270.0,-62.6,2321500.0,-46.3,721.0,-34.1,1017900.0,22.6
2015-07-03,노랑파프리카,41665.0,63535000.0,54185.0,-23.1,112994000.0,-43.8,33786.0,23.3,70849533.0,-10.3
2015-07-03,빨강파프리카,65885.0,92834500.0,57130.0,15.3,112212500.0,-17.3,41022.0,60.6,87022230.0,6.7
2015-07-03,파프리카,686.0,1496000.0,2015.0,-66.0,1893000.0,-21.0,1369.0,-49.9,1372500.0,9.0
2015-07-04,노랑파프리카,53087.0,87212000.0,48499.0,9.5,101369500.0,-14.0,33106.0,60.4,67492550.0,29.2
2015-07-04,빨강파프리카,75474.0,105660000.0,53554.0,40.9,121442000.0,-13.0,40763.0,85.2,81604697.0,29.5
2015-07-04,파프리카,600.0,1345000.0,150.0,300.0,146000.0,821.2,1808.0,-66.8,1234400.0,9.0
2015-07-05,노랑파프리카,,,43414.0,0.0,90084900.0,0.0,31713.0,0.0,66803633.0,0.0
2015-07-05,빨강파프리카,,,66490.0,0.0,131734500.0,0.0,39391.0,0.0,78254617.0,0.0
2015-07-06,노랑파프리카,64745.0,110144000.0,,0.0,,0.0,32876.0,96.9,70180100.0,56.9
2015-07-06,빨강파프리카,80063.0,118721000.0,,0.0,,0.0,40742.0,96.5,78259433.0,51.7
2015-07-06,파프리카,1085.0,1575500.0,,0.0,,0.0,1122.0,-3.3,812475.0,93.9
2015-07-07,노랑파프리카,47805.0,81278500.0,44705.0,6.9,99553000.0,-18.4,32247.0,48.2,72652933.0,11.9
2015-07-07,빨강파프리카,62503.0,92277000.0,55575.0,12.5,116316500.0,-20.7,41348.0,51.2,78925733.0,16.9
2015-07-07,파프리카,755.0,1779000.0,1154.0,-34.6,545500.0,226.1,926.0,-18.5,601850.0,195.6
2015-07-08,노랑파프리카,42240.0,73658500.0,44502.0,-5.1,90931092.0,-19.0,29506.0,43.2,70288236.0,4.8
2015-07-08,빨강파프리카,58486.0,91646500.0,50126.0,16.7,104686112.0,-12.5,38209.0,53.1,80325133.0,14.1
2015-07-08,파프리카,2190.0,3088500.0,885.0,147.5,502500.0,514.6,550.0,298.2,386648.0,698.8
2015-07-09,노랑파프리카,58800.0,101493500.0,47843.0,22.9,88377500.0,14.8,29628.0,98.5,70697873.0,43.6
2015-07-09,빨강파프리카,74772.0,110533500.0,50005.0,49.5,94506000.0,17.0,38889.0,92.3,82189874.0,34.5
2015-07-09,파프리카,1465.0,1779000.0,16.0,9056.3,100000.0,1679.0,745.0,96.6,508950.0,249.5
2015-07-10,노랑파프리카,42685.0,74928500.0,42640.0,0.1,78194500.0,-4.2,30786.0,38.7,75173256.0,-0.3
2015-07-10,빨강파프리카,62375.0,98639500.0,53915.0,15.7,97831500.0,0.8,39433.0,58.2,82290507.0,19.9
2015-07-10,파프리카,1284.0,1945500.0,175.0,633.7,105000.0,1752.9,856.0,50.0,688317.0,182.6
2015-07-11,노랑파프리카,57452.0,83282500.0,39100.0,46.9,74261000.0,12.1,30766.0,86.7,78008050.0,6.8
2015-07-11,빨강파프리카,72747.0,100544500.0,43845.0,65.9,92565500.0,8.6,38753.0,87.7,84601300.0,18.8
2015-07-11,파프리카,1395.0,2537000.0,2360.0,-40.9,1040000.0,143.9,851.0,63.9,712583.0,256.0
2015-07-12,노랑파프리카,,,48332.0,0.0,97010500.0,0.0,30230.0,0.0,77779100.0,0.0
2015-07-12,빨강파프리카,,,54745.0,0.0,112064500.0,0.0,39659.0,0.0,87926867.0,0.0
2015-07-13,노랑파프리카,73795.0,99873000.0,,0.0,,0.0,31493.0,134.3,78907681.0,26.6
2015-07-13,빨강파프리카,95087.0,124333900.0,,0.0,,0.0,41929.0,126.8,89776783.0,38.5
