거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2025-06-30,팽이,59120.0,81630000.0,,0.0,,0.0,57909,2.1,82898067,-1.5
2025-06-29,팽이,,,55370.0,0.0,85877000.0,0.0,57878,0.0,84496217,0.0
2025-06-28,팽이,58525.0,78736000.0,55480.0,5.5,78769000.0,0.0,57171,2.4,83185467,-5.3
2025-06-27,팽이,56310.0,73113000.0,56010.0,0.5,79821000.0,-8.4,56524,-0.4,81819083,-10.6
2025-06-26,팽이,54830.0,67560000.0,55590.0,-1.4,77077500.0,-12.3,56172,-2.4,79699383,-15.2
2025-06-25,팽이,55665.0,67411500.0,52225.0,6.6,75740000.0,-11.0,55871,-0.4,79610717,-15.3
2025-06-24,팽이,55730.0,67338500.0,58645.0,-5.0,84868500.0,-20.7,55967,-0.4,80990083,-16.9
2025-06-23,팽이,60820.0,75958000.0,,0.0,,0.0,55768,9.1,82159983,-7.5
2025-06-22,팽이,,,56370.0,0.0,69225500.0,0.0,56744,0.0,82149333,0.0
2025-06-21,팽이,56510.0,70214000.0,53465.0,5.7,67328500.0,4.3,57457,-1.6,82452683,-14.8
2025-06-20,팽이,55625.0,67890000.0,57700.0,-3.6,78213500.0,-13.2,57784,-3.7,82941425,-18.1
2025-06-19,팽이,55595.0,69799000.0,55380.0,0.4,86536500.0,-19.3,57910,-4.0,84254745,-17.2
2025-06-18,팽이,56335.0,74444000.0,59380.0,-5.1,100099500.0,-25.6,57673,-2.3,86620162,-14.1
2025-06-17,팽이,54595.0,75492500.0,56485.0,-3.3,95280000.0,-20.8,56320,-3.1,86529078,-12.8
2025-06-16,팽이,58045.0,83642500.0,,0.0,,0.0,55700,4.2,85090178,-1.7
2025-06-15,팽이,,,53065.0,0.0,78842500.0,0.0,55035,0.0,84092537,0.0
2025-06-14,팽이,57795.0,82462000.0,54980.0,5.1,76963500.0,7.1,55144,4.8,83771200,-1.6
2025-06-13,팽이,54285.0,80094500.0,52320.0,3.8,74740000.0,7.2,55574,-2.3,84335450,-5.0
2025-06-12,팽이,54625.0,83373500.0,57565.0,-5.1,90195000.0,-7.6,56314,-3.0,86149150,-3.2
2025-06-11,팽이,54665.0,87044000.0,56065.0,-2.5,97530000.0,-10.8,57017,-4.1,88184567,-1.3
2025-06-10,팽이,55700.0,95177000.0,57375.0,-2.9,107823500.0,-11.7,58034,-4.0,89114750,6.8
2025-06-09,팽이,58755.0,106116500.0,,0.0,,0.0,58816,-0.1,89933150,18.0
2025-06-08,팽이,,,58655.0,0.0,102465000.0,0.0,58569,0.0,91478817,0.0
2025-06-07,팽이,58820.0,106493000.0,60650.0,-3.0,96496500.0,10.4,58590,0.4,92584933,15.0
2025-06-06,팽이,57405.0,106658500.0,54210.0,5.9,83704000.0,27.4,58433,-1.8,93542150,14.0
2025-06-05,팽이,55630.0,103871500.0,54790.0,1.5,93184500.0,11.5,58482,-4.9,93161877,11.5
2025-06-04,팽이,56015.0,105984500.0,54295.0,3.2,100526500.0,5.4,58267,-3.9,91493740,15.8
