거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2025-06-30,청피망,31541.0,103070500.0,,0.0,,0.0,21877.0,44.2,59002630.0,74.7
2025-06-29,청피망,,,17185.0,0.0,50528500.0,0.0,23155.0,0.0,60590915.0,0.0
2025-06-28,청피망,10769.0,34938150.0,19962.0,-46.1,58353600.0,-40.1,23072.0,-53.3,60969583.0,-42.7
2025-06-27,청피망,12089.0,39503500.0,21568.0,-43.9,65476680.0,-39.7,21985.0,-45.0,60031002.0,-34.2
2025-06-26,청피망,14030.0,41507750.0,17184.0,-18.4,71421200.0,-41.9,21378.0,-34.4,61131877.0,-32.1
2025-06-25,청피망,16261.0,48193350.0,12181.0,33.5,40777500.0,18.2,21126.0,-23.0,61820660.0,-22.0
2025-06-24,청피망,25071.0,79338150.0,19540.0,28.3,49355500.0,60.7,20086.0,24.8,61158909.0,29.7
2025-06-23,청피망,25205.0,121025550.0,,0.0,,0.0,19600.0,28.6,62821831.0,92.6
2025-06-22,청피망,,,19964.0,0.0,36796750.0,0.0,20779.0,0.0,62771901.0,0.0
2025-06-21,청피망,10520.0,50256680.0,18919.0,-44.4,39626400.0,26.8,20009.0,-47.4,58758384.0,-14.5
2025-06-20,청피망,11311.0,51031400.0,19287.0,-41.4,46744100.0,9.2,19509.0,-42.0,50608997.0,0.8
2025-06-19,청피망,11270.0,46731950.0,21523.0,-47.6,43567600.0,7.3,20170.0,-44.1,47970331.0,-2.6
2025-06-18,청피망,14371.0,56369200.0,16600.0,-13.4,39152500.0,44.0,20408.0,-29.6,49036193.0,15.0
2025-06-17,청피망,17290.0,71426900.0,23880.0,-27.6,46453550.0,53.8,20523.0,-15.8,50188587.0,42.3
2025-06-16,청피망,20741.0,101008000.0,,0.0,,0.0,20806.0,-0.3,48065963.0,110.1
2025-06-15,청피망,,,20319.0,0.0,26497100.0,0.0,21120.0,0.0,48894915.0,0.0
2025-06-14,청피망,14254.0,65834700.0,20948.0,-32.0,32303700.0,103.8,20834.0,-31.6,46107922.0,42.8
2025-06-13,청피망,11907.0,44852100.0,24555.0,-51.5,46706450.0,-4.0,20841.0,-42.9,44334140.0,1.2
2025-06-12,청피망,14020.0,47079850.0,21894.0,-36.0,36573300.0,28.7,19881.0,-29.5,44970863.0,4.7
2025-06-11,청피망,13133.0,46843500.0,30636.0,-57.1,57393370.0,-18.4,20052.0,-34.5,47236608.0,-0.8
2025-06-10,청피망,17589.0,62196300.0,26187.0,-32.8,63017200.0,-1.3,20464.0,-14.0,48611400.0,27.9
2025-06-09,청피망,19794.0,65784950.0,,0.0,,0.0,21334.0,-7.2,51753025.0,27.1
2025-06-08,청피망,,,19530.0,0.0,48456650.0,0.0,20137.0,0.0,48109977.0,0.0
2025-06-07,청피망,9540.0,27586300.0,15419.0,-38.1,39057500.0,-29.4,20705.0,-53.9,48815610.0,-43.5
2025-06-06,청피망,10742.0,27312500.0,19515.0,-45.0,46830000.0,-41.7,20764.0,-48.3,48224128.0,-43.4
2025-06-05,청피망,13740.0,31594650.0,23091.0,-40.5,69071950.0,-54.3,20609.0,-33.3,47322280.0,-33.2
2025-06-04,청피망,19535.0,47515220.0,23349.0,-16.3,65363050.0,-27.3,19876.0,-1.7,46988112.0,1.1
2025-06-03,청피망,23336.0,66909150.0,17264.0,35.2,46829700.0,42.9,20593.0,13.3,46967286.0,42.5
2025-06-02,청피망,23681.0,75674200.0,,0.0,,0.0,20631.0,14.8,46107569.0,64.1
2025-06-01,청피망,,,15781.0,0.0,33675570.0,0.0,20324.0,0.0,47114486.0,0.0
2025-05-31,청피망,12307.0,30488800.0,20700.0,-40.5,42566500.0,-28.4,20349.0,-39.5,49067856.0,-37.9
2025-05-30,청피망,13925.0,32404600.0,19078.0,-27.0,43254750.0,-25.1,19829.0,-29.8,48445595.0,-33.1
2025-05-29,청피망,16127.0,41409700.0,24305.0,-33.6,64534550.0,-35.8,19663.0,-18.0,46056963.0,-10.1
2025-05-28,청피망,16273.0,55529400.0,17966.0,-9.4,52981700.0,4.8,19951.0,-18.4,44571940.0,24.6
2025-05-27,청피망,22375.0,80402900.0,20334.0,10.0,53909600.0,49.1,19500.0,14.7,42055963.0,91.2
2025-05-26,청피망,21958.0,89544800.0,,0.0,,0.0,19905.0,10.3,41113977.0,117.8
2025-05-25,청피망,,,12564.0,0.0,28493400.0,0.0,20955.0,0.0,41948650.0,0.0
2025-05-24,청피망,15827.0,57551900.0,16925.0,-6.5,37262000.0,54.5,20890.0,-24.2,41447312.0,38.9
2025-05-23,청피망,14153.0,55591800.0,15081.0,-6.2,30672450.0,81.2,19667.0,-28.0,40468472.0,37.4
2025-05-22,청피망,14526.0,54911050.0,20592.0,-29.5,32034300.0,71.4,19563.0,-25.7,40928688.0,34.2
2025-05-21,청피망,18405.0,78767950.0,21203.0,-13.2,34232250.0,130.1,19747.0,-6.8,40295972.0,95.5
2025-05-20,청피망,20435.0,81903800.0,21812.0,-6.3,42307300.0,93.6,19239.0,6.2,38703796.0,111.6
2025-05-19,청피망,21910.0,88794300.0,,0.0,,0.0,19827.0,10.5,38447531.0,130.9
2025-05-18,청피망,,,18383.0,0.0,29106400.0,0.0,20846.0,0.0,39611411.0,0.0
2025-05-17,청피망,14902.0,46483400.0,17877.0,-16.6,31482750.0,47.6,20598.0,-27.7,38978743.0,19.3
2025-05-16,청피망,17456.0,59131500.0,19260.0,-9.4,31876850.0,85.5,20693.0,-15.6,38117186.0,55.1
2025-05-15,청피망,15408.0,59205800.0,16959.0,-9.1,23794500.0,148.8,21845.0,-29.5,41325344.0,43.3
2025-05-14,청피망,13706.0,62762800.0,27181.0,-49.6,39197450.0,60.1,22403.0,-38.8,41512066.0,51.2
2025-05-13,청피망,18945.0,63351350.0,31759.0,-40.3,52988330.0,19.6,22715.0,-16.6,41961733.0,51.0
2025-05-12,청피망,19965.0,57519100.0,,0.0,,0.0,22589.0,-11.6,44586967.0,29.0
2025-05-11,청피망,,,20704.0,0.0,35645600.0,0.0,22002.0,0.0,47619970.0,0.0
2025-05-10,청피망,15212.0,39501220.0,18542.0,-18.0,38593850.0,2.4,21367.0,-28.8,47685546.0,-17.2
2025-05-09,청피망,24764.0,74893750.0,18214.0,36.0,41589050.0,80.1,21256.0,16.5,43720353.0,71.3
2025-05-08,청피망,22371.0,94120100.0,16138.0,38.6,35917500.0,162.0,20446.0,9.4,40897147.0,130.1
2025-05-07,청피망,16074.0,80932950.0,18780.0,-14.4,37680000.0,114.8,20119.0,-20.1,38465955.0,110.4
2025-05-06,청피망,13535.0,53827310.0,20652.0,-34.5,40123450.0,34.2,20425.0,-33.7,39614405.0,35.9
2025-05-05,청피망,17721.0,56189632.0,,0.0,,0.0,21571.0,-17.8,45036797.0,24.8
2025-05-04,청피망,,,25585.0,0.0,46659925.0,0.0,22184.0,0.0,51286850.0,0.0
2025-05-03,청피망,15667.0,39839100.0,24741.0,-36.7,59100300.0,-32.6,22315.0,-29.8,55412833.0,-28.1
2025-05-02,청피망,14325.0,37816930.0,29509.0,-51.5,77211150.0,-51.0,21837.0,-34.4,54613762.0,-30.8
2025-05-01,청피망,16893.0,46258700.0,20482.0,-17.5,76735200.0,-39.7,20935.0,-19.3,53564876.0,-13.6
2025-04-30,청피망,19491.0,63065230.0,11171.0,74.5,33094100.0,90.6,20195.0,-3.5,52681770.0,19.7
2025-04-29,청피망,17614.0,59958400.0,26359.0,-33.2,63638900.0,-5.8,18954.0,-7.1,47797148.0,25.4
2025-04-28,청피망,23283.0,73404350.0,,0.0,,0.0,19414.0,19.9,46432759.0,58.1
2025-04-27,청피망,,,12489.0,0.0,27475000.0,0.0,20285.0,0.0,49318693.0,0.0
2025-04-26,청피망,12533.0,31473500.0,18919.0,-33.8,40699250.0,-22.7,19712.0,-36.4,49527504.0,-36.5
2025-04-25,청피망,15841.0,37874500.0,20576.0,-23.0,46158200.0,-17.9,19490.0,-18.7,48744819.0,-22.3
2025-04-24,청피망,20823.0,48990300.0,17558.0,18.6,41275440.0,18.7,19660.0,5.9,48348981.0,1.3
2025-04-23,청피망,20791.0,51095150.0,17070.0,21.8,34174850.0,49.5,19214.0,8.2,45435377.0,12.5
