거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2025-06-30,홍고추(일반),17974.0,64007500.0,,0.0,,0.0,16356.0,9.9,71440775.0,-10.4
2025-06-29,홍고추(일반),,,18128.0,0.0,87535500.0,0.0,16556.0,0.0,73394644.0,0.0
2025-06-28,홍고추(일반),18405.0,65627820.0,12863.0,43.1,65521930.0,0.2,16972.0,8.4,80651449.0,-18.6
2025-06-27,홍고추(일반),23103.0,111115500.0,13543.0,70.6,64863700.0,71.3,17210.0,34.2,82514406.0,34.7
2025-06-26,홍고추(일반),14079.0,94343470.0,17583.0,-19.9,88561000.0,6.5,17866.0,-21.2,85100486.0,10.9
2025-06-25,홍고추(일반),11799.0,75149900.0,14760.0,-20.1,85575300.0,-12.2,17705.0,-33.4,84547347.0,-11.1
2025-06-24,홍고추(일반),10882.0,64290400.0,21916.0,-50.3,131845950.0,-51.2,17245.0,-36.9,85316726.0,-24.6
2025-06-23,홍고추(일반),16810.0,97509050.0,,0.0,,0.0,16457.0,2.1,85471713.0,14.1
2025-06-22,홍고추(일반),,,16131.0,0.0,100545850.0,0.0,17266.0,0.0,86461413.0,0.0
2025-06-21,홍고추(일반),12489.0,69783000.0,14766.0,-15.4,102358150.0,-31.8,17097.0,-27.0,85270258.0,-18.2
2025-06-20,홍고추(일반),13030.0,83800100.0,11878.0,9.7,81887900.0,2.3,17123.0,-23.9,86681223.0,-3.3
2025-06-19,홍고추(일반),12449.0,85315000.0,12053.0,3.3,79882350.0,6.8,16882.0,-26.3,86589285.0,-1.5
2025-06-18,홍고추(일반),12250.0,92210900.0,15936.0,-23.1,102191550.0,-9.8,16341.0,-25.0,84953635.0,8.5
2025-06-17,홍고추(일반),12543.0,96577300.0,16399.0,-23.5,99011400.0,-2.5,15897.0,-21.1,86085997.0,12.2
2025-06-16,홍고추(일반),14473.0,116772730.0,,0.0,,0.0,16524.0,-12.4,91896037.0,27.1
2025-06-15,홍고추(일반),,,14281.0,0.0,80473460.0,0.0,15659.0,0.0,89711449.0,0.0
2025-06-14,홍고추(일반),13363.0,107460900.0,15227.0,-12.2,90152750.0,19.2,15470.0,-13.6,90511762.0,18.7
2025-06-13,홍고추(일반),14480.0,114523450.0,11106.0,30.4,66890650.0,71.2,15498.0,-6.6,86470407.0,32.4
2025-06-12,홍고추(일반),9358.0,74941650.0,14084.0,-33.6,77995500.0,-3.9,15107.0,-38.1,80393156.0,-6.8
2025-06-11,홍고추(일반),11711.0,77165500.0,13437.0,-12.8,79051800.0,-2.4,14462.0,-19.0,77146427.0,0.0
2025-06-10,홍고추(일반),12477.0,74471600.0,16157.0,-22.8,97574550.0,-23.7,14861.0,-16.0,77063003.0,-3.4
2025-06-09,홍고추(일반),17038.0,110641550.0,,0.0,,0.0,14642.0,16.4,81023637.0,36.6
2025-06-08,홍고추(일반),,,12586.0,0.0,68170450.0,0.0,14572.0,0.0,78767560.0,0.0
2025-06-07,홍고추(일반),13584.0,86100700.0,14218.0,-4.5,78908700.0,9.1,14665.0,-7.4,76839533.0,12.1
2025-06-06,홍고추(일반),9912.0,74861900.0,13506.0,-26.6,76748600.0,-2.5,15225.0,-34.9,76478018.0,-2.1
2025-06-05,홍고추(일반),10042.0,60007300.0,12572.0,-20.1,80389050.0,-25.4,15469.0,-35.1,78586462.0,-23.6
2025-06-04,홍고추(일반),12236.0,67865050.0,14297.0,-14.4,102381850.0,-33.7,15577.0,-21.4,75735432.0,-10.4
2025-06-03,홍고추(일반),13598.0,73544000.0,17365.0,-21.7,133672550.0,-45.0,15282.0,-11.0,80398084.0,-8.5
2025-06-02,홍고추(일반),16613.0,82491150.0,,0.0,,0.0,14520.0,14.4,83129482.0,-0.8
2025-06-01,홍고추(일반),,,11477.0,0.0,89717200.0,0.0,14396.0,0.0,86479451.0,0.0
2025-05-31,홍고추(일반),14444.0,70797700.0,9788.0,47.6,81127750.0,-12.7,15261.0,-5.4,91706413.0,-22.8
2025-05-30,홍고추(일반),11983.0,63902500.0,11144.0,7.5,96720650.0,-33.9,15785.0,-24.1,95093962.0,-32.8
2025-05-29,홍고추(일반),9889.0,52059000.0,11413.0,-13.4,130604100.0,-60.1,15394.0,-35.8,91261113.0,-43.0
2025-05-28,홍고추(일반),13396.0,69936100.0,10226.0,31.0,125953950.0,-44.5,14427.0,-7.1,85800758.0,-18.5
2025-05-27,홍고추(일반),11132.0,56123500.0,11971.0,-7.0,139070250.0,-59.6,13867.0,-19.7,81643961.0,-31.3
2025-05-26,홍고추(일반),15076.0,65557950.0,,0.0,,0.0,13493.0,11.7,79440734.0,-17.5
2025-05-25,홍고추(일반),,,10306.0,0.0,108059150.0,0.0,13844.0,0.0,81835316.0,0.0
2025-05-24,홍고추(일반),12543.0,51663000.0,8993.0,39.5,101180100.0,-48.9,14111.0,-11.1,86682626.0,-40.4
2025-05-23,홍고추(일반),13226.0,56056700.0,8746.0,51.2,85358850.0,-34.3,14523.0,-8.9,86642528.0,-35.3
2025-05-22,홍고추(일반),13853.0,61754950.0,8262.0,67.7,78949400.0,-21.8,14391.0,-3.7,88553431.0,-30.3
2025-05-21,홍고추(일반),14652.0,68583600.0,11363.0,28.9,95412550.0,-28.1,13437.0,9.0,84233973.0,-18.6
2025-05-20,홍고추(일반),13055.0,68656800.0,17143.0,-23.8,141794900.0,-51.6,12633.0,3.3,80542721.0,-14.8
2025-05-19,홍고추(일반),13934.0,72934650.0,,0.0,,0.0,12597.0,10.6,81351881.0,-10.3
2025-05-18,홍고추(일반),,,10248.0,0.0,72961650.0,0.0,12743.0,0.0,80948066.0,0.0
2025-05-17,홍고추(일반),11509.0,59521550.0,9784.0,17.6,70919650.0,-16.1,12339.0,-6.7,76368405.0,-22.1
2025-05-16,홍고추(일반),11685.0,63367000.0,9584.0,21.9,66625600.0,-4.9,12764.0,-8.5,75318180.0,-15.9
2025-05-15,홍고추(일반),9394.0,54940400.0,8695.0,8.0,53689000.0,2.3,12418.0,-24.4,72740503.0,-24.5
2025-05-14,홍고추(일반),10790.0,67041660.0,12990.0,-16.9,80938700.0,-17.2,12275.0,-12.1,71422157.0,-6.1
2025-05-13,홍고추(일반),10779.0,68788480.0,10878.0,-0.9,66070000.0,4.1,11999.0,-10.2,69556917.0,-1.1
2025-05-12,홍고추(일반),14804.0,105295000.0,,0.0,,0.0,11971.0,23.7,68254140.0,54.3
2025-05-11,홍고추(일반),,,11927.0,0.0,62109800.0,0.0,11762.0,0.0,66815400.0,0.0
2025-05-10,홍고추(일반),10126.0,86477900.0,9839.0,2.9,54446800.0,58.8,12086.0,-16.2,68107120.0,27.0
2025-05-09,홍고추(일반),7689.0,60411300.0,11664.0,-34.1,62007150.0,-2.6,11903.0,-35.4,71964493.0,-16.1
2025-05-08,홍고추(일반),6905.0,47042500.0,9942.0,-30.5,65491750.0,-28.2,11819.0,-41.6,79122263.0,-40.5
2025-05-07,홍고추(일반),8478.0,56531180.0,10683.0,-20.6,95863900.0,-41.0,11634.0,-27.1,77538795.0,-27.1
2025-05-06,홍고추(일반),10730.0,71848300.0,13677.0,-21.5,171460900.0,-58.1,10999.0,-2.4,72649223.0,-1.1
2025-05-05,홍고추(일반),12852.0,88465650.0,,0.0,,0.0,10840.0,18.6,74769862.0,18.3
2025-05-04,홍고추(일반),,,11325.0,0.0,164187200.0,0.0,11203.0,0.0,78434542.0,0.0
2025-05-03,홍고추(일반),9187.0,78125350.0,8515.0,7.9,151206400.0,-48.3,11427.0,-19.6,79345050.0,-1.5
2025-05-02,홍고추(일반),6739.0,49610400.0,10116.0,-33.4,180939300.0,-72.6,11534.0,-41.6,79001660.0,-37.2
2025-05-01,홍고추(일반),8161.0,44708700.0,7163.0,13.9,144798400.0,-69.1,11520.0,-29.2,78045417.0,-42.7
2025-04-30,홍고추(일반),8447.0,48325300.0,6130.0,37.8,123023300.0,-60.7,10416.0,-18.9,72722427.0,-33.5
2025-04-29,홍고추(일반),9557.0,56936300.0,8132.0,17.5,150004600.0,-62.0,10044.0,-4.8,67660178.0,-15.8
2025-04-28,홍고추(일반),10430.0,63418200.0,,0.0,,0.0,9766.0,6.8,66251645.0,-4.3
2025-04-27,홍고추(일반),,,8727.0,0.0,148963850.0,0.0,9621.0,0.0,69063373.0,0.0
2025-04-26,홍고추(일반),10470.0,58880050.0,7226.0,44.9,139675200.0,-57.8,9839.0,6.4,78735787.0,-25.2
2025-04-25,홍고추(일반),8959.0,59332200.0,6497.0,37.9,127243400.0,-53.4,10310.0,-13.1,87921474.0,-32.5
2025-04-24,홍고추(일반),9287.0,68016200.0,4355.0,113.2,88597300.0,-23.2,9868.0,-5.9,87086205.0,-21.9
2025-04-23,홍고추(일반),8281.0,68990400.0,4756.0,74.1,81374000.0,-15.2,9256.0,-10.5,82019360.0,-15.9
2025-04-22,홍고추(일반),8953.0,77290000.0,10180.0,-12.1,154379350.0,-49.9,8822.0,1.5,85263368.0,-9.4
2025-04-21,홍고추(일반),6705.0,60620800.0,,0.0,,0.0,8962.0,-25.2,92960506.0,-34.8
2025-04-20,홍고추(일반),,,10455.0,0.0,168113900.0,0.0,9309.0,0.0,93897846.0,0.0
2025-04-19,홍고추(일반),8738.0,72378700.0,7367.0,18.6,140458450.0,-48.5,9441.0,-7.4,100458041.0,-28.0
2025-04-18,홍고추(일반),8975.0,100999500.0,4899.0,83.2,87386550.0,15.6,9087.0,-1.2,104730386.0,-3.6
2025-04-17,홍고추(일반),8618.0,123286750.0,5285.0,63.1,90224000.0,36.6,8489.0,1.5,103416291.0,19.2
2025-04-16,홍고추(일반),5919.0,92357200.0,6776.0,-12.6,108852400.0,-15.2,8084.0,-26.8,97806016.0,-5.6
2025-04-15,홍고추(일반),4290.0,57117500.0,8549.0,-49.8,134794300.0,-57.6,7874.0,-45.5,95610145.0,-40.3
2025-04-14,홍고추(일반),10889.0,119720450.0,,0.0,,0.0,7816.0,39.3,92539703.0,29.4
2025-04-13,홍고추(일반),,,5420.0,0.0,77030500.0,0.0,7577.0,0.0,90943650.0,0.0
2025-04-12,홍고추(일반),7295.0,84564050.0,6508.0,12.1,98378500.0,-14.0,7596.0,-4.0,96320055.0,-12.2
2025-04-11,홍고추(일반),5988.0,92355000.0,6769.0,-11.5,105442900.0,-12.4,8039.0,-25.5,101444807.0,-9.0
2025-04-10,홍고추(일반),4861.0,90388450.0,8028.0,-39.4,133936200.0,-32.5,8138.0,-40.3,103896975.0,-13.0
2025-04-09,홍고추(일반),4994.0,77008800.0,8456.0,-40.9,172018750.0,-55.2,7762.0,-35.7,103310173.0,-25.5
2025-04-08,홍고추(일반),5699.0,77426700.0,5392.0,5.7,121091400.0,-36.1,7190.0,-20.7,104728605.0,-26.1
2025-04-07,홍고추(일반),7023.0,80503700.0,,0.0,,0.0,7171.0,-2.1,107295205.0,-25.0
2025-04-06,홍고추(일반),,,5604.0,0.0,103851400.0,0.0,7198.0,0.0,106253999.0,0.0
2025-04-05,홍고추(일반),6053.0,67284500.0,6521.0,-7.2,125706250.0,-46.5,6941.0,-12.8,107538838.0,-37.4
2025-04-04,홍고추(일반),5147.0,53445300.0,6043.0,-14.8,109154850.0,-51.0,6577.0,-21.7,108123625.0,-50.6
2025-04-03,홍고추(일반),6689.0,66402600.0,7471.0,-10.5,126331800.0,-47.4,6452.0,3.7,104478305.0,-36.4
2025-04-02,홍고추(일반),7117.0,68126600.0,5005.0,42.2,91188900.0,-25.3,6242.0,14.0,93338410.0,-27.0
2025-04-01,홍고추(일반),6744.0,61136200.0,7204.0,-6.4,109896850.0,-44.4,6269.0,7.6,85444560.0,-28.4
2025-03-31,홍고추(일반),8650.0,76512550.0,,0.0,,0.0,6480.0,33.5,83108412.0,-7.9
2025-03-30,홍고추(일반),,,4601.0,0.0,69984500.0,0.0,6690.0,0.0,83151045.0,0.0
2025-03-29,홍고추(일반),6809.0,59718350.0,6867.0,-0.8,96003650.0,-37.8,6880.0,-1.0,81299232.0,-26.5
2025-03-28,홍고추(일반),4905.0,40871300.0,7111.0,-31.0,103270800.0,-60.4,6947.0,-29.4,82051113.0,-50.2
2025-03-27,홍고추(일반),6441.0,54208500.0,5282.0,21.9,86762200.0,-37.5,7175.0,-10.2,83974067.0,-35.4
2025-03-26,홍고추(일반),6841.0,63147400.0,7300.0,-6.3,112847500.0,-44.0,7037.0,-2.8,83353127.0,-24.2
2025-03-25,홍고추(일반),5009.0,38885700.0,7174.0,-30.2,99489800.0,-60.9,6688.0,-25.1,82185323.0,-52.7
2025-03-24,홍고추(일반),8127.0,50342450.0,,0.0,,0.0,6812.0,19.3,82874347.0,-39.3
2025-03-23,홍고추(일반),,,4267.0,0.0,49869000.0,0.0,6990.0,0.0,81184444.0,0.0
2025-03-22,홍고추(일반),8732.0,58829350.0,5387.0,62.1,61583150.0,-4.5,6856.0,27.4,76428610.0,-23.0
2025-03-21,홍고추(일반),8570.0,69143800.0,7267.0,17.9,83041900.0,-16.7,6713.0,27.7,69977833.0,-1.2
2025-03-20,홍고추(일반),7273.0,60944800.0,5998.0,21.3,80837600.0,-24.6,6457.0,12.6,67732659.0,-10.0
2025-03-19,홍고추(일반),5135.0,49469800.0,5480.0,-6.3,59900750.0,-17.4,6519.0,-21.2,66483782.0,-25.6
2025-03-18,홍고추(일반),4631.0,37041250.0,6623.0,-30.1,68916340.0,-46.3,6437.0,-28.1,64327702.0,-42.4
2025-03-17,홍고추(일반),5964.0,44771300.0,,0.0,,0.0,6676.0,-10.7,65649449.0,-31.8
2025-03-16,홍고추(일반),,,6300.0,0.0,62315550.0,0.0,6878.0,0.0,69842374.0,0.0
2025-03-15,홍고추(일반),7701.0,60618100.0,5652.0,36.3,59305150.0,2.2,6850.0,12.4,69086388.0,-12.3
2025-03-14,홍고추(일반),6162.0,49682800.0,7839.0,-21.4,85161000.0,-41.7,6921.0,-11.0,68098068.0,-27.0
2025-03-13,홍고추(일반),5990.0,53540900.0,5188.0,15.5,57228750.0,-6.4,6570.0,-8.8,63410715.0,-15.6
2025-03-12,홍고추(일반),3601.0,34110050.0,6055.0,-40.5,60980500.0,-44.1,6371.0,-43.5,62096300.0,-45.1
2025-03-11,홍고추(일반),4244.0,33537030.0,7061.0,-39.9,70727550.0,-52.6,6191.0,-31.4,58097292.0,-42.3
2025-03-10,홍고추(일반),7379.0,58760100.0,,0.0,,0.0,6495.0,13.6,58037444.0,1.2
2025-03-09,홍고추(일반),,,6206.0,0.0,55227100.0,0.0,6258.0,0.0,56704713.0,0.0
2025-03-08,홍고추(일반),5259.0,43413600.0,5282.0,-0.4,48704800.0,-10.9,6196.0,-15.1,56262068.0,-22.8
2025-03-07,홍고추(일반),6763.0,61625750.0,5646.0,19.8,57818900.0,6.6,6480.0,4.4,56474239.0,9.1
2025-03-06,홍고추(일반),6307.0,58577700.0,7259.0,-13.1,77509400.0,-24.4,7066.0,-10.7,62776220.0,-6.7
2025-03-05,홍고추(일반),,,7681.0,0.0,80681700.0,0.0,6599.0,0.0,60732077.0,0.0
2025-03-04,홍고추(일반),4076.0,36221100.0,14633.0,-72.1,166080800.0,-78.2,6173.0,-34.0,58091785.0,-37.6
2025-03-03,홍고추(일반),5791.0,40020950.0,,0.0,,0.0,6306.0,-8.2,55784750.0,-28.3
2025-03-02,홍고추(일반),,,,0.0,,0.0,6162.0,0.0,55389934.0,0.0
2025-03-01,홍고추(일반),7882.0,50259100.0,4064.0,93.9,59283400.0,-15.2,5967.0,32.1,50333888.0,-0.1
2025-02-28,홍고추(일반),6143.0,43396400.0,5020.0,22.4,65483800.0,-33.7,5290.0,16.1,44352494.0,-2.2
2025-02-27,홍고추(일반),4021.0,25803800.0,4407.0,-8.8,56893600.0,-54.6,4724.0,-14.9,39643016.0,-34.9
2025-02-26,홍고추(일반),1890.0,10594650.0,4632.0,-59.2,59130750.0,-82.1,4650.0,-59.4,39220926.0,-73.0
2025-02-25,홍고추(일반),3215.0,17158400.0,,0.0,,0.0,4391.0,-26.8,36177200.0,-52.6
2025-02-24,홍고추(일반),7336.0,37980500.0,3181.0,130.6,32348100.0,17.4,4643.0,58.0,33593048.0,13.1
2025-02-23,홍고추(일반),,,2052.0,0.0,14694700.0,0.0,4967.0,0.0,30319138.0,0.0
2025-02-22,홍고추(일반),6697.0,35687900.0,3335.0,100.8,23133900.0,54.3,5076.0,31.9,27888180.0,28.0
2025-02-21,홍고추(일반),4154.0,22393800.0,4687.0,-11.4,28809000.0,-22.3,4759.0,-12.7,25734773.0,-13.0
2025-02-20,홍고추(일반),2820.0,14185200.0,5411.0,-47.9,31394250.0,-54.8,4588.0,-38.5,25876407.0,-45.2
2025-02-19,홍고추(일반),3085.0,14678700.0,7289.0,-57.7,44088500.0,-66.7,4532.0,-31.9,27048727.0,-45.7
2025-02-18,홍고추(일반),4608.0,23028300.0,,0.0,,0.0,4881.0,-5.6,25879634.0,-11.0
2025-02-17,홍고추(일반),8878.0,45460950.0,4854.0,82.9,32648100.0,39.2,5370.0,65.3,26095658.0,74.2
2025-02-16,홍고추(일반),,,5857.0,0.0,38791900.0,0.0,5643.0,0.0,30569606.0,0.0
2025-02-15,홍고추(일반),5720.0,32070300.0,6140.0,-6.8,44962600.0,-28.7,5730.0,-0.2,31852664.0,0.7
2025-02-14,홍고추(일반),4404.0,27605600.0,5676.0,-22.4,38877300.0,-29.0,5643.0,-22.0,31114696.0,-11.3
2025-02-13,홍고추(일반),5966.0,31710850.0,5633.0,5.9,36044150.0,-12.0,5419.0,10.1,28501985.0,11.3
2025-02-12,홍고추(일반),,,,0.0,,0.0,5327.0,0.0,26502051.0,0.0
2025-02-11,홍고추(일반),3469.0,18709900.0,,0.0,,0.0,5311.0,-34.7,25607507.0,-26.9
2025-02-10,홍고추(일반),6471.0,31562950.0,,0.0,,0.0,5349.0,21.0,26070402.0,21.1
2025-02-09,홍고추(일반),,,5682.0,0.0,30112750.0,0.0,5755.0,0.0,28088953.0,0.0
2025-02-08,홍고추(일반),4636.0,20871200.0,7773.0,-40.4,48476600.0,-56.9,6121.0,-24.3,30268593.0,-31.0
2025-02-07,홍고추(일반),3933.0,19761700.0,7631.0,-48.5,43995100.0,-55.1,6721.0,-41.5,33488720.0,-41.0
2025-02-06,홍고추(일반),4507.0,22177900.0,7400.0,-39.1,42352000.0,-47.6,7433.0,-39.4,39062755.0,-43.2
2025-02-05,홍고추(일반),4416.0,22947800.0,10574.0,-58.2,50419950.0,-54.5,6979.0,-36.7,34297852.0,-33.1
2025-02-04,홍고추(일반),5783.0,28918350.0,,0.0,,0.0,7058.0,-18.1,32760588.0,-11.7
2025-02-03,홍고추(일반),11780.0,66013650.0,9121.0,29.2,41528600.0,59.0,7395.0,59.3,33160232.0,99.1
2025-02-02,홍고추(일반),,,11058.0,0.0,60386800.0,0.0,7578.0,0.0,32274545.0,0.0
2025-02-01,홍고추(일반),10203.0,59082900.0,8053.0,26.7,47036500.0,25.6,7761.0,31.5,35056225.0,68.5
2025-01-31,홍고추(일반),,,6460.0,0.0,38480900.0,0.0,7789.0,0.0,37923035.0,0.0
2025-01-30,홍고추(일반),,,5622.0,0.0,32227150.0,0.0,7734.0,0.0,39247177.0,0.0
2025-01-29,홍고추(일반),,,9557.0,0.0,51329000.0,0.0,7695.0,0.0,39860743.0,0.0
2025-01-28,홍고추(일반),1221.0,6967300.0,,0.0,,0.0,7705.0,-84.2,41065934.0,-83.0
2025-01-27,홍고추(일반),15431.0,89747100.0,6130.0,151.7,32776000.0,173.8,7639.0,102.0,39726961.0,125.9
2025-01-26,홍고추(일반),,,6334.0,0.0,32323200.0,0.0,7267.0,0.0,35501657.0,0.0
2025-01-25,홍고추(일반),9950.0,84991200.0,4530.0,119.6,22730800.0,273.9,7280.0,36.7,33898287.0,150.7
2025-01-24,홍고추(일반),7927.0,71208900.0,3550.0,123.3,16587450.0,329.3,7245.0,9.4,34836227.0,104.4
2025-01-23,홍고추(일반),5594.0,36420000.0,2773.0,101.7,12919700.0,181.9,6937.0,-19.4,32083349.0,13.5
2025-01-22,홍고추(일반),5142.0,28593600.0,4281.0,20.1,20421300.0,40.0,6568.0,-21.7,30622209.0,-6.6
2025-01-21,홍고추(일반),7614.0,43188600.0,,0.0,,0.0,6463.0,17.8,30965038.0,39.5
2025-01-20,홍고추(일반),9255.0,57833100.0,3666.0,152.5,14963000.0,286.5,6691.0,38.3,32896756.0,75.8
2025-01-19,홍고추(일반),,,5772.0,0.0,22406800.0,0.0,7022.0,0.0,30815218.0,0.0
2025-01-18,홍고추(일반),4682.0,29123300.0,6377.0,-26.6,26447200.0,10.1,6604.0,-29.1,28005006.0,4.0
2025-01-17,홍고추(일반),7150.0,43256900.0,4138.0,72.8,15656800.0,176.3,6248.0,14.4,25460642.0,69.9
2025-01-16,홍고추(일반),5091.0,32565000.0,5739.0,-11.3,22904550.0,42.2,6093.0,-16.4,23810387.0,36.8
2025-01-15,홍고추(일반),6347.0,40764180.0,6780.0,-6.4,27074400.0,50.6,5788.0,9.7,23834641.0,71.0
2025-01-14,홍고추(일반),5319.0,36575400.0,,0.0,,0.0,5921.0,-10.2,24047675.0,52.1
2025-01-13,홍고추(일반),7168.0,51740200.0,6136.0,16.8,24899800.0,107.8,5755.0,24.6,22905972.0,125.9
2025-01-12,홍고추(일반),,,5760.0,0.0,23401000.0,0.0,5243.0,0.0,21384910.0,0.0
2025-01-11,홍고추(일반),4382.0,32057150.0,4296.0,2.0,18244100.0,75.7,5326.0,-17.7,20374283.0,57.3
2025-01-10,홍고추(일반),3667.0,25408500.0,4157.0,-11.8,18011200.0,41.1,5169.0,-29.1,19915860.0,27.6
2025-01-09,홍고추(일반),3865.0,29772700.0,3911.0,-1.2,16055700.0,85.4,5129.0,-24.6,20254427.0,47.0
2025-01-08,홍고추(일반),3378.0,29722200.0,5515.0,-38.7,23577200.0,26.1,5423.0,-37.7,21898280.0,35.7
2025-01-07,홍고추(일반),5464.0,44588600.0,,0.0,,0.0,5814.0,-6.0,23006123.0,93.8
2025-01-06,홍고추(일반),11319.0,121792900.0,3647.0,210.4,14483300.0,740.9,6127.0,84.7,24469490.0,397.7
2025-01-05,홍고추(일반),,,5303.0,0.0,21083000.0,0.0,6859.0,0.0,28926718.0,0.0
2025-01-04,홍고추(일반),6341.0,86067540.0,9148.0,-30.7,37582450.0,129.0,7365.0,-13.9,32734744.0,162.9
