품목명,forecast_week_start,model_used,y_hat
깐양파,2025-07-07,WeekMean,1298.8999701315001
깐양파,2025-07-14,WeekMean,1310.6318036070202
깐양파,2025-07-21,WeekMean,1310.3408147252435
깐양파,2025-07-28,WeekMean,1322.7115397192433
깐쪽파,2025-07-07,WeekMean,7615.520743930356
깐쪽파,2025-07-14,WeekMean,7837.897508306209
깐쪽파,2025-07-21,WeekMean,7257.584340216487
깐쪽파,2025-07-28,WeekMean,8491.627665530908
깻잎(일반),2025-07-07,HW-Mul,6337.012094345339
깻잎(일반),2025-07-14,HW-Mul,7160.607558210437
깻잎(일반),2025-07-21,HW-Mul,7874.288508374292
깻잎(일반),2025-07-28,HW-Mul,8649.39811006108
노랑파프리카,2025-07-07,WeekMean,1774.2455146819054
노랑파프리카,2025-07-14,WeekMean,1818.6897138484267
노랑파프리카,2025-07-21,WeekMean,1902.944066064203
노랑파프리카,2025-07-28,WeekMean,2309.3572723189304
녹광,2025-07-07,SeasonalNaive,5810.638420615789
녹광,2025-07-14,SeasonalNaive,4838.272620793598
녹광,2025-07-21,SeasonalNaive,5246.352616883143
녹광,2025-07-28,SeasonalNaive,5336.010589975142
뉴그린,2025-07-07,HW-Mul,4811.810788477653
뉴그린,2025-07-14,HW-Mul,4982.428727397746
뉴그린,2025-07-21,HW-Mul,7726.12419220916
뉴그린,2025-07-28,HW-Mul,9896.517413150252
느타리버섯(일반),2025-07-07,HW-Add,5233.832376297756
느타리버섯(일반),2025-07-14,HW-Add,5113.564425316004
느타리버섯(일반),2025-07-21,HW-Add,5152.781557920653
느타리버섯(일반),2025-07-28,HW-Add,5250.615883070173
단호박,2025-07-07,RollMean(4w),1544.4444444444443
단호박,2025-07-14,RollMean(4w),1150.0
단호박,2025-07-21,RollMean(4w),696.7391304347826
단호박,2025-07-28,RollMean(4w),8250.0
당근(일반),2025-07-07,HW-Add,940.3561845168582
당근(일반),2025-07-14,HW-Add,1008.2999165923316
당근(일반),2025-07-21,HW-Add,956.0531257961212
당근(일반),2025-07-28,HW-Add,972.0694629265571
대추방울,2025-07-07,HW-Mul,2647.011892917209
대추방울,2025-07-14,HW-Mul,2991.349556462004
대추방울,2025-07-21,HW-Mul,3248.569113559202
대추방울,2025-07-28,HW-Mul,3436.9135548949166
대파(일반),2025-07-07,HW-Add,1000.5094690651292
대파(일반),2025-07-14,HW-Add,1089.1336520523034
대파(일반),2025-07-21,HW-Add,1239.3247880930362
대파(일반),2025-07-28,HW-Add,1395.6501604024234
돌미나리,2025-07-07,WeekMean,1949.452972833821
돌미나리,2025-07-14,WeekMean,2325.469442994586
돌미나리,2025-07-21,WeekMean,2326.329639614898
돌미나리,2025-07-28,WeekMean,3338.924426694405
레드치커리,2025-07-07,HW-Mul,3824.87093667074
레드치커리,2025-07-14,HW-Mul,4003.024498610673
레드치커리,2025-07-21,HW-Mul,5567.840641421619
레드치커리,2025-07-28,HW-Mul,6461.574768701939
마늘,2025-07-07,RollMean(4w),5119.367900334365
마늘,2025-07-14,RollMean(4w),5443.236533392464
마늘,2025-07-21,RollMean(4w),5375.6047676171065
마늘,2025-07-28,RollMean(4w),5155.880193480275
만생양파,2025-07-07,WeekMean,767.0819310436377
만생양파,2025-07-14,WeekMean,820.9743576347321
만생양파,2025-07-21,WeekMean,801.1663545722499
만생양파,2025-07-28,WeekMean,870.6641253456685
맛느타리버섯,2025-07-07,WeekMean,2220.985410680438
맛느타리버섯,2025-07-14,WeekMean,2105.1867770375643
맛느타리버섯,2025-07-21,WeekMean,1913.7822464561705
맛느타리버섯,2025-07-28,WeekMean,2631.2910293729865
미나리(일반),2025-07-07,HW-Add,3724.9865768029686
미나리(일반),2025-07-14,HW-Add,3875.625783857789
미나리(일반),2025-07-21,HW-Add,4634.640467315286
미나리(일반),2025-07-28,HW-Add,5439.410270572495
밤고구마,2025-06-30,HW-Mul,2006.9247428418748
밤고구마,2025-07-07,HW-Mul,2145.51113881044
밤고구마,2025-07-14,HW-Mul,2353.4595652192543
밤고구마,2025-07-21,HW-Mul,2095.9174631819324
방울토마토,2025-07-07,HW-Mul,3676.9295875504695
방울토마토,2025-07-14,HW-Mul,3845.6696047866812
방울토마토,2025-07-21,HW-Mul,3365.387005611149
방울토마토,2025-07-28,HW-Mul,4321.952328941321
백다다기,2025-07-07,SeasonalNaive,2312.9277445337725
백다다기,2025-07-14,SeasonalNaive,2568.523592139431
백다다기,2025-07-21,SeasonalNaive,2550.4755920826824
백다다기,2025-07-28,SeasonalNaive,3103.975962289692
브로코리(국산),2025-07-07,HW-Mul,4586.1563545950985
브로코리(국산),2025-07-14,HW-Mul,4957.88468656786
브로코리(국산),2025-07-21,HW-Mul,5749.004726225341
브로코리(국산),2025-07-28,HW-Mul,6585.139348604285
빨강파프리카,2025-07-07,HW-Mul,3694.6601505982107
빨강파프리카,2025-07-14,HW-Mul,3676.7539338800057
빨강파프리카,2025-07-21,HW-Mul,4271.9968904344805
빨강파프리카,2025-07-28,HW-Mul,6279.63785957877
