"芭贰老磊","前格疙","馆涝樊","陛咀","傈斥 馆涝樊","傈斥 馆涝樊 刘皑伏(%)","傈斥 陛咀","傈斥 陛咀 刘皑伏(%)","乞斥 馆涝樊","乞斥 馆涝樊 刘皑伏(%)","乞斥 陛咀","乞斥 陛咀 刘皑伏(%)"
"2025-06-30","采蠢鸥府滚几","35156","102350700",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-29","采蠢鸥府滚几",,,"35434","0.0","71947200","0.0",,"0.0",,"0.0"
"2025-06-28","采蠢鸥府滚几","29622","107174300","33930","-12.7","64294000","66.7",,"0.0",,"0.0"
"2025-06-27","采蠢鸥府滚几","29252","73091700","30798","-5.0","67342600","8.5",,"0.0",,"0.0"
"2025-06-26","采蠢鸥府滚几","29074","62271000","29044","0.1","60494600","2.9",,"0.0",,"0.0"
"2025-06-25","采蠢鸥府滚几","26388","63145500","33250","-20.6","61728900","2.3",,"0.0",,"0.0"
"2025-06-24","采蠢鸥府滚几","32592","70543500","37928","-14.1","79013600","-10.7",,"0.0",,"0.0"
"2025-06-23","采蠢鸥府滚几","35440","76347400",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-22","采蠢鸥府滚几",,,"34498","0.0","75644600","0.0",,"0.0",,"0.0"
"2025-06-21","采蠢鸥府滚几","31306","59622400","29976","4.4","66057400","-9.7",,"0.0",,"0.0"
"2025-06-20","采蠢鸥府滚几","29874","52431000","29480","1.3","68002100","-22.9",,"0.0",,"0.0"
"2025-06-19","采蠢鸥府滚几","32312","48344100","30554","5.8","54936700","-12.0",,"0.0",,"0.0"
"2025-06-18","采蠢鸥府滚几","29476","54844100","35234","-16.3","64863500","-15.4",,"0.0",,"0.0"
"2025-06-17","采蠢鸥府滚几","33502","70790100","37560","-10.8","74387000","-4.8",,"0.0",,"0.0"
"2025-06-16","采蠢鸥府滚几","38592","96593200",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-15","采蠢鸥府滚几",,,"33902","0.0","67635400","0.0",,"0.0",,"0.0"
"2025-06-14","采蠢鸥府滚几","32854","79349500","28686","14.5","59587000","33.2",,"0.0",,"0.0"
"2025-06-13","采蠢鸥府滚几","31456","59822800","31854","-1.2","45577000","31.3",,"0.0",,"0.0"
"2025-06-12","采蠢鸥府滚几","30300","59652500","32192","-5.9","51921400","14.9",,"0.0",,"0.0"
"2025-06-11","采蠢鸥府滚几","31856","65316700","35078","-9.2","60554400","7.9",,"0.0",,"0.0"
"2025-06-10","采蠢鸥府滚几","33538","66495400","38194","-12.2","82955900","-19.8",,"0.0",,"0.0"
"2025-06-09","采蠢鸥府滚几","38040","82690200",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-08","采蠢鸥府滚几",,,"35312","0.0","70626100","0.0",,"0.0",,"0.0"
"2025-06-07","采蠢鸥府滚几","34810","89545700","33532","3.8","65008700","37.7",,"0.0",,"0.0"
"2025-06-06","采蠢鸥府滚几","30252","90490500","31176","-3.0","67211100","34.6",,"0.0",,"0.0"
"2025-06-05","采蠢鸥府滚几","33116","75340600","31740","4.3","77997200","-3.4",,"0.0",,"0.0"
"2025-06-04","采蠢鸥府滚几","33146","78821300","35008","-5.3","82501300","-4.5",,"0.0",,"0.0"
"2025-06-03","采蠢鸥府滚几","34193","84201400","37524","-8.9","90780200","-7.2",,"0.0",,"0.0"
"2025-06-02","采蠢鸥府滚几","36870","96054000",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-01","采蠢鸥府滚几",,,"34396","0.0","65847600","0.0",,"0.0",,"0.0"
"2025-05-31","采蠢鸥府滚几","35268","72196600","35068","0.6","65741300","9.8",,"0.0",,"0.0"
"2025-05-30","采蠢鸥府滚几","32992","65302500","33894","-2.7","66677100","-2.1",,"0.0",,"0.0"
"2025-05-29","采蠢鸥府滚几","34320","74770400","32848","4.5","71534700","4.5",,"0.0",,"0.0"
"2025-05-28","采蠢鸥府滚几","33452","79668900","38012","-12.0","70807900","12.5",,"0.0",,"0.0"
"2025-05-27","采蠢鸥府滚几","35758","88836800","40496","-11.7","90137100","-1.4",,"0.0",,"0.0"
"2025-05-26","采蠢鸥府滚几","39812","101170500",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-25","采蠢鸥府滚几",,,"35536","0.0","85623900","0.0",,"0.0",,"0.0"
"2025-05-24","采蠢鸥府滚几","36308","73529900","34016","6.7","78167500","-5.9",,"0.0",,"0.0"
"2025-05-23","采蠢鸥府滚几","33452","64500000","34664","-3.5","66273400","-2.7",,"0.0",,"0.0"
"2025-05-22","采蠢鸥府滚几","34566","60504300","37240","-7.2","65243400","-7.3",,"0.0",,"0.0"
"2025-05-21","采蠢鸥府滚几","32908","62143600","37588","-12.5","72136700","-13.9",,"0.0",,"0.0"
"2025-05-20","采蠢鸥府滚几","36304","78225500","39820","-8.8","81512300","-4.0",,"0.0",,"0.0"
"2025-05-19","采蠢鸥府滚几","38896","94462600",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-18","采蠢鸥府滚几",,,"42608","0.0","83478100","0.0",,"0.0",,"0.0"
"2025-05-17","采蠢鸥府滚几","37050","85828200","37146","-0.3","87437000","-1.8",,"0.0",,"0.0"
"2025-05-16","采蠢鸥府滚几","35580","85295100","35940","-1.0","80889300","5.4",,"0.0",,"0.0"
"2025-05-15","采蠢鸥府滚几","31316","77759200","36360","-13.9","80248900","-3.1",,"0.0",,"0.0"
"2025-05-14","采蠢鸥府滚几","32702","80058100","38988","-16.1","81048200","-1.2",,"0.0",,"0.0"
"2025-05-13","采蠢鸥府滚几","32460","77877800","43300","-25.0","95318200","-18.3",,"0.0",,"0.0"
"2025-05-12","采蠢鸥府滚几","39551","98550200",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-11","采蠢鸥府滚几",,,"38750","0.0","88221200","0.0",,"0.0",,"0.0"
"2025-05-10","采蠢鸥府滚几","35116","91891300","35118","0.0","82047300","12.0",,"0.0",,"0.0"
"2025-05-09","采蠢鸥府滚几","34220","87569800","35628","-4.0","76535200","14.4",,"0.0",,"0.0"
"2025-05-08","采蠢鸥府滚几","32462","84615900","36508","-11.1","65622900","28.9",,"0.0",,"0.0"
"2025-05-07","采蠢鸥府滚几","34118","83465700","39958","-14.6","75854600","10.0",,"0.0",,"0.0"
"2025-05-06","采蠢鸥府滚几","33150","82911900","42640","-22.3","95448200","-13.1",,"0.0",,"0.0"
"2025-05-05","采蠢鸥府滚几","37258","96588300",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-04","采蠢鸥府滚几",,,"40390","0.0","91532000","0.0",,"0.0",,"0.0"
"2025-05-03","采蠢鸥府滚几","39496","93959300","39480","0.0","71226000","31.9",,"0.0",,"0.0"
"2025-05-02","采蠢鸥府滚几","31908","79757400","38926","-18.0","62007200","28.6",,"0.0",,"0.0"
"2025-05-01","采蠢鸥府滚几","35432","75856800","35516","-0.2","60590600","25.2",,"0.0",,"0.0"
"2025-04-30","采蠢鸥府滚几","30774","77905300","38580","-20.2","75221800","3.6",,"0.0",,"0.0"
