"거래일자","품목명","반입량","금액","전년 반입량","전년 반입량 증감률(%)","전년 금액","전년 금액 증감률(%)","평년 반입량","평년 반입량 증감률(%)","평년 금액","평년 금액 증감률(%)"
"2025-06-30","단호박","6126","13761500",,"0.0",,"0.0","18714","-67.3","25139027","-45.3"
"2025-06-29","단호박",,,"19262","0.0","25252200","0.0","16142","0.0","22535813","0.0"
"2025-06-28","단호박","4597","10843500","8719","-47.3","11029300","-1.7","12119","-62.1","17608203","-38.4"
"2025-06-27","단호박","4241","11234500","7554","-43.9","16025900","-29.9","8606","-50.7","13845773","-18.9"
"2025-06-26","단호박","2165","6239000","7477","-71.0","11240100","-44.5","7250","-70.1","12718567","-50.9"
"2025-06-25","단호박","1191","3577000","17469","-93.2","21845400","-83.6","5711","-79.1","10771873","-66.8"
"2025-06-24","단호박","1595","4637000","5812","-72.6","12028900","-61.5","4265","-62.6","8047277","-42.4"
"2025-06-23","단호박","591","1814000",,"0.0",,"0.0","3555","-83.4","6931567","-73.8"
"2025-06-22","단호박",,,"2809","0.0","5568100","0.0","2450","0.0","5742230","0.0"
"2025-06-21","단호박","597","1692500","432","38.2","1822000","-7.1","1939","-69.2","4729420","-64.2"
"2025-06-20","단호박","2538","7619500","150","1592.0","600000","1169.9","1506","68.5","3934980","93.6"
"2025-06-19","단호박","1672","6865500","1620","3.2","3630000","89.1","1785","-6.3","4867300","41.1"
"2025-06-18","단호박","384","888000","932","-58.8","3186000","-72.1","1338","-71.3","3691338","-75.9"
"2025-06-17","단호박",,,"482","0.0","1968000","0.0","1358","0.0","4150208","0.0"
"2025-06-16","단호박",,"-68000",,"0.0",,"0.0","1202","0.0","3791818","-101.8"
"2025-06-15","단호박",,,,"0.0",,"0.0","1145","0.0","3573368","0.0"
"2025-06-14","단호박","546","1257000",,"0.0",,"0.0","1219","-55.2","4079542","-69.2"
"2025-06-13","단호박",,,"780","0.0","2459000","0.0","1165","0.0","3806568","0.0"
"2025-06-12","단호박",,,"480","0.0","1592000","0.0","1030","0.0","3100169","0.0"
"2025-06-11","단호박",,,,"0.0",,"0.0","835","0.0","2651975","0.0"
"2025-06-10","단호박",,,,"0.0",,"0.0","763","0.0","2193000","0.0"
"2025-06-09","단호박",,,,"0.0",,"0.0","880","0.0","2016250","0.0"
"2025-06-08","단호박",,,,"0.0",,"0.0","1154","0.0","2410663","0.0"
"2025-06-07","단호박","800","5400000",,"0.0",,"0.0","893","-10.4","2428750","122.3"
"2025-06-06","단호박","1250","8100000",,"0.0",,"0.0","1181","5.8","2817475","187.5"
"2025-06-05","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-04","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-03","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-02","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-01","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-31","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-30","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-29","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-28","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-27","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-26","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-25","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-24","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-23","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-22","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-21","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-20","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-19","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-18","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-17","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-16","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-15","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-14","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-13","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-12","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-11","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-10","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-09","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-08","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-07","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-06","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-05","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-04","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-03","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-02","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-01","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-30","단호박","7200","18000000",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-29","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-28","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-27","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-26","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-25","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-24","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-23","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-22","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-21","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-20","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-19","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-18","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-17","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-16","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-15","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-14","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-13","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-12","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-11","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-10","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-09","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-08","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-07","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-06","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-05","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-04","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-03","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-02","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-01","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-31","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-30","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-29","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-28","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-27","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-26","단호박","784","623500","24000","-96.7","33600000","-98.1","9472","-91.7","19660000","-96.8"
"2025-03-25","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-24","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-23","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-22","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-21","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-20","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-19","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-18","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-17","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-16","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-15","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-14","단호박","2210","783600",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-13","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-12","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-11","단호박",,,"360","0.0","556000","0.0",,"0.0",,"0.0"
"2025-03-10","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-09","단호박",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-08","단호박",,,,"0.0",,"0.0","4776","0.0","3862380","0.0"
"2025-03-07","단호박","4510","5183800",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-06","단호박","6710","7906500",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-05","단호박",,,,"0.0",,"0.0","3888","0.0","3110090","0.0"
"2025-03-04","단호박",,,,"0.0",,"0.0","9750","0.0","9856290","0.0"
"2025-03-03","단호박",,,,"0.0",,"0.0","12074","0.0","12675820","0.0"
"2025-03-02","단호박",,,,"0.0",,"0.0","11444","0.0","12074270","0.0"
"2025-03-01","단호박",,,,"0.0",,"0.0","12615","0.0","13825210","0.0"
"2025-02-28","단호박","2810","3713500","400","602.5","892500","316.1","7057","-60.2","9994059","-62.8"
