"거래일자","품목명","반입량","금액","전년 반입량","전년 반입량 증감률(%)","전년 금액","전년 금액 증감률(%)","평년 반입량","평년 반입량 증감률(%)","평년 금액","평년 금액 증감률(%)"
"2025-06-30","당근(수입)","76800","52218000",,"0.0",,"0.0","62511","22.9","53127710","-1.7"
"2025-06-29","당근(수입)",,,"60080","0.0","51056800","0.0","64160","0.0","51579707","0.0"
"2025-06-28","당근(수입)","33060","23804000","60200","-45.1","53499000","-55.5","65556","-49.6","51433770","-53.7"
"2025-06-27","당근(수입)","66100","45832000","104200","-36.6","86179000","-46.8","64002","3.3","48439043","-5.4"
"2025-06-26","당근(수입)","90200","62440000","92100","-2.1","85084000","-26.6","66142","36.4","49863323","25.2"
"2025-06-25","당근(수입)","43200","33745000","80070","-46.0","75446500","-55.3","65939","-34.5","50828097","-33.6"
"2025-06-24","당근(수입)","82700","54473000","68000","21.6","62540000","-12.9","65773","25.7","51322170","6.1"
"2025-06-23","당근(수입)","80000","52210000",,"0.0",,"0.0","65440","22.2","50096660","4.2"
"2025-06-22","당근(수입)",,,"53100","0.0","44313000","0.0","67436","0.0","51726860","0.0"
"2025-06-21","당근(수입)","31000","19510000","74090","-58.2","59792900","-67.4","66644","-53.5","53205393","-63.3"
"2025-06-20","당근(수입)","63000","39580000","95100","-33.8","76841000","-48.5","67972","-7.3","54370147","-27.2"
"2025-06-19","당근(수입)","85550","53265000","60040","42.5","54853200","-2.9","67633","26.5","52755513","1.0"
"2025-06-18","당근(수입)","93550","61575600","68000","37.6","57700000","6.7","68415","36.7","53583683","14.9"
"2025-06-17","당근(수입)","103990","79061800","74000","40.5","57972500","36.4","67217","54.7","50680790","56.0"
"2025-06-16","당근(수입)","61000","47790000",,"0.0",,"0.0","66119","-7.7","48697713","-1.9"
"2025-06-15","당근(수입)",,,"36000","0.0","28244000","0.0","69009","0.0","48322323","0.0"
"2025-06-14","당근(수입)","47800","32864000","70000","-31.7","48100000","-31.7","66147","-27.7","51798833","-36.6"
"2025-06-13","당근(수입)","60000","41410000","101000","-40.6","72620000","-43.0","61948","-3.1","50590957","-18.1"
"2025-06-12","당근(수입)","65000","44550000","121900","-46.7","92588000","-51.9","68335","-4.9","53073497","-16.1"
"2025-06-11","당근(수입)","82000","57120000","49000","67.3","43820000","30.4","66453","23.4","51802923","10.3"
"2025-06-10","당근(수입)","92000","63020000","88160","4.4","63042000","0.0","68552","34.2","53532783","17.7"
"2025-06-09","당근(수입)","82000","57420000",,"0.0",,"0.0","70598","16.2","54171917","6.0"
"2025-06-08","당근(수입)",,,"56000","0.0","44587000","0.0","69557","0.0","55750480","0.0"
"2025-06-07","당근(수입)","37000","22830000","72000","-48.6","59072400","-61.4","69755","-47.0","59113747","-61.4"
"2025-06-06","당근(수입)","109000","75980000","74980","45.4","61443900","23.7","71242","53.0","61316220","23.9"
"2025-06-05","당근(수입)","75990","55865000","98000","-22.5","81760000","-31.7","70509","7.8","58676780","-4.8"
"2025-06-04","당근(수입)","106990","80086000","77960","37.2","70050000","14.3","68487","56.2","56019973","43.0"
"2025-06-03","당근(수입)","104020","84742800","118970","-12.6","102041800","-17.0","70969","46.6","54125273","56.6"
"2025-06-02","당근(수입)","49000","43930000",,"0.0",,"0.0","75280","-34.9","58532497","-24.9"
"2025-06-01","당근(수입)",,,"52000","0.0","50250000","0.0","74529","0.0","60712140","0.0"
"2025-05-31","당근(수입)","30000","21680000","91950","-67.4","83163500","-73.9","73569","-59.2","60403300","-64.1"
"2025-05-30","당근(수입)","91500","63590000","73190","25.0","70213500","-9.4","68196","34.2","59135397","7.5"
"2025-05-29","당근(수입)","99950","74746000","82000","21.9","69197400","8.0","74351","34.4","57384190","30.3"
"2025-05-28","당근(수입)","110000","89440000","58500","88.0","47710400","87.5","74232","48.2","59906023","49.3"
"2025-05-27","당근(수입)","73000","61420000","119510","-38.9","86538700","-29.0","74167","-1.6","60175863","2.1"
"2025-05-26","당근(수입)","91940","71887000",,"0.0",,"0.0","71412","28.7","58020193","23.9"
"2025-05-25","당근(수입)",,,"71840","0.0","60596200","0.0","68515","0.0","56264983","0.0"
"2025-05-24","당근(수입)","46000","36980000","87090","-47.2","76603300","-51.7","62459","-26.4","53092400","-30.3"
"2025-05-23","당근(수입)","81000","63820000","70200","15.4","61489000","3.8","60828","33.2","51823187","23.1"
"2025-05-22","당근(수입)","66070","54572500","50000","32.1","41470000","31.6","58257","13.4","46814773","16.6"
"2025-05-21","당근(수입)","91000","68190000","91730","-0.8","64908800","5.1","60289","50.9","45509917","49.8"
"2025-05-20","당근(수입)","71000","55350000","88850","-20.1","62349800","-11.2","70912","0.1","55082293","0.5"
"2025-05-19","당근(수입)","78990","59054200",,"0.0",,"0.0","74620","5.9","61356810","-3.8"
"2025-05-18","당근(수입)",,,"30000","0.0","21430000","0.0","74115","0.0","62280233","0.0"
"2025-05-17","당근(수입)","59000","41230000","66120","-10.8","36651600","12.5","75091","-21.4","64084347","-35.7"
"2025-05-16","당근(수입)","84950","62250000","58990","44.0","32656000","90.6","73311","15.9","62345243","-0.2"
"2025-05-15","당근(수입)","75250","56370500","93000","-19.1","46610000","20.9","67094","12.2","50361103","11.9"
"2025-05-14","당근(수입)","57940","42348600","94080","-38.4","54249400","-21.9","60895","-4.9","48089397","-11.9"
"2025-05-13","당근(수입)","83000","58860000","100000","-17.0","61650000","-4.5","63226","31.3","49485047","18.9"
"2025-05-12","당근(수입)","67900","49568000",,"0.0",,"0.0","66350","2.3","51155327","-3.1"
"2025-05-11","당근(수입)",,,"65000","0.0","38480000","0.0","69142","0.0","53511083","0.0"
"2025-05-10","당근(수입)","45000","30580000","98980","-54.5","60717800","-49.6","71597","-37.1","55694443","-45.1"
"2025-05-09","당근(수입)","84970","57618200","68000","25.0","45050000","27.9","72451","17.3","56653310","1.7"
"2025-05-08","당근(수입)","92990","64662400","134990","-31.1","94212600","-31.4","69947","32.9","59039670","9.5"
"2025-05-07","당근(수입)","92790","66803800","85980","7.9","70632400","-5.4","69341","33.8","58518403","14.2"
"2025-05-06","당근(수입)","82000","61770000","82000","0.0","63490000","-2.7","66833","22.7","56561943","9.2"
"2025-05-05","당근(수입)","67970","54927200",,"0.0",,"0.0","68715","-1.1","55226473","-0.5"
"2025-05-04","당근(수입)",,,"48000","0.0","34690000","0.0","67978","0.0","52398373","0.0"
"2025-05-03","당근(수입)","71990","49223500","88150","-18.3","57771800","-14.8","70208","2.5","53994227","-8.8"
"2025-05-02","당근(수입)","85000","62630000","81100","4.8","51127000","22.5","68853","23.5","52766913","18.7"
"2025-05-01","당근(수입)","97000","70350000","80280","20.8","51608900","36.3","71306","36.0","53697973","31.0"
"2025-04-30","당근(수입)","83000","62470000","86150","-3.7","55126000","13.3","70678","17.4","53339667","17.1"
"2025-04-29","당근(수입)","86000","66130000","94000","-8.5","62130000","6.4","71217","20.8","54301747","21.8"
"2025-04-28","당근(수입)","83000","62215000",,"0.0",,"0.0","73751","12.5","57062313","9.0"
"2025-04-27","당근(수입)",,,"59000","0.0","36320000","0.0","72222","0.0","59097367","0.0"
"2025-04-26","당근(수입)","42770","30972100","107200","-60.1","67306000","-54.0","67456","-36.6","55104660","-43.8"
"2025-04-25","당근(수입)","64000","46190000","98000","-34.7","64600000","-28.5","65534","-2.3","54596007","-15.4"
"2025-04-24","당근(수입)","97980","70375200","81290","20.5","52587200","33.8","68029","44.0","57302913","22.8"
"2025-04-23","당근(수입)","73010","57686500","79990","-8.7","52463500","10.0","66022","10.6","54570593","5.7"
"2025-04-22","당근(수입)","88980","68564000","102490","-13.2","66723000","2.8","67912","31.0","51531887","33.1"
"2025-04-21","당근(수입)","81000","63750000",,"0.0",,"0.0","70059","15.6","53029493","20.2"
"2025-04-20","당근(수입)",,,"54990","0.0","35493400","0.0","69240","0.0","53501577","0.0"
"2025-04-19","당근(수입)","52000","38660000","79260","-34.4","50216000","-23.0","71169","-26.9","55589757","-30.5"
"2025-04-18","당근(수입)","55480","42566400","106300","-47.8","64617700","-34.1","74055","-25.1","58911523","-27.7"
"2025-04-17","당근(수입)","122690","82611900","132820","-7.6","89577400","-7.8","68091","80.2","53849383","53.4"
"2025-04-16","당근(수입)","94000","73460000","111700","-15.8","82434000","-10.9","69153","35.9","54974887","33.6"
"2025-04-15","당근(수입)","106000","84885000","89890","17.9","66813100","27.0","71313","48.6","56772473","49.5"
"2025-04-14","당근(수입)","59000","51620000",,"0.0",,"0.0","70981","-16.9","56237910","-8.2"
"2025-04-13","당근(수입)",,,"55000","0.0","39480000","0.0","67276","0.0","52708630","0.0"
"2025-04-12","당근(수입)","53230","40737800","76000","-30.0","48130000","-15.4","64401","-17.3","49531770","-17.8"
"2025-04-11","당근(수입)","70000","57480000","79080","-11.5","49836000","15.3","65645","6.6","50998780","12.7"
"2025-04-10","당근(수입)","116480","87990800","80000","45.6","50920000","72.8","69851","66.8","53344153","64.9"
"2025-04-09","당근(수입)","78000","62140000","95970","-18.7","62956400","-1.3","68909","13.2","53047313","17.1"
"2025-04-08","당근(수입)","67990","55882100","80400","-15.4","54615000","2.3","71132","-4.4","52652847","6.1"
"2025-04-07","당근(수입)","106000","79130000",,"0.0",,"0.0","74724","41.9","55209740","43.3"
"2025-04-06","당근(수입)",,,"54000","0.0","34300000","0.0","73160","0.0","57926127","0.0"
"2025-04-05","당근(수입)","56990","44703000","102900","-44.6","67362000","-33.6","69432","-17.9","54571687","-18.1"
"2025-04-04","당근(수입)","84970","64295600","95000","-10.6","66990000","-4.0","70500","20.5","58463453","10.0"
"2025-04-03","당근(수입)","68000","52440000","91000","-25.3","66980000","-21.7","68310","-0.5","57118060","-8.2"
"2025-04-02","당근(수입)","103000","76331000","144080","-28.5","105194800","-27.4","69803","47.6","58839473","29.7"
"2025-04-01","당근(수입)","85990","70821300","117740","-27.0","92986400","-23.8","70221","22.5","57530180","23.1"
"2025-03-31","당근(수입)","39490","32548600",,"0.0",,"0.0","66645","-40.7","56536627","-42.4"
"2025-03-30","당근(수입)",,,"76360","0.0","60668800","0.0","66017","0.0","57541653","0.0"
"2025-03-29","당근(수입)","40840","25370200","55030","-25.8","40718800","-37.7","69768","-41.5","56116467","-54.8"
"2025-03-28","당근(수입)","73000","46885200","65000","12.3","43980000","6.6","61944","17.8","50405240","-7.0"
"2025-03-27","당근(수입)","119950","80421000","76990","55.8","49006600","64.1","61855","93.9","50447553","59.4"
"2025-03-26","당근(수입)","67050","46392000","81000","-17.2","54920400","-15.5","62682","7.0","50878940","-8.8"
"2025-03-25","당근(수입)","86260","57318000","79990","7.8","56167600","2.0","63501","35.8","52133840","9.9"
"2025-03-24","당근(수입)","103000","69150000",,"0.0",,"0.0","64291","60.2","52685180","31.3"
"2025-03-23","당근(수입)",,,"94970","0.0","62952800","0.0","67644","0.0","54901307","0.0"
"2025-03-22","당근(수입)","52000","35680000","83000","-37.3","61370000","-41.9","65494","-20.6","52666860","-32.3"
"2025-03-21","당근(수입)","96000","65530000","67000","43.3","49720000","31.8","63827","50.4","52622767","24.5"
"2025-03-20","당근(수입)","77000","55510000","78200","-1.5","57774000","-3.9","66481","15.8","57044287","-2.7"
"2025-03-19","당근(수입)","91980","66739200","104000","-11.6","75360000","-11.4","64081","43.5","54611820","22.2"
"2025-03-18","당근(수입)","120020","87885800","118990","0.9","92039900","-4.5","68633","74.9","58103240","51.3"
"2025-03-17","당근(수입)","111000","84378100",,"0.0",,"0.0","72474","53.2","61261127","37.7"
"2025-03-16","당근(수입)",,,"62000","0.0","50136000","0.0","71003","0.0","59004100","0.0"
"2025-03-15","당근(수입)","50000","37780000","70000","-28.6","54810000","-31.1","69238","-27.8","59550613","-36.6"
"2025-03-14","당근(수입)","62000","45430000","61040","1.6","47249600","-3.9","65852","-5.8","56967840","-20.3"
"2025-03-13","당근(수입)","84000","57730000","88180","-4.7","66935200","-13.8","67078","25.2","55758233","3.5"
"2025-03-12","당근(수입)","71040","49662800","67000","6.0","53800000","-7.7","64138","10.8","55566427","-10.6"
"2025-03-11","당근(수입)","81500","56695000","84340","-3.4","66170400","-14.3","68147","19.6","57224427","-0.9"
"2025-03-10","당근(수입)","76000","54330000",,"0.0",,"0.0","67041","13.4","57649390","-5.8"
"2025-03-09","당근(수입)",,,"63000","0.0","48130000","0.0","66295","0.0","55609050","0.0"
"2025-03-08","당근(수입)","69000","47890000","118800","-41.9","93780000","-48.9","66420","3.9","58292263","-17.8"
"2025-03-07","당근(수입)","90530","62509000","66090","37.0","55900000","11.8","61739","46.6","54340050","15.0"
