"거래일자","품목명","반입량","금액","전년 반입량","전년 반입량 증감률(%)","전년 금액","전년 금액 증감률(%)","평년 반입량","평년 반입량 증감률(%)","평년 금액","평년 금액 증감률(%)"
"2025-06-30","돌미나리","35528","57162800",,"0.0",,"0.0","28577","24.3","52796720","8.3"
"2025-06-29","돌미나리",,,"27532","0.0","48821900","0.0","29114","0.0","51422053","0.0"
"2025-06-28","돌미나리","36940","44638000","30388","21.6","34468100","29.5","30243","22.1","51450400","-13.2"
"2025-06-27","돌미나리","37000","53245100","27692","33.6","29708000","79.2","30715","20.5","53005533","0.5"
"2025-06-26","돌미나리","33484","28793900","31248","7.2","31047900","-7.3","30704","9.1","53511267","-46.2"
"2025-06-25","돌미나리","39208","38196700","31928","22.8","47852100","-20.2","30399","29.0","53200007","-28.2"
"2025-06-24","돌미나리","39048","56679200","32072","21.8","59083700","-4.1","30533","27.9","50850573","11.5"
"2025-06-23","돌미나리","34388","58569400",,"0.0",,"0.0","30677","12.1","47328233","23.8"
"2025-06-22","돌미나리",,,"31580","0.0","31723500","0.0","31209","0.0","44505870","0.0"
"2025-06-21","돌미나리","35964","43711800","29396","22.3","24057400","81.7","32391","11.0","44685271","-2.2"
"2025-06-20","돌미나리","35672","36334400","29384","21.4","18795100","93.3","32849","8.6","44808064","-18.9"
"2025-06-19","돌미나리","33484","37291300","35716","-6.2","22654600","64.6","32979","1.5","44583955","-16.4"
"2025-06-18","돌미나리","31248","26893200","32488","-3.8","29008400","-7.3","33131","-5.7","45147930","-40.4"
"2025-06-17","돌미나리","38604","36233000","34056","13.4","31752900","14.1","33079","16.7","46034160","-21.3"
"2025-06-16","돌미나리","38680","37175500",,"0.0",,"0.0","32344","19.6","46774917","-20.5"
"2025-06-15","돌미나리",,,"33840","0.0","28241100","0.0","31921","0.0","48140820","0.0"
"2025-06-14","돌미나리","40020","34253300","30096","33.0","19599400","74.8","31973","25.2","48537570","-29.4"
"2025-06-13","돌미나리","37240","27993300","33340","11.7","19324500","44.9","32138","15.9","46195283","-39.4"
"2025-06-12","돌미나리","36892","27813100","34960","5.5","21222100","31.1","32774","12.6","44388783","-37.3"
"2025-06-11","돌미나리","39660","41907800","34536","14.8","27629900","51.7","32852","20.7","42194753","-0.7"
"2025-06-10","돌미나리","39504","53661500","35428","11.5","26134100","105.3","33413","18.2","42524057","26.2"
"2025-06-09","돌미나리","37008","69865300",,"0.0",,"0.0","33866","9.3","45181797","54.6"
"2025-06-08","돌미나리",,,"37248","0.0","21725200","0.0","34308","0.0","47520437","0.0"
"2025-06-07","돌미나리","34940","68588900","34792","0.4","31000100","121.3","34487","1.3","48664643","40.9"
"2025-06-06","돌미나리","31660","59023800","35472","-10.7","29516100","100.0","34907","-9.3","49587111","19.0"
"2025-06-05","돌미나리","33144","54109600","32592","1.7","38411700","40.9","34613","-4.2","51847478","4.4"
"2025-06-04","돌미나리","33628","44164100","37440","-10.2","47578700","-7.2","34000","-1.1","52564048","-16.0"
"2025-06-03","돌미나리","38880","53977500","35084","10.8","58862700","-8.3","33286","16.8","53780022","0.4"
"2025-06-02","돌미나리","37776","53781100",,"0.0",,"0.0","32864","14.9","56080123","-4.1"
"2025-06-01","돌미나리",,,"30472","0.0","53324700","0.0","32366","0.0","57756022","0.0"
"2025-05-31","돌미나리","37416","52268100","27812","34.5","50927900","2.6","32267","16.0","58226010","-10.2"
"2025-05-30","돌미나리","36904","47902100","28140","31.1","49435700","-3.1","32529","13.4","58274827","-17.8"
"2025-05-29","돌미나리","39224","47120600","27308","43.6","50483100","-6.7","32333","21.3","58681560","-19.7"
"2025-05-28","돌미나리","39528","53362600","29092","35.9","56993100","-6.4","31913","23.9","59619680","-10.5"
"2025-05-27","돌미나리","40296","61629800","35076","14.9","59328600","3.9","31738","27.0","61409730","0.4"
"2025-05-26","돌미나리","39196","114640400",,"0.0",,"0.0","31556","24.2","64014047","79.1"
"2025-05-25","돌미나리",,,"32736","0.0","53314500","0.0","31866","0.0","64901280","0.0"
"2025-05-24","돌미나리","39960","61885000","29648","34.8","48172600","28.5","32203","24.1","67225992","-7.9"
"2025-05-23","돌미나리","34688","46431500","29156","19.0","48020100","-3.3","32650","6.2","69682765","-33.4"
"2025-05-22","돌미나리","37328","52611400","30708","21.6","52133700","0.9","33317","12.0","73661848","-28.6"
"2025-05-21","돌미나리","39612","67082000","34426","15.1","59277650","13.2","33741","17.4","73992980","-9.3"
"2025-05-20","돌미나리","39954","81148600","35810","11.6","96644200","-16.0","33504","19.3","72431370","12.0"
"2025-05-19","돌미나리","37408","92642600",,"0.0",,"0.0","33131","12.9","70133193","32.1"
"2025-05-18","돌미나리",,,"27900","0.0","97307700","0.0","33907","0.0","72292450","0.0"
"2025-05-17","돌미나리","40552","89021100","26460","53.3","91832300","-3.1","35590","13.9","73284120","21.5"
"2025-05-16","돌미나리","38076","91731500","30312","25.6","59905200","53.1","36706","3.7","75844517","20.9"
"2025-05-15","돌미나리","34796","75305800","33772","3.0","58740500","28.2","37415","-7.0","77313327","-2.6"
"2025-05-14","돌미나리","39676","81591000","33306","19.1","90120300","-9.5","37698","5.2","79652042","2.4"
"2025-05-13","돌미나리","38152","114309200","36442","4.7","114201800","0.1","37659","1.3","84404320","35.4"
"2025-05-12","돌미나리","39340","84602900",,"0.0",,"0.0","37869","3.9","93752797","-9.8"
"2025-05-11","돌미나리",,,"39768","0.0","110322600","0.0","37726","0.0","100412535","0.0"
"2025-05-10","돌미나리","45584","81413000","34320","32.8","118746400","-31.4","37925","20.2","102326780","-20.4"
"2025-05-09","돌미나리","38232","67971600","32108","19.1","100148100","-32.1","38077","0.4","100836610","-32.6"
"2025-05-08","돌미나리","41044","76498000","34038","20.6","84157400","-9.1","38417","6.8","101252185","-24.4"
"2025-05-07","돌미나리","43752","77938500","37168","17.7","62966500","23.8","38409","13.9","97187448","-19.8"
"2025-05-06","돌미나리","43240","81179900","40936","5.6","91196200","-11.0","39078","10.7","94312130","-13.9"
"2025-05-05","돌미나리","50556","98282500",,"0.0",,"0.0","39148","29.1","93722725","4.9"
"2025-05-04","돌미나리",,,"43190","0.0","112237800","0.0","39475","0.0","94993813","0.0"
"2025-05-03","돌미나리","48412","94325400","41391","17.0","82663575","14.1","39866","21.4","92728500","1.7"
"2025-05-02","돌미나리","46044","72019200","45235","1.8","61753250","16.6","40838","12.7","87947990","-18.1"
"2025-05-01","돌미나리","43756","58778500","46907","-6.7","64713400","-9.2","42133","3.9","83046585","-29.2"
"2025-04-30","돌미나리","47036","70448200","49974","-5.9","63989100","10.1","43661","7.7","79232908","-11.1"
"2025-04-29","돌미나리","55485","58339300","56068","-1.0","75762900","-23.0","44809","23.8","76636338","-23.9"
