"거래일자","품목명","반입량","금액","전년 반입량","전년 반입량 증감률(%)","전년 금액","전년 금액 증감률(%)","평년 반입량","평년 반입량 증감률(%)","평년 금액","평년 금액 증감률(%)"
"2025-06-30","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-29","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-28","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-27","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-26","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-25","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-24","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-23","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-22","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-21","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-20","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-19","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-18","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-17","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-16","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-15","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-14","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-13","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-12","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-11","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-10","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-09","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-08","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-07","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-06","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-05","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-04","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-03","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-02","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-01","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-31","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-30","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-29","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-28","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-27","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-26","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-25","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-24","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-23","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-22","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-21","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-20","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-19","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-18","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-17","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-16","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-15","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-14","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-13","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-12","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-11","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-10","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-09","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-08","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-07","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-06","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-05","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-04","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-03","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-02","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-01","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-30","기타","16","240000",,"0.0",,"0.0","15398","-99.9","38613160","-99.4"
"2025-04-29","기타",,,,"0.0",,"0.0","15775","0.0","34476230","0.0"
"2025-04-28","기타",,,,"0.0",,"0.0","15583","0.0","35324090","0.0"
"2025-04-27","기타",,,,"0.0",,"0.0","15543","0.0","36809295","0.0"
