"거래일자","품목명","반입량","금액","전년 반입량","전년 반입량 증감률(%)","전년 금액","전년 금액 증감률(%)","평년 반입량","평년 반입량 증감률(%)","평년 금액","평년 금액 증감률(%)"
"2025-06-30","기타","1760","8530000",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-29","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-28","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-27","기타","2036","5335600",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-26","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-25","기타","1050","2990000","1325","-20.8","2869000","4.2",,"0.0",,"0.0"
"2025-06-24","기타",,,"1480","0.0","4527000","0.0",,"0.0",,"0.0"
"2025-06-23","기타","2470","6980000",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-22","기타",,,"1380","0.0","3435000","0.0",,"0.0",,"0.0"
"2025-06-21","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-20","기타","1710","5717000","1930","-11.4","4345000","31.6",,"0.0",,"0.0"
"2025-06-19","기타","1120","4124000","1030","8.7","2939000","40.3",,"0.0",,"0.0"
"2025-06-18","기타","680","2408000",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-17","기타","1885","5959000","1200","57.1","2345000","154.1",,"0.0",,"0.0"
"2025-06-16","기타","2255","6640500",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-15","기타",,,"3912","0.0","3948500","0.0",,"0.0",,"0.0"
"2025-06-14","기타","1350","4420000","1347","0.2","1868600","136.5",,"0.0",,"0.0"
"2025-06-13","기타","1685","4926000","2196","-23.3","3362600","46.5",,"0.0",,"0.0"
"2025-06-12","기타","1710","5010000","990","72.7","2190000","128.8",,"0.0",,"0.0"
"2025-06-11","기타","1878","4966400","2193","-14.4","4881000","1.7",,"0.0",,"0.0"
"2025-06-10","기타","2848","8310500","2085","36.6","4933000","68.5",,"0.0",,"0.0"
"2025-06-09","기타","4625","13616500",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-08","기타",,,"1850","0.0","3073000","0.0",,"0.0",,"0.0"
"2025-06-07","기타","2348","6864000","1560","50.5","3275000","109.6",,"0.0",,"0.0"
"2025-06-06","기타","1910","4743000","2070","-7.7","5350000","-11.3",,"0.0",,"0.0"
"2025-06-05","기타","3510","8154200",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-04","기타","4325","10370000","1220","254.5","3116000","232.8",,"0.0",,"0.0"
"2025-06-03","기타","4310","9783000","1760","144.9","4337000","125.6",,"0.0",,"0.0"
"2025-06-02","기타","6463","16015500",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-01","기타",,,"2400","0.0","4735000","0.0",,"0.0",,"0.0"
"2025-05-31","기타","4950","13520000",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-30","기타","5688","14676000","1210","370.1","3132000","368.6",,"0.0",,"0.0"
"2025-05-29","기타","4418","12059000",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-28","기타","4480","12433000","3400","31.8","6943000","79.1",,"0.0",,"0.0"
"2025-05-27","기타","3378","9361250","3010","12.2","7753000","20.7",,"0.0",,"0.0"
"2025-05-26","기타","4820","11101000",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-25","기타",,,"3376","0.0","8623750","0.0",,"0.0",,"0.0"
"2025-05-24","기타","3370","6916000","66","5006.1","180250","3736.9",,"0.0",,"0.0"
"2025-05-23","기타","3590","8360000","1052","241.3","2748000","204.2",,"0.0",,"0.0"
"2025-05-22","기타","3840","10098000","1470","161.2","4385000","130.3",,"0.0",,"0.0"
"2025-05-21","기타","3640","8626000",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-20","기타","4520","9442000","1340","237.3","3991000","136.6",,"0.0",,"0.0"
"2025-05-19","기타","6280","12506000",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-18","기타",,,"1690","0.0","4489000","0.0",,"0.0",,"0.0"
"2025-05-17","기타","3980","8007000",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-16","기타","4540","11160000","1540","194.8","3717000","200.2",,"0.0",,"0.0"
"2025-05-15","기타","4590","10578000",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-14","기타","3750","9924000","2379","57.6","5128100","93.5",,"0.0",,"0.0"
"2025-05-13","기타","3080","9271000","2375","29.7","6025000","53.9",,"0.0",,"0.0"
"2025-05-12","기타","3590","9363000",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-11","기타",,,"3514","0.0","8044800","0.0",,"0.0",,"0.0"
"2025-05-10","기타","1880","5311000","1355","38.7","3997000","32.9",,"0.0",,"0.0"
"2025-05-09","기타","2575","7768000","1370","88.0","3951000","96.6",,"0.0",,"0.0"
"2025-05-08","기타","3703","9401000",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-07","기타","3063","9654500","1370","123.6","3534000","173.2",,"0.0",,"0.0"
"2025-05-06","기타","1918","5969250","2085","-8.0","5392000","10.7",,"0.0",,"0.0"
"2025-05-05","기타","4648","11876000",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-04","기타",,,"2090","0.0","4971000","0.0",,"0.0",,"0.0"
"2025-05-03","기타","3298","8350500","2042","61.5","4966500","68.1",,"0.0",,"0.0"
"2025-05-02","기타","2180","5830000","150","1353.3","150000","3786.7",,"0.0",,"0.0"
"2025-05-01","기타","2129","6134000","1740","22.4","3778000","62.4",,"0.0",,"0.0"
"2025-04-30","기타","2450","6909000","2745","-10.7","6314000","9.4",,"0.0",,"0.0"
"2025-04-29","기타","1750","4425000",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-28","기타","4490","8600000",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-27","기타",,,"3225","0.0","6801000","0.0",,"0.0",,"0.0"
"2025-04-26","기타","4966","8460000","2530","96.3","5848000","44.7",,"0.0",,"0.0"
"2025-04-25","기타","3650","6608000","1257","190.4","3376000","95.7",,"0.0",,"0.0"
"2025-04-24","기타","3830","7564000","1325","189.1","3325000","127.5",,"0.0",,"0.0"
"2025-04-23","기타","2455","5035000","2825","-13.1","7132000","-29.4",,"0.0",,"0.0"
"2025-04-22","기타","2494","5421200","3310","-24.7","8712000","-37.8",,"0.0",,"0.0"
"2025-04-21","기타","2785","6740000",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-20","기타",,,"2284","0.0","5819700","0.0",,"0.0",,"0.0"
"2025-04-19","기타","1993","5274000","75","2557.3","150000","3416.0",,"0.0",,"0.0"
"2025-04-18","기타","1290","3882000","1377","-6.3","3899200","-0.4",,"0.0",,"0.0"
"2025-04-17","기타","2060","5329000","1010","104.0","2835000","88.0",,"0.0",,"0.0"
"2025-04-16","기타","2820","6616000","1941","45.3","4555000","45.2",,"0.0",,"0.0"
"2025-04-15","기타","2859","7077600","2105","35.8","5659000","25.1",,"0.0",,"0.0"
"2025-04-14","기타","4760","10910000",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-13","기타",,,"2289","0.0","5619500","0.0",,"0.0",,"0.0"
"2025-04-12","기타","3754","9789600","2338","60.6","6943250","41.0",,"0.0",,"0.0"
"2025-04-11","기타","2789","7196000","530","426.2","1604000","348.6",,"0.0",,"0.0"
"2025-04-10","기타","2030","5564000","1894","7.2","5364000","3.7",,"0.0",,"0.0"
"2025-04-09","기타","3088","8745200","1459","111.7","4208000","107.8",,"0.0",,"0.0"
"2025-04-08","기타","2650","7750000","3791","-30.1","10469500","-26.0",,"0.0",,"0.0"
"2025-04-07","기타","2550","7091000",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-06","기타",,,"2951","0.0","8471000","0.0",,"0.0",,"0.0"
"2025-04-05","기타","2020","5362000","3250","-37.8","10050750","-46.7",,"0.0",,"0.0"
"2025-04-04","기타","1995","4920000","838","138.1","1894000","159.8",,"0.0",,"0.0"
"2025-04-03","기타","1947","4752000","2858","-31.9","8168500","-41.8",,"0.0",,"0.0"
