"°Å·¡ÀÏÀÚ","Ç°¸ñ¸í","¹ÝÀÔ·®","±Ý¾×","Àü³â ¹ÝÀÔ·®","Àü³â ¹ÝÀÔ·® Áõ°¨·ü(%)","Àü³â ±Ý¾×","Àü³â ±Ý¾× Áõ°¨·ü(%)","Æò³â ¹ÝÀÔ·®","Æò³â ¹ÝÀÔ·® Áõ°¨·ü(%)","Æò³â ±Ý¾×","Æò³â ±Ý¾× Áõ°¨·ü(%)"
"2023-11-24","¾¦°«(ÀÏ¹Ý)","116","195800","280","-58.6","420000","-53.4","19310","-99.4","25757200","-99.2"
"2023-11-23","¾¦°«(ÀÏ¹Ý)","76","116800","240","-68.3","93000","25.6","19192","-99.6","26323633","-99.6"
"2023-11-22","¾¦°«(ÀÏ¹Ý)","120","225000","240","-50.0","153000","47.1","19232","-99.4","26194193","-99.1"
"2023-11-21","¾¦°«(ÀÏ¹Ý)","40","90000","220","-81.8","254000","-64.6","19361","-99.8","25665173","-99.6"
"2023-11-20","¾¦°«(ÀÏ¹Ý)","200","500000",,"0.0",,"0.0","19791","-99.0","24813577","-98.0"
"2023-11-19","¾¦°«(ÀÏ¹Ý)",,,"612","0.0","836000","0.0","20319","0.0","25738633","0.0"
"2023-11-18","¾¦°«(ÀÏ¹Ý)",,,"200","0.0","157500","0.0","21229","0.0","27465673","0.0"
"2023-11-17","¾¦°«(ÀÏ¹Ý)","168","336000","388","-56.7","185200","81.4","20689","-99.2","28000536","-98.8"
"2023-11-16","¾¦°«(ÀÏ¹Ý)",,,"296","0.0","140600","0.0","20442","0.0","26741814","0.0"
"2023-11-15","¾¦°«(ÀÏ¹Ý)","80","160000","236","-66.1","185700","-13.8","21016","-99.6","26286541","-99.4"
"2023-11-14","¾¦°«(ÀÏ¹Ý)","40","130000","224","-82.1","207600","-37.4","20644","-99.8","26964684","-99.5"
"2023-11-13","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0","19843","0.0","27594011","0.0"
"2023-11-12","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0","19376","0.0","28789165","0.0"
"2023-11-11","¾¦°«(ÀÏ¹Ý)","40","50000",,"0.0",,"0.0","19109","-99.8","28663660","-99.8"
"2023-11-10","¾¦°«(ÀÏ¹Ý)","80","90000",,"0.0",,"0.0","19037","-99.6","27721923","-99.7"
"2023-11-09","¾¦°«(ÀÏ¹Ý)","104","78000","280","-62.9","455000","-82.9","19148","-99.5","26246109","-99.7"
"2023-11-08","¾¦°«(ÀÏ¹Ý)","136","136000",,"0.0",,"0.0","19658","-99.3","25702805","-99.5"
"2023-11-07","¾¦°«(ÀÏ¹Ý)","40","40000","528","-92.4","924000","-95.7","19710","-99.8","25864022","-99.8"
"2023-11-06","¾¦°«(ÀÏ¹Ý)","176","220000",,"0.0",,"0.0","19601","-99.1","27103775","-99.2"
"2023-11-05","¾¦°«(ÀÏ¹Ý)",,,"320","0.0","560000","0.0","19293","0.0","28383504","0.0"
"2023-11-04","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0","19075","0.0","29092919","0.0"
"2023-11-03","¾¦°«(ÀÏ¹Ý)","40","110000","88","-54.5","77000","42.9","18799","-99.8","28782125","-99.6"
"2023-11-02","¾¦°«(ÀÏ¹Ý)","40","60000",,"0.0",,"0.0","18880","-99.8","27376417","-99.8"
"2023-11-01","¾¦°«(ÀÏ¹Ý)","48","60000",,"0.0",,"0.0","19203","-99.8","27009817","-99.8"
"2023-10-31","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0","19131","0.0","26178318","0.0"
"2023-10-30","¾¦°«(ÀÏ¹Ý)","80","110000",,"0.0",,"0.0","19614","-99.6","25457271","-99.6"
"2023-10-29","¾¦°«(ÀÏ¹Ý)",,,"80","0.0","94000","0.0","20341","0.0","25629718","0.0"
"2023-10-28","¾¦°«(ÀÏ¹Ý)","40","40000","88","-54.5","66000","-39.4","20860","-99.8","26412839","-99.8"
"2023-10-27","¾¦°«(ÀÏ¹Ý)",,,"272","0.0","189000","0.0","20882","0.0","25526042","0.0"
"2023-10-26","¾¦°«(ÀÏ¹Ý)","96","102000","804","-88.1","829500","-87.7","21127","-99.5","25032368","-99.6"
"2023-10-25","¾¦°«(ÀÏ¹Ý)","244","343300","680","-64.1","1343500","-74.4","21386","-98.9","25602655","-98.7"
"2023-10-24","¾¦°«(ÀÏ¹Ý)","40","90000","160","-75.0","276000","-67.4","21090","-99.8","26666498","-99.7"
"2023-10-23","¾¦°«(ÀÏ¹Ý)","208","468000",,"0.0",,"0.0","20827","-99.0","28164175","-98.3"
"2023-10-22","¾¦°«(ÀÏ¹Ý)",,,"224","0.0","187600","0.0","20615","0.0","29647390","0.0"
"2023-10-21","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0","20001","0.0","30965620","0.0"
"2023-10-20","¾¦°«(ÀÏ¹Ý)","120","108000","160","-25.0","526000","-79.5","19155","-99.4","31592120","-99.7"
"2023-10-19","¾¦°«(ÀÏ¹Ý)","248","274000","208","19.2","205400","33.4","18770","-98.7","31538187","-99.1"
"2023-10-18","¾¦°«(ÀÏ¹Ý)","240","205000","680","-64.7","681500","-69.9","18322","-98.7","31905482","-99.4"
"2023-10-17","¾¦°«(ÀÏ¹Ý)","120","283000","900","-86.7","1586300","-82.2","18071","-99.3","31577019","-99.1"
"2023-10-16","¾¦°«(ÀÏ¹Ý)","132","330000",,"0.0",,"0.0","18763","-99.3","32714471","-99.0"
"2023-10-15","¾¦°«(ÀÏ¹Ý)",,,"780","0.0","2243500","0.0","19294","0.0","33908622","0.0"
"2023-10-14","¾¦°«(ÀÏ¹Ý)","96","176000","360","-73.3","1098000","-84.0","19342","-99.5","35474866","-99.5"
"2023-10-13","¾¦°«(ÀÏ¹Ý)","84","210000","320","-73.8","608000","-65.5","19779","-99.6","32354935","-99.4"
"2023-10-12","¾¦°«(ÀÏ¹Ý)","60","129000","432","-86.1","379200","-66.0","19917","-99.7","30486585","-99.6"
"2023-10-11","¾¦°«(ÀÏ¹Ý)","800","4000000","400","100.0","417500","858.1","19435","-95.9","29870607","-86.6"
"2023-10-10","¾¦°«(ÀÏ¹Ý)",,,"280","0.0","220500","0.0","19398","0.0","28213155","0.0"
"2023-10-09","¾¦°«(ÀÏ¹Ý)","28","62300",,"0.0",,"0.0","19940","-99.9","26440321","-99.8"
"2023-10-08","¾¦°«(ÀÏ¹Ý)",,,"400","0.0","254000","0.0","20623","0.0","27148881","0.0"
"2023-10-07","¾¦°«(ÀÏ¹Ý)",,,"360","0.0","275500","0.0","21639","0.0","30589558","0.0"
"2023-10-06","¾¦°«(ÀÏ¹Ý)","40","100000","280","-85.7","171500","-41.7","22204","-99.8","30793551","-99.7"
"2023-10-05","¾¦°«(ÀÏ¹Ý)",,,"264","0.0","184800","0.0","21339","0.0","30111194","0.0"
"2023-10-04","¾¦°«(ÀÏ¹Ý)","412","2128000","280","47.1","164500","1193.6","20947","-98.0","28848531","-92.6"
"2023-10-03","¾¦°«(ÀÏ¹Ý)",,,"240","0.0","288000","0.0","21437","0.0","28324367","0.0"
"2023-10-02","¾¦°«(ÀÏ¹Ý)","104","520000",,"0.0",,"0.0","20841","-99.5","27679477","-98.1"
"2023-10-01","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0","20240","0.0","28954507","0.0"
"2023-09-30","¾¦°«(ÀÏ¹Ý)",,,"17311","0.0","32939300","0.0","19734","0.0","33160272","0.0"
"2023-09-29","¾¦°«(ÀÏ¹Ý)",,,"17052","0.0","29860200","0.0","19958","0.0","37713862","0.0"
"2023-09-28","¾¦°«(ÀÏ¹Ý)","92","460000","20160","-99.5","34544600","-98.7","21183","-99.6","42790506","-98.9"
"2023-09-27","¾¦°«(ÀÏ¹Ý)",,,"21712","0.0","39894100","0.0","22623","0.0","46657705","0.0"
"2023-09-26","¾¦°«(ÀÏ¹Ý)","200","1400000","20420","-99.0","80323600","-98.3","22333","-99.1","51026941","-97.3"
"2023-09-25","¾¦°«(ÀÏ¹Ý)","504","3051600",,"0.0",,"0.0","20907","-97.6","56435160","-94.6"
"2023-09-24","¾¦°«(ÀÏ¹Ý)",,,"12991","0.0","70572600","0.0","19692","0.0","59965866","0.0"
"2023-09-23","¾¦°«(ÀÏ¹Ý)","20","50000","12908","-99.8","48992700","-99.9","18704","-99.9","63176673","-99.9"
"2023-09-22","¾¦°«(ÀÏ¹Ý)","680","3770000","12532","-94.6","44233500","-91.5","17912","-96.2","67488957","-94.4"
"2023-09-21","¾¦°«(ÀÏ¹Ý)",,,"15296","0.0","48127100","0.0","17267","0.0","69590505","0.0"
"2023-09-20","¾¦°«(ÀÏ¹Ý)","480","4680000","12180","-96.1","73703900","-93.7","16765","-97.1","72158292","-93.5"
"2023-09-19","¾¦°«(ÀÏ¹Ý)",,,"8328","0.0","28178500","0.0","16618","0.0","70272540","0.0"
"2023-09-18","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0","16173","0.0","63709917","0.0"
"2023-09-17","¾¦°«(ÀÏ¹Ý)",,,"11256","0.0","22662100","0.0","15258","0.0","57444680","0.0"
"2023-09-16","¾¦°«(ÀÏ¹Ý)",,,"14608","0.0","42468900","0.0","15192","0.0","57346647","0.0"
"2023-09-15","¾¦°«(ÀÏ¹Ý)","56","302200","12356","-99.5","67969300","-99.6","15149","-99.6","57810377","-99.5"
"2023-09-14","¾¦°«(ÀÏ¹Ý)","32","180000","8688","-99.6","93677400","-99.8","13728","-99.8","61377888","-99.7"
"2023-09-13","¾¦°«(ÀÏ¹Ý)","72","488000","5744","-98.7","55765000","-99.1","12859","-99.4","61931036","-99.2"
"2023-09-12","¾¦°«(ÀÏ¹Ý)","12","95400",,"0.0",,"0.0","12601","-99.9","59488859","-99.8"
"2023-09-11","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0","11850","0.0","55307660","0.0"
"2023-09-10","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0","11554","0.0","55564791","0.0"
"2023-09-09","¾¦°«(ÀÏ¹Ý)",,,"5066","0.0","36947100","0.0","12416","0.0","56483440","0.0"
"2023-09-08","¾¦°«(ÀÏ¹Ý)",,,"8536","0.0","58221000","0.0","12545","0.0","60054309","0.0"
"2023-09-07","¾¦°«(ÀÏ¹Ý)",,,"7460","0.0","41798200","0.0","11788","0.0","60798134","0.0"
"2023-09-06","¾¦°«(ÀÏ¹Ý)","44","627000","9484","-99.5","77279700","-99.2","11693","-99.6","57505936","-98.9"
"2023-09-05","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-09-04","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-09-03","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-09-02","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-09-01","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-08-31","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-08-30","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-08-29","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-08-28","¾¦°«(ÀÏ¹Ý)","120","930000",,"0.0",,"0.0","12420","-99.0","56573251","-98.4"
"2023-08-27","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-08-26","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-08-25","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-08-24","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-08-23","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-08-22","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-08-21","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-08-20","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-08-19","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-08-18","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-08-17","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-08-16","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-08-15","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-08-14","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-08-13","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-08-12","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-08-11","¾¦°«(ÀÏ¹Ý)","20","110000","7312","-99.7","35886300","-99.7","10576","-99.8","50585747","-99.8"
"2023-08-10","¾¦°«(ÀÏ¹Ý)",,,"10008","0.0","50720900","0.0","11388","0.0","49293773","0.0"
"2023-08-09","¾¦°«(ÀÏ¹Ý)",,,"11780","0.0","42037000","0.0","12252","0.0","49273668","0.0"
"2023-08-08","¾¦°«(ÀÏ¹Ý)",,,"14676","0.0","47489700","0.0","12809","0.0","51392304","0.0"
"2023-08-07","¾¦°«(ÀÏ¹Ý)","220","1065800",,"0.0",,"0.0","12958","-98.3","53814443","-98.0"
"2023-08-06","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0","12732","0.0","56023417","0.0"
"2023-08-05","¾¦°«(ÀÏ¹Ý)",,,"12920","0.0","69144400","0.0","12967","0.0","54616734","0.0"
"2023-08-04","¾¦°«(ÀÏ¹Ý)",,,"9292","0.0","42532500","0.0","12853","0.0","53197613","0.0"
"2023-08-03","¾¦°«(ÀÏ¹Ý)",,,"11604","0.0","21219600","0.0","13780","0.0","52205253","0.0"
"2023-08-02","¾¦°«(ÀÏ¹Ý)",,,"14396","0.0","25057000","0.0","13497","0.0","57526833","0.0"
"2023-08-01","¾¦°«(ÀÏ¹Ý)",,,"18160","0.0","48179600","0.0","14448","0.0","54748362","0.0"
"2023-07-31","¾¦°«(ÀÏ¹Ý)","40","160000",,"0.0",,"0.0","15197","-99.7","49097049","-99.7"
"2023-07-30","¾¦°«(ÀÏ¹Ý)",,,"11236","0.0","38797300","0.0","15391","0.0","43216704","0.0"
"2023-07-29","¾¦°«(ÀÏ¹Ý)",,,"14944","0.0","28546800","0.0","15295","0.0","41245879","0.0"
"2023-07-28","¾¦°«(ÀÏ¹Ý)","1028","2752400","11912","-91.4","25227800","-89.1","15068","-93.2","37533955","-92.7"
"2023-07-27","¾¦°«(ÀÏ¹Ý)",,,"14120","0.0","34402300","0.0","15280","0.0","36055625","0.0"
"2023-07-26","¾¦°«(ÀÏ¹Ý)",,,"13624","0.0","37891400","0.0","15217","0.0","36196540","0.0"
"2023-07-25","¾¦°«(ÀÏ¹Ý)",,,"13512","0.0","39842400","0.0","16075","0.0","37028150","0.0"
"2023-07-24","¾¦°«(ÀÏ¹Ý)","108","864000",,"0.0",,"0.0","16346","-99.3","37716765","-97.7"
"2023-07-23","¾¦°«(ÀÏ¹Ý)",,,"13052","0.0","35228900","0.0","16502","0.0","39500995","0.0"
"2023-07-22","¾¦°«(ÀÏ¹Ý)",,,"12892","0.0","36918300","0.0","15920","0.0","39738585","0.0"
"2023-07-21","¾¦°«(ÀÏ¹Ý)",,,"14688","0.0","48268700","0.0","15792","0.0","41184430","0.0"
"2023-07-20","¾¦°«(ÀÏ¹Ý)",,,"11492","0.0","45291600","0.0","15300","0.0","43446170","0.0"
"2023-07-19","¾¦°«(ÀÏ¹Ý)","476","1085000","12780","-96.3","62481900","-98.3","15781","-97.0","48037565","-97.7"
"2023-07-18","¾¦°«(ÀÏ¹Ý)",,,"11264","0.0","63239200","0.0","16250","0.0","50282995","0.0"
"2023-07-17","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0","17040","0.0","50373720","0.0"
"2023-07-16","¾¦°«(ÀÏ¹Ý)",,,"12000","0.0","74721500","0.0","17810","0.0","48050860","0.0"
"2023-07-15","¾¦°«(ÀÏ¹Ý)",,,"9412","0.0","59534600","0.0","18370","0.0","45646575","0.0"
"2023-07-14","¾¦°«(ÀÏ¹Ý)","272","1700000","11116","-97.6","59829200","-97.2","18232","-98.5","45081585","-96.2"
"2023-07-13","¾¦°«(ÀÏ¹Ý)",,,"10844","0.0","89199200","0.0","18073","0.0","43440050","0.0"
"2023-07-12","¾¦°«(ÀÏ¹Ý)",,,"10628","0.0","89781100","0.0","18548","0.0","43219725","0.0"
"2023-07-11","¾¦°«(ÀÏ¹Ý)",,,"11080","0.0","88264300","0.0","19063","0.0","48594030","0.0"
"2023-07-10","¾¦°«(ÀÏ¹Ý)","336","1460200",,"0.0",,"0.0","18669","-98.2","52981318","-97.2"
"2023-07-09","¾¦°«(ÀÏ¹Ý)",,,"9504","0.0","72505700","0.0","18333","0.0","52317438","0.0"
"2023-07-08","¾¦°«(ÀÏ¹Ý)",,,"11132","0.0","70966000","0.0","18303","0.0","51476153","0.0"
"2023-07-07","¾¦°«(ÀÏ¹Ý)",,,"10716","0.0","60695600","0.0","18327","0.0","51895643","0.0"
"2023-07-06","¾¦°«(ÀÏ¹Ý)",,,"11192","0.0","62207200","0.0","18044","0.0","47075923","0.0"
"2023-07-05","¾¦°«(ÀÏ¹Ý)",,,"14280","0.0","72149000","0.0","18125","0.0","45151830","0.0"
"2023-07-04","¾¦°«(ÀÏ¹Ý)",,,"15324","0.0","114534500","0.0","18530","0.0","41296450","0.0"
"2023-07-03","¾¦°«(ÀÏ¹Ý)","220","796500",,"0.0",,"0.0","19010","-98.8","39557830","-98.0"
"2023-07-02","¾¦°«(ÀÏ¹Ý)",,,"11584","0.0","75599800","0.0","19374","0.0","37300900","0.0"
"2023-07-01","¾¦°«(ÀÏ¹Ý)","100","550000","10852","-99.1","54570100","-99.0","19678","-99.5","39625840","-98.6"
"2023-06-30","¾¦°«(ÀÏ¹Ý)",,,"11864","0.0","57596800","0.0","19184","0.0","46280626","0.0"
"2023-06-29","¾¦°«(ÀÏ¹Ý)","208","1144000","11584","-98.2","46643400","-97.5","19089","-98.9","48046686","-97.6"
"2023-06-28","¾¦°«(ÀÏ¹Ý)","160","760000","15656","-99.0","49115200","-98.5","18426","-99.1","47640463","-98.4"
"2023-06-27","¾¦°«(ÀÏ¹Ý)","276","1104000","19655","-98.6","82455400","-98.7","18069","-98.5","46039230","-97.6"
"2023-06-26","¾¦°«(ÀÏ¹Ý)","100","150000",,"0.0",,"0.0","18549","-99.5","42334243","-99.6"
"2023-06-25","¾¦°«(ÀÏ¹Ý)",,,"15072","0.0","87901000","0.0","19341","0.0","39511010","0.0"
"2023-06-24","¾¦°«(ÀÏ¹Ý)","168","233100","12680","-98.7","62431000","-99.6","19258","-99.1","39633429","-99.4"
"2023-06-23","¾¦°«(ÀÏ¹Ý)","388","326300","13172","-97.1","49603300","-99.3","19904","-98.1","40397615","-99.2"
"2023-06-22","¾¦°«(ÀÏ¹Ý)","196","473200","14432","-98.6","48817400","-99.0","19633","-99.0","41747625","-98.9"
"2023-06-21","¾¦°«(ÀÏ¹Ý)","1036","1112000","17915","-94.2","48496400","-97.7","18936","-94.5","41792171","-97.3"
"2023-06-20","¾¦°«(ÀÏ¹Ý)",,,"18496","0.0","65136100","0.0","18240","0.0","40902248","0.0"
"2023-06-19","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0","18355","0.0","37729343","0.0"
"2023-06-18","¾¦°«(ÀÏ¹Ý)",,,"14908","0.0","51686700","0.0","17948","0.0","36419300","0.0"
"2023-06-17","¾¦°«(ÀÏ¹Ý)",,,"16914","0.0","41562200","0.0","18278","0.0","36144943","0.0"
"2023-06-16","¾¦°«(ÀÏ¹Ý)",,,"16572","0.0","51377000","0.0","19085","0.0","36981489","0.0"
"2023-06-15","¾¦°«(ÀÏ¹Ý)",,,"15796","0.0","37807900","0.0","19505","0.0","35631692","0.0"
"2023-06-14","¾¦°«(ÀÏ¹Ý)","288","1296000","17558","-98.4","40750500","-96.8","19641","-98.5","37219505","-96.5"
"2023-06-13","¾¦°«(ÀÏ¹Ý)","212","212000","19240","-98.9","34724800","-99.4","19555","-98.9","36697235","-99.4"
"2023-06-12","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-06-11","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-06-10","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-06-09","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-06-08","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-06-07","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-06-06","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-06-05","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-06-04","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-06-03","¾¦°«(ÀÏ¹Ý)","80","110000","18092","-99.6","28034600","-99.6","20270","-99.6","32224363","-99.7"
"2023-06-02","¾¦°«(ÀÏ¹Ý)","108","88200","18492","-99.4","27183500","-99.7","21133","-99.5","34005409","-99.7"
"2023-06-01","¾¦°«(ÀÏ¹Ý)","120","114000","17950","-99.3","30131600","-99.6","21110","-99.4","35957313","-99.7"
"2023-05-31","¾¦°«(ÀÏ¹Ý)","80","120000","16468","-99.5","37542700","-99.7","20857","-99.6","36159235","-99.7"
"2023-05-30","¾¦°«(ÀÏ¹Ý)",,,"19852","0.0","36032600","0.0","19899","0.0","37202631","0.0"
"2023-05-29","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0","19172","0.0","36990333","0.0"
"2023-05-28","¾¦°«(ÀÏ¹Ý)",,,"18382","0.0","24953050","0.0","19240","0.0","36513602","0.0"
"2023-05-27","¾¦°«(ÀÏ¹Ý)",,,"16988","0.0","21515800","0.0","19507","0.0","35407533","0.0"
"2023-05-26","¾¦°«(ÀÏ¹Ý)",,,"21444","0.0","27416000","0.0","20033","0.0","35046510","0.0"
"2023-05-25","¾¦°«(ÀÏ¹Ý)",,,"20624","0.0","32836300","0.0","20367","0.0","34887050","0.0"
"2023-05-24","¾¦°«(ÀÏ¹Ý)","160","128000","18944","-99.2","41074300","-99.7","20361","-99.2","36139699","-99.6"
"2023-05-23","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-05-22","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-05-21","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2023-05-20","¾¦°«(ÀÏ¹Ý)",,,,"0.0",,"0.0",,"0.0",,"0.0"
