"거래일자","품목명","반입량","금액","전년 반입량","전년 반입량 증감률(%)","전년 금액","전년 금액 증감률(%)","평년 반입량","평년 반입량 증감률(%)","평년 금액","평년 금액 증감률(%)"
"2025-06-30","애호박","234696","443176500",,"0.0",,"0.0","176792","32.8","244749557","81.1"
"2025-06-29","애호박",,,"163417","0.0","238730000","0.0","175793","0.0","249631583","0.0"
"2025-06-28","애호박","135848","318365500","166552","-18.4","247040400","28.9","177613","-23.5","248446623","28.1"
"2025-06-27","애호박","99192","230194500","165978","-40.2","245821500","-6.4","178917","-44.6","253387230","-9.2"
"2025-06-26","애호박","121106","261074000","158556","-23.6","229780500","13.6","180181","-32.8","260373503","0.3"
"2025-06-25","애호박","162576","355984000","159428","2.0","215235500","65.4","177352","-8.3","250127847","42.3"
"2025-06-24","애호박","154528","409601000","257156","-39.9","302788500","35.3","181413","-14.8","249591609","64.1"
"2025-06-23","애호박","175848","415016000",,"0.0",,"0.0","182782","-3.8","254635277","63.0"
"2025-06-22","애호박",,,"167736","0.0","201032000","0.0","187650","0.0","262624627","0.0"
"2025-06-21","애호박","153024","312980500","159918","-4.3","185659000","68.6","187967","-18.6","276942609","13.0"
"2025-06-20","애호박","139992","256733000","164688","-15.0","197003500","30.3","181427","-22.8","290244529","-11.5"
"2025-06-19","애호박","132872","231590500","165530","-19.7","199065500","16.3","179890","-26.1","289729460","-20.1"
"2025-06-18","애호박","128363","225724000","189262","-32.2","215830000","4.6","175822","-27.0","291584337","-22.6"
"2025-06-17","애호박","172272","307217000","326256","-47.2","385136800","-20.2","177489","-2.9","285041617","7.8"
"2025-06-16","애호박","210622","342280000",,"0.0",,"0.0","179981","17.0","274444133","24.7"
"2025-06-15","애호박",,,"160088","0.0","208620000","0.0","182847","0.0","275186980","0.0"
"2025-06-14","애호박","163136","251195500","140352","16.2","197596500","27.1","183673","-11.2","279917117","-10.3"
"2025-06-13","애호박","167078","266453000","151700","10.1","204303500","30.4","183196","-8.8","282044943","-5.5"
"2025-06-12","애호박","133512","213590500","149532","-10.7","189631800","12.6","180487","-26.0","272008440","-21.5"
"2025-06-11","애호박","185904","253093500","166648","11.6","195302100","29.6","177976","4.5","257117463","-1.6"
"2025-06-10","애호박","213510","295522500","248692","-14.1","275698400","7.2","185280","15.2","247354830","19.5"
"2025-06-09","애호박","310564","468733500",,"0.0",,"0.0","180881","71.7","246487853","90.2"
"2025-06-08","애호박",,,"174616","0.0","193841000","0.0","178903","0.0","250704428","0.0"
"2025-06-07","애호박","181374","310681500","166736","8.8","202093100","53.7","174621","3.9","250241865","24.2"
"2025-06-06","애호박","144866","280702000","191394","-24.3","236914000","18.5","178173","-18.7","252956918","11.0"
"2025-06-05","애호박","137548","259460500","170991","-19.6","227945500","13.8","188233","-26.9","257500538","0.8"
"2025-06-04","애호박","144904","246938500","171570","-15.5","218877500","12.8","186320","-22.2","262242245","-5.8"
"2025-06-03","애호박","168248","282488500","259160","-35.1","316238500","-10.7","182994","-8.1","271820537","3.9"
"2025-06-02","애호박","269242","441522000",,"0.0",,"0.0","185055","45.5","284413660","55.2"
"2025-06-01","애호박",,,"181784","0.0","219410000","0.0","187391","0.0","271850097","0.0"
"2025-05-31","애호박","194682","366532000","153997","26.4","210595500","74.0","178313","9.2","275461653","33.1"
"2025-05-30","애호박","144346","346775000","144456","-0.1","211428500","64.0","177889","-18.9","280201513","23.8"
"2025-05-29","애호박","130264","332813000","140769","-7.5","198436500","67.7","181854","-28.4","282541703","17.8"
"2025-05-28","애호박","112464","298463500","206565","-45.6","237124000","25.9","183110","-38.6","289630587","3.0"
"2025-05-27","애호박","109856","289798400","304220","-63.9","343124500","-15.5","184209","-40.4","296706123","-2.3"
"2025-05-26","애호박","174120","336684500",,"0.0",,"0.0","182989","-4.8","301566813","11.6"
"2025-05-25","애호박",,,"213576","0.0","225928000","0.0","190825","0.0","311542670","0.0"
