"∞≈∑°¿œ¿⁄","«∞∏Ò∏Ì","π›¿‘∑Æ","±›æ◊","¿¸≥‚ π›¿‘∑Æ","¿¸≥‚ π›¿‘∑Æ ¡ı∞®∑¸(%)","¿¸≥‚ ±›æ◊","¿¸≥‚ ±›æ◊ ¡ı∞®∑¸(%)","∆Ú≥‚ π›¿‘∑Æ","∆Ú≥‚ π›¿‘∑Æ ¡ı∞®∑¸(%)","∆Ú≥‚ ±›æ◊","∆Ú≥‚ ±›æ◊ ¡ı∞®∑¸(%)"
"2025-06-30","±‚≈∏","104","89000",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-29","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-28","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-27","±‚≈∏","48","48000",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-26","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-25","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-24","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-23","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-22","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-21","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-20","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-19","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-18","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-17","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-16","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-15","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-14","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-13","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-12","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-11","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-10","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-09","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-08","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-07","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-06","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-05","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-04","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-03","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-02","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-01","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-31","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-30","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-29","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-28","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-27","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-26","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-25","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-24","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-23","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-22","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-21","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-20","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-19","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-18","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-17","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-16","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-15","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-14","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-13","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-12","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-11","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-10","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-09","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-08","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-07","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-06","±‚≈∏",,,,"0.0",,"0.0",,"0.0",,"0.0"
