"거래일자","품목명","반입량","금액","전년 반입량","전년 반입량 증감률(%)","전년 금액","전년 금액 증감률(%)","평년 반입량","평년 반입량 증감률(%)","평년 금액","평년 금액 증감률(%)"
"2025-06-30","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-29","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-28","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-27","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-26","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-25","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-24","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-23","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-22","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-21","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-20","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-19","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-18","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-17","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-16","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-15","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-14","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-13","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-12","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-11","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-10","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-09","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-08","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-07","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-06","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-05","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-04","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-03","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-02","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-01","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-31","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-30","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-29","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-28","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-27","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-26","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-25","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-24","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-23","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-22","기타","600","405000",,"0.0",,"0.0","1836","-67.3","3504516","-88.4"
"2025-05-21","기타",,,,"0.0",,"0.0","1340","0.0","2494500","0.0"
"2025-05-20","기타",,,,"0.0",,"0.0","1236","0.0","2347000","0.0"
"2025-05-19","기타",,,,"0.0",,"0.0","1196","0.0","2332500","0.0"
"2025-05-18","기타",,,,"0.0",,"0.0","1209","0.0","2408600","0.0"
"2025-05-17","기타","1152","2880000",,"0.0",,"0.0","1039","10.9","2081300","38.4"
"2025-05-16","기타",,,,"0.0",,"0.0","1049","0.0","2180900","0.0"
"2025-05-15","기타",,,,"0.0",,"0.0","1343","0.0","2812600","0.0"
"2025-05-14","기타",,,,"0.0",,"0.0","1520","0.0","3220500","0.0"
"2025-05-13","기타",,,,"0.0",,"0.0","1408","0.0","2983500","0.0"
"2025-05-12","기타","732","1830000",,"0.0",,"0.0","1288","-43.2","2293500","-20.2"
"2025-05-11","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-10","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-09","기타","812","2030000",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-08","기타",,,,"0.0",,"0.0","1940","0.0","2667500","0.0"
"2025-05-07","기타",,,,"0.0",,"0.0","1994","0.0","2935625","0.0"
"2025-05-06","기타","392","980000",,"0.0",,"0.0","1740","-77.5","2930500","-66.6"
"2025-05-05","기타",,,,"0.0",,"0.0","1464","0.0","2497500","0.0"
"2025-05-04","기타",,,,"0.0",,"0.0","1509","0.0","2435000","0.0"
"2025-05-03","기타",,,,"0.0",,"0.0","1485","0.0","2789500","0.0"
"2025-05-02","기타","828","2070000",,"0.0",,"0.0","1927","-57.0","4085000","-49.3"
"2025-05-01","기타",,,,"0.0",,"0.0","2249","0.0","5064250","0.0"
"2025-04-30","기타",,,,"0.0",,"0.0","2701","0.0","5671997","0.0"
"2025-04-29","기타","1400","3500000",,"0.0",,"0.0","3344","-58.1","6312500","-44.6"
