"거래일자","품목명","반입량","금액","전년 반입량","전년 반입량 증감률(%)","전년 금액","전년 금액 증감률(%)","평년 반입량","평년 반입량 증감률(%)","평년 금액","평년 금액 증감률(%)"
"2025-06-30","양송이(일반)","8412","45293800",,"0.0",,"0.0","6905","21.8","53305447","-15.0"
"2025-06-29","양송이(일반)",,,"6400","0.0","37588500","0.0","7297","0.0","55483660","0.0"
"2025-06-28","양송이(일반)","7156","35433500","7003","2.2","39604500","-10.5","7410","-3.4","57612327","-38.5"
"2025-06-27","양송이(일반)","6155","32309500","6926","-11.1","43929500","-26.5","7261","-15.2","58622817","-44.9"
"2025-06-26","양송이(일반)","7332","38224000","7516","-2.4","54900000","-30.4","7143","2.6","57219650","-33.2"
"2025-06-25","양송이(일반)","7473","40701400","4959","50.7","42279000","-3.7","6949","7.5","56811447","-28.4"
"2025-06-24","양송이(일반)","6708","40604100","5926","13.2","37657000","7.8","6624","1.3","56290280","-27.9"
"2025-06-23","양송이(일반)","7243","46919500",,"0.0",,"0.0","6445","12.4","55168612","-15.0"
"2025-06-22","양송이(일반)",,,"5572","0.0","31729000","0.0","6762","0.0","55288392","0.0"
"2025-06-21","양송이(일반)","5652","38359900","6621","-14.6","28203500","36.0","7166","-21.1","57392958","-33.2"
"2025-06-20","양송이(일반)","5608","40087500","7468","-24.9","32443500","23.6","7363","-23.8","57016198","-29.7"
"2025-06-19","양송이(일반)","5884","43649500","7435","-20.9","36754250","18.8","7483","-21.4","55377948","-21.2"
"2025-06-18","양송이(일반)","6189","48277000","7561","-18.1","41644500","15.9","7489","-17.4","55538683","-13.1"
"2025-06-17","양송이(일반)","5866","48932000","9552","-38.6","53366000","-8.3","7474","-21.5","56854383","-13.9"
"2025-06-16","양송이(일반)","7576","63909250",,"0.0",,"0.0","7369","2.8","58307392","9.6"
"2025-06-15","양송이(일반)",,,"7300","0.0","44665000","0.0","7384","0.0","62203855","0.0"
"2025-06-14","양송이(일반)","6626","55509500","6255","5.9","40074100","38.5","7456","-11.1","65732725","-15.6"
"2025-06-13","양송이(일반)","5618","46368500","5642","-0.4","37344000","24.2","7500","-25.1","66821812","-30.6"
"2025-06-12","양송이(일반)","5838","49869700","5891","-0.9","36440000","36.9","7247","-19.4","65228532","-23.5"
"2025-06-11","양송이(일반)","4877","46979300","7404","-34.1","49531500","-5.2","7066","-31.0","63785023","-26.3"
"2025-06-10","양송이(일반)","4671","39113000","8668","-46.1","58565750","-33.2","7033","-33.6","61360240","-36.3"
"2025-06-09","양송이(일반)","6695","48869750",,"0.0",,"0.0","7180","-6.8","60082745","-18.7"
"2025-06-08","양송이(일반)",,,"6764","0.0","53054500","0.0","7225","0.0","59100420","0.0"
"2025-06-07","양송이(일반)","6584","48751000","5632","16.9","39861000","22.3","7409","-11.1","60738767","-19.7"
"2025-06-06","양송이(일반)","5405","49979000","5604","-3.6","33819000","47.8","7461","-27.6","61241217","-18.4"
"2025-06-05","양송이(일반)","5086","39849500","6598","-22.9","40788500","-2.3","7572","-32.8","60843643","-34.5"
"2025-06-04","양송이(일반)","6002","40063000","7526","-20.2","48686000","-17.7","7244","-17.1","59079067","-32.2"
"2025-06-03","양송이(일반)","6775","40674200","7518","-9.9","49236700","-17.4","7162","-5.4","58876020","-30.9"
"2025-06-02","양송이(일반)","8195","50378000",,"0.0",,"0.0","7224","13.4","56289973","-10.5"
"2025-06-01","양송이(일반)",,,"6504","0.0","35314500","0.0","7496","0.0","56436807","0.0"
"2025-05-31","양송이(일반)","6708","39282000","7071","-5.1","38182200","2.9","7677","-12.6","56774290","-30.8"
"2025-05-30","양송이(일반)","5269","32318400","6938","-24.1","39252950","-17.7","7962","-33.8","57581267","-43.9"
"2025-05-29","양송이(일반)","5581","30704500","6366","-12.3","35862000","-14.4","7975","-30.0","58164435","-47.2"
"2025-05-28","양송이(일반)","5799","32907850","7675","-24.4","41986000","-21.6","7868","-26.3","57682433","-42.9"
"2025-05-27","양송이(일반)","6731","37753750","9060","-25.7","48160000","-21.6","7767","-13.3","56338853","-33.0"
"2025-05-26","양송이(일반)","9742","47601700",,"0.0",,"0.0","7679","26.9","55458370","-14.2"
"2025-05-25","양송이(일반)",,,"8094","0.0","42053000","0.0","7757","0.0","56690403","0.0"
"2025-05-24","양송이(일반)","7214","36410000","7640","-5.6","39901000","-8.7","7815","-7.7","58093645","-37.3"
"2025-05-23","양송이(일반)","7214","36010500","8092","-10.9","41764500","-13.8","7910","-8.8","56570237","-36.3"
"2025-05-22","양송이(일반)","6409","30839200","8202","-21.9","47067000","-34.5","7947","-19.4","54994983","-43.9"
"2025-05-21","양송이(일반)","6824","30697000","8104","-15.8","52358500","-41.4","7855","-13.1","54362600","-43.5"
"2025-05-20","양송이(일반)","7020","32081500","8282","-15.2","51345500","-37.5","7725","-9.1","56452767","-43.2"
"2025-05-19","양송이(일반)","9827","47652250",,"0.0",,"0.0","7641","28.6","56053517","-15.0"
"2025-05-18","양송이(일반)",,,"7008","0.0","46466500","0.0","7690","0.0","56514847","0.0"
"2025-05-17","양송이(일반)","7800","42801700","5764","35.3","42274500","1.2","8063","-3.3","59879245","-28.5"
"2025-05-16","양송이(일반)","7848","44927600","6659","17.9","43463450","3.4","8236","-4.7","62548403","-28.2"
"2025-05-15","양송이(일반)","6336","37359800","6396","-0.9","41153000","-9.2","8033","-21.1","60795350","-38.5"
"2025-05-14","양송이(일반)","6619","37814150","7061","-6.3","43404500","-12.9","7916","-16.4","58779983","-35.7"
"2025-05-13","양송이(일반)","7108","41922900","8876","-19.9","56748000","-26.1","7750","-8.3","58062267","-27.8"
"2025-05-12","양송이(일반)","9573","62260250",,"0.0",,"0.0","7933","20.7","58840133","5.8"
"2025-05-11","양송이(일반)",,,"6685","0.0","41349500","0.0","8307","0.0","60916933","0.0"
"2025-05-10","양송이(일반)","5240","40327500","7764","-32.5","47354500","-14.8","8451","-38.0","62805840","-35.8"
"2025-05-09","양송이(일반)","6424","47750000","6096","5.4","41734000","14.4","8689","-26.1","63831318","-25.2"
"2025-05-08","양송이(일반)","6491","51282250","6490","0.0","43603000","17.6","8503","-23.7","63324652","-19.0"
"2025-05-07","양송이(일반)","6522","52021650","6290","3.7","42741750","21.7","8115","-19.6","61607628","-15.6"
"2025-05-06","양송이(일반)","5990","50126500","8654","-30.8","59263000","-15.4","8302","-27.8","64539612","-22.3"
"2025-05-05","양송이(일반)","9480","65243500",,"0.0",,"0.0","8449","12.2","64624017","1.0"
"2025-05-04","양송이(일반)",,,"8254","0.0","61148000","0.0","8442","0.0","63430010","0.0"
"2025-05-03","양송이(일반)","7009","58940250","7060","-0.7","51779000","13.8","8594","-18.4","63808077","-7.6"
"2025-05-02","양송이(일반)","6506","54001500","6689","-2.7","43212000","25.0","8760","-25.7","62458325","-13.5"
"2025-05-01","양송이(일반)","6353","50058000","7381","-13.9","46310950","8.1","8531","-25.5","58343708","-14.2"
"2025-04-30","양송이(일반)","6157","47794400","6128","0.5","43454000","10.0","8447","-27.1","55584225","-14.0"
"2025-04-29","양송이(일반)","5368","41989000","7118","-24.6","50861000","-17.4","8378","-35.9","53408458","-21.4"
"2025-04-28","양송이(일반)","7047","46883500",,"0.0",,"0.0","8300","-15.1","52973325","-11.5"
"2025-04-27","양송이(일반)",,,"6456","0.0","42587000","0.0","8532","0.0","54558033","0.0"
"2025-04-26","양송이(일반)","6272","40606500","6090","3.0","42185500","-3.7","8656","-27.5","54353000","-25.3"
"2025-04-25","양송이(일반)","6340","41703000","5122","23.8","36361000","14.7","8554","-25.9","54567850","-23.6"
"2025-04-24","양송이(일반)","5733","37983750","5759","-0.5","39655750","-4.2","8309","-31.0","53676483","-29.2"
"2025-04-23","양송이(일반)","5354","36079000","6734","-20.5","44019000","-18.0","7956","-32.7","52215750","-30.9"
"2025-04-22","양송이(일반)","6976","43009000","8906","-21.7","61426500","-30.0","7620","-8.5","52639283","-18.3"
"2025-04-21","양송이(일반)","9850","61669500",,"0.0",,"0.0","7810","26.1","53668600","14.9"
"2025-04-20","양송이(일반)",,,"6614","0.0","48447500","0.0","8074","0.0","56382117","0.0"
"2025-04-19","양송이(일반)","5538","42760000","6232","-11.1","43219000","-1.1","8185","-32.3","58610900","-27.0"
"2025-04-18","양송이(일반)","5209","37246750","7272","-28.4","51100000","-27.1","8388","-37.9","58924083","-36.8"
"2025-04-17","양송이(일반)","4708","34403500","7037","-33.1","54677450","-37.1","8310","-43.3","57793783","-40.5"
"2025-04-16","양송이(일반)","5445","37538000","6422","-15.2","51294500","-26.8","7976","-31.7","56316963","-33.3"
"2025-04-15","양송이(일반)","5298","34922000","6952","-23.8","54600000","-36.0","7739","-31.5","57378497","-39.1"
"2025-04-14","양송이(일반)","7647","47386500",,"0.0",,"0.0","7441","2.8","56338187","-15.9"
"2025-04-13","양송이(일반)",,,"6982","0.0","54747500","0.0","7566","0.0","53897153","0.0"
"2025-04-12","양송이(일반)","6226","40695500","6011","3.6","46294500","-12.1","7703","-19.2","53755937","-24.3"
"2025-04-11","양송이(일반)","7120","49073000","5820","22.3","43099750","13.9","7860","-9.4","54379387","-9.8"
"2025-04-10","양송이(일반)","7039","48763000","6098","15.4","43818000","11.3","7701","-8.6","54204100","-10.0"
"2025-04-09","양송이(일반)","6454","45925500","5596","15.3","38264500","20.0","7624","-15.3","52976743","-13.3"
"2025-04-08","양송이(일반)","6435","47025500","6952","-7.4","46123250","2.0","7583","-15.1","52850910","-11.0"
"2025-04-07","양송이(일반)","5535","43109500",,"0.0",,"0.0","7544","-26.6","53043077","-18.7"
"2025-04-06","양송이(일반)",,,"6474","0.0","40026500","0.0","7608","0.0","52691618","0.0"
"2025-04-05","양송이(일반)","5128","33755500","7310","-29.8","49651500","-32.0","7584","-32.4","51813002","-34.9"
"2025-04-04","양송이(일반)","5976","35704000","7836","-23.7","57708500","-38.1","7592","-21.3","50781483","-29.7"
"2025-04-03","양송이(일반)","6446","38814500","6223","3.6","50597950","-23.3","7539","-14.5","51086840","-24.0"
"2025-04-02","양송이(일반)","5764","34794000","5952","-3.2","42682500","-18.5","7439","-22.5","49989857","-30.4"
"2025-04-01","양송이(일반)","6991","39785500","5673","23.2","40673500","-2.2","7462","-6.3","51559485","-22.8"
"2025-03-31","양송이(일반)","8652","47170500",,"0.0",,"0.0","7309","18.4","51951405","-9.2"
"2025-03-30","양송이(일반)",,,"6584","0.0","43744500","0.0","7435","0.0","53405413","0.0"
"2025-03-29","양송이(일반)","7272","34277000","5946","22.3","38930000","-12.0","7649","-4.9","55093830","-37.8"
"2025-03-28","양송이(일반)","8060","39658500","6011","34.1","39065750","1.5","7873","2.4","55826530","-29.0"
"2025-03-27","양송이(일반)","8174","45879750","6344","28.8","42488750","8.0","7581","7.8","55924313","-18.0"
"2025-03-26","양송이(일반)","6479","41603000","5960","8.7","39316000","5.8","7411","-12.6","56906533","-26.9"
"2025-03-25","양송이(일반)","5472","34669000","8301","-34.1","51750000","-33.0","7384","-25.9","55098200","-37.1"
"2025-03-24","양송이(일반)","6851","43220500",,"0.0",,"0.0","7034","-2.6","53435417","-19.1"
"2025-03-23","양송이(일반)",,,"6666","0.0","42306500","0.0","6968","0.0","53085400","0.0"
"2025-03-22","양송이(일반)","6348","36501500","7421","-14.5","48704500","-25.1","6980","-9.1","54187875","-32.6"
"2025-03-21","양송이(일반)","5712","33311000","6423","-11.1","46405000","-28.2","7201","-20.7","54671892","-39.1"
"2025-03-20","양송이(일반)","6197","33485500","6290","-1.5","49328500","-32.1","7405","-16.3","53470942","-37.4"
"2025-03-19","양송이(일반)","6222","33325700","6860","-9.3","53986500","-38.3","7252","-14.2","53212158","-37.4"
"2025-03-18","양송이(일반)","7148","37519500","7990","-10.5","57043500","-34.2","7078","1.0","53167550","-29.4"
