"거래일자","품목명","반입량","금액","전년 반입량","전년 반입량 증감률(%)","전년 금액","전년 금액 증감률(%)","평년 반입량","평년 반입량 증감률(%)","평년 금액","평년 금액 증감률(%)"
"2025-06-30","기타",,,,"0.0",,"0.0","85273","0.0","87941725","0.0"
"2025-06-29","기타",,,"850","0.0","397200","0.0","103431","0.0","95565868","0.0"
"2025-06-28","기타","260","197600","1070","-75.7","660900","-70.1","96071","-99.7","90875316","-99.8"
"2025-06-27","기타","340","228800","766","-55.6","553500","-58.7","82052","-99.6","77321504","-99.7"
"2025-06-26","기타","850","539500","780","9.0","489100","10.3","60187","-98.6","81923175","-99.3"
"2025-06-25","기타","300","205000","420","-28.6","273000","-24.9","33600","-99.1","43887047","-99.5"
"2025-06-24","기타","276","207000","500","-44.8","285000","-27.4","13474","-98.0","15639131","-98.7"
"2025-06-23","기타","790","394000",,"0.0",,"0.0","6454","-87.8","7303527","-94.6"
"2025-06-22","기타",,,"600","0.0","396000","0.0","6537","0.0","7427332","0.0"
"2025-06-21","기타",,,"480","0.0","353400","0.0","3822","0.0","4627146","0.0"
"2025-06-20","기타","70","48000","400","-82.5","320000","-85.0","3782","-98.1","4933518","-99.0"
"2025-06-19","기타","150","108000",,"0.0",,"0.0","9974","-98.5","12464454","-99.1"
"2025-06-18","기타","140","116200","840","-83.3","420000","-72.3","21860","-99.4","26775498","-99.6"
"2025-06-17","기타",,,"1690","0.0","854000","0.0","24240","0.0","29297058","0.0"
"2025-06-16","기타","120","72000",,"0.0",,"0.0","23543","-99.5","28315644","-99.7"
"2025-06-15","기타",,,"1720","0.0","988500","0.0","34794","0.0","45754906","0.0"
"2025-06-14","기타","80","44000","730","-89.0","453500","-90.3","39681","-99.8","38007221","-99.9"
"2025-06-13","기타","910","466400","210","333.3","138600","236.5","33086","-97.2","29868125","-98.4"
"2025-06-12","기타","1020","413000",,"0.0",,"0.0","38021","-97.3","34892531","-98.8"
"2025-06-11","기타","1290","563500",,"0.0",,"0.0","39874","-96.8","38726093","-98.5"
"2025-06-10","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-09","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-08","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-07","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-06","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-05","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-04","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-03","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-02","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-01","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-31","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-30","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-29","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-28","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-27","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-26","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-25","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-24","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-23","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-22","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-21","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-20","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-19","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-18","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-17","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-16","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-15","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-14","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-13","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-12","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-11","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-10","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-09","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-08","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-07","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-06","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-05","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-04","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-03","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-02","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-01","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-30","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-29","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-28","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-27","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-26","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-25","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-24","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-23","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-22","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-21","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-20","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-19","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-18","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-17","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-16","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-15","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-14","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-13","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-12","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-11","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-10","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-09","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-08","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-07","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-06","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-05","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-04","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-03","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-02","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-01","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-31","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-30","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-29","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-28","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-27","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-26","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-25","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-24","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-23","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-22","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-21","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-20","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-19","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-18","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-17","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-16","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-15","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-14","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-13","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-12","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-11","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-10","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-09","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-08","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-07","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
