"거래일자","품목명","반입량","금액","전년 반입량","전년 반입량 증감률(%)","전년 금액","전년 금액 증감률(%)","평년 반입량","평년 반입량 증감률(%)","평년 금액","평년 금액 증감률(%)"
"2025-06-30","가시오이","8750","9580000",,"0.0",,"0.0","4875","79.5","6460850","48.3"
"2025-06-29","가시오이",,,"3300","0.0","4841000","0.0","5112","0.0","6300050","0.0"
"2025-06-28","가시오이","4240","5117500","3230","31.3","4236500","20.8","5373","-21.1","6070833","-15.7"
"2025-06-27","가시오이","7315","7757500","4720","55.0","5316000","45.9","5553","31.7","6364133","21.9"
"2025-06-26","가시오이","2940","3921000","4370","-32.7","4869500","-19.5","5893","-50.1","6936567","-43.5"
"2025-06-25","가시오이","7330","7168000","4690","56.3","5104000","40.4","5981","22.6","7020113","2.1"
"2025-06-24","가시오이","3050","4388500","7190","-57.6","6934500","-36.7","6241","-51.1","6953270","-36.9"
"2025-06-23","가시오이","8255","8584000",,"0.0",,"0.0","6284","31.4","7701867","11.5"
"2025-06-22","가시오이",,,"6710","0.0","5761500","0.0","6236","0.0","7843287","0.0"
"2025-06-21","가시오이","8420","6705000","4140","103.4","5426000","23.6","6060","38.9","7513967","-10.8"
"2025-06-20","가시오이","7990","7158500","2850","180.4","4069500","75.9","6085","31.3","6981600","2.5"
"2025-06-19","가시오이","9850","9082500","2430","305.3","2438500","272.5","6085","61.9","6938537","30.9"
"2025-06-18","가시오이","11770","11518000","4410","166.9","2990000","285.2","5770","104.0","6485650","77.6"
"2025-06-17","가시오이","9750","9580500","7690","26.8","4926500","94.5","5714","70.6","5725017","67.3"
"2025-06-16","가시오이","10650","9480500",,"0.0",,"0.0","5723","86.1","5265317","80.1"
"2025-06-15","가시오이",,,"5000","0.0","2925000","0.0","5472","0.0","4995067","0.0"
"2025-06-14","가시오이","5310","5235000","5250","1.1","3780500","38.5","5155","3.0","4590617","14.0"
"2025-06-13","가시오이","5910","4373000","5100","15.9","3939000","11.0","4728","25.0","4618300","-5.3"
"2025-06-12","가시오이","5430","4496000","5250","3.4","5119500","-12.2","4172","30.2","4396510","2.3"
"2025-06-11","가시오이","5230","4153500","2610","100.4","3309500","25.5","3433","52.3","3878343","7.1"
"2025-06-10","가시오이","5650","5028000","2610","116.5","2956000","70.1","2864","97.3","3336277","50.7"
