"芭贰老磊","前格疙","馆涝樊","陛咀","傈斥 馆涝樊","傈斥 馆涝樊 刘皑伏(%)","傈斥 陛咀","傈斥 陛咀 刘皑伏(%)","乞斥 馆涝樊","乞斥 馆涝樊 刘皑伏(%)","乞斥 陛咀","乞斥 陛咀 刘皑伏(%)"
"2025-06-30","瘪率颇","9916","117316000",,"0.0",,"0.0","8245","20.3","73862533","58.8"
"2025-06-29","瘪率颇",,,"6752","0.0","91674000","0.0","8237","0.0","76634600","0.0"
"2025-06-28","瘪率颇","11517","102844700","7454","54.5","103728000","-0.9","8452","36.3","79646467","29.1"
"2025-06-27","瘪率颇","11140","113791600","4844","130.0","66905000","70.1","8350","33.4","79554400","43.0"
"2025-06-26","瘪率颇","10736","114078200","8229","30.5","82104000","38.9","8273","29.8","82350700","38.5"
"2025-06-25","瘪率颇","11380","115326200","8103","40.4","106996000","7.8","8033","41.7","79654433","44.8"
"2025-06-24","瘪率颇","14228","126065800","9106","56.2","146848000","-14.2","7880","80.6","73806392","70.8"
"2025-06-23","瘪率颇","10138","126887000",,"0.0",,"0.0","7696","31.7","73442138","72.8"
"2025-06-22","瘪率颇",,,"5867","0.0","101840000","0.0","7634","0.0","78629238","0.0"
"2025-06-21","瘪率颇","12744","96833600","6251","103.9","96266000","0.6","8020","58.9","82621105","17.2"
"2025-06-20","瘪率颇","11224","90732500","5910","89.9","91802000","-1.2","8253","36.0","84163505","7.8"
"2025-06-19","瘪率颇","14774","108715300","7017","110.5","96611000","12.5","8368","76.6","86197013","26.1"
"2025-06-18","瘪率颇","11931","87313000","6990","70.7","96930000","-9.9","8495","40.4","84572400","3.2"
"2025-06-17","瘪率颇","15738","99111500","7855","100.4","92696000","6.9","8727","80.3","82268167","20.5"
"2025-06-16","瘪率颇","15796","103068600",,"0.0",,"0.0","9043","74.7","79956800","28.9"
"2025-06-15","瘪率颇",,,"9791","0.0","79295000","0.0","9694","0.0","79643967","0.0"
"2025-06-14","瘪率颇","14133","83483100","11203","26.2","84232000","-0.9","10407","35.8","80953033","3.1"
"2025-06-13","瘪率颇","14138","72705300","13008","8.7","85715000","-15.2","10610","33.3","81908633","-11.2"
"2025-06-12","瘪率颇","14539","70228000","13113","10.9","94889000","-26.0","10639","36.7","83043100","-15.4"
"2025-06-11","瘪率颇","15018","82559000","11538","30.2","102050000","-19.1","10729","40.0","83673867","-1.3"
"2025-06-10","瘪率颇","15934","87911800","12662","25.8","116659000","-24.6","11178","42.5","83023433","5.9"
"2025-06-09","瘪率颇","15896","79942000",,"0.0",,"0.0","11213","41.8","83410593","-4.2"
"2025-06-08","瘪率颇",,,"10860","0.0","87783000","0.0","11362","0.0","83617983","0.0"
"2025-06-07","瘪率颇","16483","70263900","12888","27.9","93037000","-24.5","11610","42.0","84999003","-17.3"
