"거래일자","품목명","반입량","금액","전년 반입량","전년 반입량 증감률(%)","전년 금액","전년 금액 증감률(%)","평년 반입량","평년 반입량 증감률(%)","평년 금액","평년 금액 증감률(%)"
"2025-06-30","레드치커리","2430","9847800",,"0.0",,"0.0","2513","-3.3","11167613","-11.8"
"2025-06-29","레드치커리",,,"1972","0.0","9900400","0.0","2483","0.0","10418760","0.0"
"2025-06-28","레드치커리","2892","11235400","2836","2.0","10380300","8.2","2561","12.9","10220007","9.9"
"2025-06-27","레드치커리","2860","12209900","2866","-0.2","10494800","16.3","2704","5.8","10777123","13.3"
"2025-06-26","레드치커리","2254","9786700","2874","-21.6","11620500","-15.8","2761","-18.4","10917017","-10.4"
"2025-06-25","레드치커리","2926","10717100","2822","3.7","12597500","-14.9","2692","8.7","10828757","-1.0"
"2025-06-24","레드치커리","3080","11644600","2710","13.7","11251500","3.5","2604","18.3","11121430","4.7"
"2025-06-23","레드치커리","3644","15340000",,"0.0",,"0.0","2629","38.6","10997367","39.5"
"2025-06-22","레드치커리",,,"2306","0.0","10006600","0.0","2592","0.0","11077863","0.0"
"2025-06-21","레드치커리","2372","6518600","2274","4.3","8075700","-19.3","2605","-8.9","10798477","-39.6"
"2025-06-20","레드치커리","1854","5973800","2732","-32.1","9007700","-33.7","2733","-32.2","10818257","-44.8"
"2025-06-19","레드치커리","3204","10298100","2868","11.7","8466700","21.6","2854","12.3","10769257","-4.4"
"2025-06-18","레드치커리","3738","14135000","3442","8.6","10925300","29.4","2941","27.1","10697973","32.1"
"2025-06-17","레드치커리","2848","12945600","3774","-24.5","11832500","9.4","2891","-1.5","10618327","21.9"
"2025-06-16","레드치커리","3146","14819300",,"0.0",,"0.0","2834","11.0","10915353","35.8"
"2025-06-15","레드치커리",,,"2296","0.0","6244900","0.0","2803","0.0","10930937","0.0"
"2025-06-14","레드치커리","3034","15289300","3220","-5.8","9393700","62.8","2675","13.4","10757680","42.1"
"2025-06-13","레드치커리","3308","15274200","3228","2.5","8917500","71.3","2738","20.8","10498920","45.5"
"2025-06-12","레드치커리","3110","14702200","2748","13.2","7637500","92.5","2855","8.9","11414240","28.8"
"2025-06-11","레드치커리","2006","8588400","3834","-47.7","14021100","-38.7","2952","-32.0","11968790","-28.2"
"2025-06-10","레드치커리","1676","5612000","4276","-60.8","16234400","-65.4","2882","-41.8","12105093","-53.6"
"2025-06-09","레드치커리","2646","8477200",,"0.0",,"0.0","2755","-4.0","13250897","-36.0"
"2025-06-08","레드치커리",,,"3442","0.0","9238500","0.0","2676","0.0","13562110","0.0"
"2025-06-07","레드치커리","2036","6595500","3708","-45.1","11358400","-41.9","2750","-26.0","12995037","-49.2"
"2025-06-06","레드치커리","2288","9123700","3310","-30.9","12144500","-24.9","2732","-16.3","12168987","-25.0"
"2025-06-05","레드치커리","1922","7685600","3286","-41.5","13231800","-41.9","2626","-26.8","12385060","-37.9"
"2025-06-04","레드치커리","3114","11744100","2228","39.8","9103900","29.0","2582","20.6","12776097","-8.1"
"2025-06-03","레드치커리","2566","9219600","2768","-7.3","10431600","-11.6","2577","-0.4","12073790","-23.6"
"2025-06-02","레드치커리","4320","17821100",,"0.0",,"0.0","2705","59.7","11834420","50.6"
"2025-06-01","레드치커리",,,"3464","0.0","11201900","0.0","2948","0.0","12009253","0.0"
"2025-05-31","레드치커리","3722","18460800","3688","0.9","13363800","38.1","3097","20.2","12226847","51.0"
"2025-05-30","레드치커리","3914","21498400","3468","12.9","12897300","66.7","3194","22.5","11899270","80.7"
"2025-05-29","레드치커리","4884","26622500","3426","42.6","13423600","98.3","3413","43.1","12809387","107.8"
"2025-05-28","레드치커리","5084","31363500","3770","34.9","13858100","126.3","3213","58.2","13325633","135.4"
"2025-05-27","레드치커리","3578","25606000","4372","-18.2","18757400","36.5","3152","13.5","13888187","84.4"
"2025-05-26","레드치커리","4246","30616100",,"0.0",,"0.0","3013","40.9","13748547","122.7"
"2025-05-25","레드치커리",,,"5686","0.0","24970800","0.0","2965","0.0","13781140","0.0"
"2025-05-24","레드치커리","2895","24160400","4306","-32.8","25213200","-4.2","2875","0.7","14093283","71.4"
"2025-05-23","레드치커리","1969","16020900","2906","-32.2","18521200","-13.5","2943","-33.1","14391293","11.3"
"2025-05-22","레드치커리","2407","18430700","2920","-17.6","15641000","17.8","2867","-16.0","14403527","28.0"
"2025-05-21","레드치커리","2699","19841300","3856","-30.0","17155000","15.7","2855","-5.5","14470327","37.1"
"2025-05-20","레드치커리","3520","27956800","3668","-4.0","19697300","41.9","2835","24.2","15058183","85.7"
"2025-05-19","레드치커리","2836","25322900",,"0.0",,"0.0","2811","0.9","15476063","63.6"
"2025-05-18","레드치커리",,,"3214","0.0","19439300","0.0","2687","0.0","15156583","0.0"
"2025-05-17","레드치커리","4816","36944700","2590","85.9","12172200","203.5","2579","86.7","14726977","150.9"
"2025-05-16","레드치커리","1334","12037000","2174","-38.6","7659600","57.1","2475","-46.1","14576543","-17.4"
"2025-05-15","레드치커리","4010","29554700","2814","42.5","11786700","150.7","2420","65.7","13878970","112.9"
"2025-05-14","레드치커리","2178","19197700","2958","-26.4","12566200","52.8","2423","-10.1","13615710","41.0"
"2025-05-13","레드치커리","4130","40785100","3872","6.7","16606200","145.6","2478","66.7","13069710","212.1"
"2025-05-12","레드치커리","3384","33203900",,"0.0",,"0.0","2475","36.7","12678373","161.9"
"2025-05-11","레드치커리",,,"3186","0.0","12795800","0.0","2601","0.0","12753983","0.0"
"2025-05-10","레드치커리","4322","40204600","3104","39.2","10530700","281.8","2443","76.9","13004840","209.2"
"2025-05-09","레드치커리","3356","30437400","4580","-26.7","14171000","114.8","2425","38.4","13645473","123.1"
"2025-05-08","레드치커리","3582","49968000","5368","-33.3","16388500","204.9","2308","55.2","13963440","257.8"
"2025-05-07","레드치커리","2214","29654300","6606","-66.5","25649100","15.6","2234","-0.9","14040953","111.2"
"2025-05-06","레드치커리","3668","40970500","3660","0.2","18109500","126.2","2115","73.4","14462077","183.3"
"2025-05-05","레드치커리","2470","27065300",,"0.0",,"0.0","2094","18.0","14230513","90.2"
"2025-05-04","레드치커리",,,"6872","0.0","32206700","0.0","2032","0.0","13738463","0.0"
"2025-05-03","레드치커리","2302","29048500","4852","-52.6","23914100","21.5","1871","23.0","12547437","131.5"
"2025-05-02","레드치커리","1472","11627700","4264","-65.5","26501600","-56.1","1923","-23.5","11985557","-3.0"
"2025-05-01","레드치커리","2264","17593400","4184","-45.9","21823800","-19.4","1873","20.9","10142017","73.5"
