"°Å·¡ÀÏÀÚ","Ç°¸ס¸ם","¹ÝÀÔ·®","±Ý¾×","Àü³ג ¹ÝÀÔ·®","Àü³ג ¹ÝÀÔ·® Áץ°¨·ü(%)","Àü³ג ±Ý¾×","Àü³ג ±Ý¾× Áץ°¨·ü(%)","Æע³ג ¹ÝÀÔ·®","Æע³ג ¹ÝÀÔ·® Áץ°¨·ü(%)","Æע³ג ±Ý¾×","Æע³ג ±Ý¾× Áץ°¨·ü(%)"
"2025-06-30","ÆØÀÌ","59120","81630000",,"0.0",,"0.0","57909","2.1","82898067","-1.5"
"2025-06-29","ÆØÀÌ",,,"55370","0.0","85877000","0.0","57878","0.0","84496217","0.0"
"2025-06-28","ÆØÀÌ","58525","78736000","55480","5.5","78769000","0.0","57171","2.4","83185467","-5.3"
"2025-06-27","ÆØÀÌ","56310","73113000","56010","0.5","79821000","-8.4","56524","-0.4","81819083","-10.6"
"2025-06-26","ÆØÀÌ","54830","67560000","55590","-1.4","77077500","-12.3","56172","-2.4","79699383","-15.2"
"2025-06-25","ÆØÀÌ","55665","67411500","52225","6.6","75740000","-11.0","55871","-0.4","79610717","-15.3"
"2025-06-24","ÆØÀÌ","55730","67338500","58645","-5.0","84868500","-20.7","55967","-0.4","80990083","-16.9"
"2025-06-23","ÆØÀÌ","60820","75958000",,"0.0",,"0.0","55768","9.1","82159983","-7.5"
"2025-06-22","ÆØÀÌ",,,"56370","0.0","69225500","0.0","56744","0.0","82149333","0.0"
"2025-06-21","ÆØÀÌ","56510","70214000","53465","5.7","67328500","4.3","57457","-1.6","82452683","-14.8"
"2025-06-20","ÆØÀÌ","55625","67890000","57700","-3.6","78213500","-13.2","57784","-3.7","82941425","-18.1"
"2025-06-19","ÆØÀÌ","55595","69799000","55380","0.4","86536500","-19.3","57910","-4.0","84254745","-17.2"
"2025-06-18","ÆØÀÌ","56335","74444000","59380","-5.1","100099500","-25.6","57673","-2.3","86620162","-14.1"
"2025-06-17","ÆØÀÌ","54595","75492500","56485","-3.3","95280000","-20.8","56320","-3.1","86529078","-12.8"
"2025-06-16","ÆØÀÌ","58045","83642500",,"0.0",,"0.0","55700","4.2","85090178","-1.7"
