"거래일자","품목명","반입량","금액","전년 반입량","전년 반입량 증감률(%)","전년 금액","전년 금액 증감률(%)","평년 반입량","평년 반입량 증감률(%)","평년 금액","평년 금액 증감률(%)"
"2025-06-30","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-29","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-28","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-27","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-26","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-25","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-24","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-23","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-22","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-21","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-20","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-19","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-18","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-17","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-16","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-15","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-14","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-13","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-12","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-11","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-10","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-09","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-08","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-07","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-06","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-05","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-04","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-03","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-02","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-01","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-31","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-30","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-29","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-28","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-27","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-26","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-25","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-24","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-23","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-22","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-21","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-20","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-19","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-18","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-17","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-16","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-15","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-14","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-13","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-12","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-11","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-10","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-09","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-08","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-07","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-06","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-05","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-04","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-03","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-02","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-01","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-30","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-29","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-28","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-27","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-26","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-25","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-24","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-23","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-22","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-21","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-20","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-19","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-18","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-17","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-16","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-15","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-14","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-13","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-12","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-11","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-10","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-09","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-08","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-07","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-06","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-05","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-04","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-03","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-02","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-01","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-31","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-30","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-29","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-28","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-27","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-26","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-25","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-24","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-23","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-22","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-21","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-20","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-19","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-18","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-17","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-16","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-15","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-14","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-13","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-12","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-11","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-10","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-09","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-08","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-07","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-06","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-05","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-04","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-03","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-02","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-01","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-28","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-27","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-26","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-25","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-24","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-23","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-22","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-21","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-20","건표고버섯",,,,"0.0",,"0.0",,"0.0",,"0.0"
