"거래일자","품목명","반입량","금액","전년 반입량","전년 반입량 증감률(%)","전년 금액","전년 금액 증감률(%)","평년 반입량","평년 반입량 증감률(%)","평년 금액","평년 금액 증감률(%)"
"2025-06-30","기타","3364","16783000",,"0.0",,"0.0","2982","12.8","11672103","43.8"
"2025-06-29","기타",,,"2355","0.0","10445000","0.0","2880","0.0","12458553","0.0"
"2025-06-28","기타","2497","13344000","2361","5.8","10075500","32.4","2943","-15.2","13168053","1.3"
"2025-06-27","기타","3236","17891500","2732","18.4","14760500","21.2","3090","4.7","13533170","32.2"
"2025-06-26","기타","2938","14784500","3707","-20.7","19943000","-25.9","3067","-4.2","13922723","6.2"
"2025-06-25","기타","2465","13457000","1521","62.1","10848000","24.1","2836","-13.1","13156480","2.3"
"2025-06-24","기타","2490","12842500","3008","-17.2","14382000","-10.7","2882","-13.6","12939883","-0.8"
"2025-06-23","기타","2538","12560000",,"0.0",,"0.0","3266","-22.3","13786997","-8.9"
"2025-06-22","기타",,,"1465","0.0","7693000","0.0","3167","0.0","13466623","0.0"
"2025-06-21","기타","3656","18481000","2529","44.6","12242500","51.0","3061","19.4","13256473","39.4"
"2025-06-20","기타","2845","14528500","2222","28.0","9994000","45.4","3145","-9.5","13921783","4.4"
"2025-06-19","기타","2562","14068000","2510","2.1","11805500","19.2","3069","-16.5","14076683","-0.1"
"2025-06-18","기타","3059","18546500","3017","1.4","13247500","40.0","3139","-2.5","14588700","27.1"
"2025-06-17","기타","2678","14649000","3759","-28.8","17444500","-16.0","3039","-11.9","14424033","1.6"
"2025-06-16","기타","2595","13260500",,"0.0",,"0.0","3216","-19.3","15523050","-14.6"
"2025-06-15","기타",,,"2751","0.0","13758000","0.0","3258","0.0","15569783","0.0"
"2025-06-14","기타","3928","20995000","4370","-10.1","21781000","-3.6","3159","24.3","15631683","34.3"
"2025-06-13","기타","3958","20311500","3367","17.6","18371000","10.6","3239","22.2","15278167","32.9"
"2025-06-12","기타","3151","18090500","3166","-0.5","18954000","-4.6","3291","-4.3","16067533","12.6"
"2025-06-11","기타","2923","18053000","2766","5.7","15620000","15.6","3215","-9.1","15657350","15.3"
"2025-06-10","기타","2940","19091500","2958","-0.6","16979500","12.4","2881","2.0","15899817","20.1"
"2025-06-09","기타","3026","19182000",,"0.0",,"0.0","3270","-7.5","16337710","17.4"
"2025-06-08","기타",,,"2043","0.0","11896000","0.0","3494","0.0","17107223","0.0"
"2025-06-07","기타","3630","22842000","2994","21.2","15289000","49.4","3381","7.4","16931773","34.9"
"2025-06-06","기타","3075","19640500","2449","25.6","15292000","28.4","3287","-6.4","16642307","18.0"
"2025-06-05","기타","3088","19322000","2612","18.2","16562000","16.7","3093","-0.2","15986680","20.9"
"2025-06-04","기타","2947","18647500","2344","25.7","17053000","9.4","2846","3.5","14993417","24.4"
"2025-06-03","기타","2510","17159000","3078","-18.5","18465000","-7.1","2855","-12.1","15156930","13.2"
"2025-06-02","기타","2669","16307500",,"0.0",,"0.0","2910","-8.3","15362337","6.2"
"2025-06-01","기타",,,"2670","0.0","16225000","0.0","2960","0.0","15413603","0.0"
"2025-05-31","기타","3002","15728000","1954","53.6","12964500","21.3","3075","-2.4","15957393","-1.4"
"2025-05-30","기타","3225","19577000","2200","46.6","12692000","54.2","3153","2.3","17407293","12.5"
"2025-05-29","기타","2642","16491000","2365","11.7","14144000","16.6","3379","-21.8","18191340","-9.3"
"2025-05-28","기타","2246","14221500","2508","-10.4","15710500","-9.5","3303","-32.0","17779143","-20.0"
"2025-05-27","기타","1760","10634000","3290","-46.5","17854000","-40.4","3109","-43.4","17009860","-37.5"
"2025-05-26","기타","3163","16216000",,"0.0",,"0.0","3114","1.6","17619670","-8.0"
"2025-05-25","기타",,,"2502","0.0","15448500","0.0","3108","0.0","17579950","0.0"
"2025-05-24","기타","5239","23285000","4729","10.8","22892000","1.7","3006","74.3","17051350","36.6"
"2025-05-23","기타","4175","21077500","2675","56.1","15392000","36.9","3007","38.8","17053807","23.6"
"2025-05-22","기타","2973","15609500","2167","37.2","13554000","15.2","3159","-5.9","16664240","-6.3"
"2025-05-21","기타","3311","18745000","1983","67.0","12432500","50.8","3166","4.6","16012213","17.1"
"2025-05-20","기타","2260","12655000","1812","24.7","11191000","13.1","2996","-24.6","15891883","-20.4"
"2025-05-19","기타","3812","23942000",,"0.0",,"0.0","3048","25.1","16916733","41.5"
"2025-05-18","기타",,,"3730","0.0","21374000","0.0","2987","0.0","16798533","0.0"
"2025-05-17","기타","3487","20830000","2909","19.9","17900000","16.4","2944","18.4","16831217","23.8"
"2025-05-16","기타","2820","17550500","2271","24.2","14569500","20.5","2824","-0.1","16606550","5.7"
"2025-05-15","기타","2587","17066500","1493","73.3","10458000","63.2","2822","-8.3","16642050","2.6"
"2025-05-14","기타","2396","15213500","2986","-19.8","17032000","-10.7","2814","-14.9","16725633","-9.0"
"2025-05-13","기타","2413","15197000","3223","-25.1","17640500","-13.9","2807","-14.0","16313433","-6.8"
"2025-05-12","기타","3085","20199000",,"0.0",,"0.0","2966","4.0","17632633","14.6"
"2025-05-11","기타",,,"2690","0.0","14584000","0.0","2964","0.0","17523867","0.0"
"2025-05-10","기타","2715","17317000","3329","-18.4","19485000","-11.1","2933","-7.4","18077400","-4.2"
"2025-05-09","기타","3174","21669500","3010","5.4","18007000","20.3","2714","16.9","16982950","27.6"
"2025-05-08","기타","2258","15864000","1850","22.1","12360000","28.3","2754","-18.0","17135720","-7.4"
"2025-05-07","기타","2629","18104500","2345","12.1","13909500","30.2","2817","-6.7","17674270","2.4"
"2025-05-06","기타","1653","12326500","3599","-54.1","21895500","-43.7","2759","-40.1","17841893","-30.9"
"2025-05-05","기타","3253","22121000",,"0.0",,"0.0","2733","19.0","18101760","22.2"
"2025-05-04","기타",,,"2500","0.0","19451000","0.0","2792","0.0","18891560","0.0"
"2025-05-03","기타","2875","19108000","2259","27.3","17390000","9.9","2711","6.0","18951290","0.8"
"2025-05-02","기타","3232","23588500","2365","36.7","19071000","23.7","2544","27.0","18093540","30.4"
"2025-05-01","기타","3013","21232500","2468","22.1","22712000","-6.5","2526","19.3","17629833","20.4"
"2025-04-30","기타","2635","19154000","1855","42.0","19139000","0.1","2571","2.5","17704667","8.2"
"2025-04-29","기타","2220","16543000","2614","-15.1","21710000","-23.8","2578","-13.9","17614447","-6.1"
"2025-04-28","기타","3204","23836000",,"0.0",,"0.0","2607","22.9","17600983","35.4"
"2025-04-27","기타",,,"1850","0.0","15578000","0.0","2533","0.0","17281335","0.0"
"2025-04-26","기타","2848","19786500","1923","48.1","15855000","24.8","2378","19.8","17297533","14.4"
"2025-04-25","기타","2846","19910000","1355","110.0","11989000","66.1","2365","20.3","16922783","17.7"
"2025-04-24","기타","2110","14703500","2502","-15.7","21953500","-33.0","2306","-8.5","16495050","-10.9"
"2025-04-23","기타","3038","22590500","1560","94.7","15488000","45.9","2275","33.5","15916668","41.9"
"2025-04-22","기타","1995","14806000","2440","-18.2","21126500","-29.9","2215","-9.9","15548180","-4.8"
"2025-04-21","기타","2322","17566000",,"0.0",,"0.0","2150","8.0","15286423","14.9"
"2025-04-20","기타",,,"1585","0.0","13465000","0.0","2116","0.0","14779928","0.0"
"2025-04-19","기타","2404","18595000","1528","57.3","12782500","45.5","2119","13.4","14350312","29.6"
"2025-04-18","기타","2610","22075500","2140","22.0","15792500","39.8","2175","20.0","14317453","54.2"
"2025-04-17","기타","1895","16660000","1754","8.0","14150500","17.7","2288","-17.2","15414653","8.1"
"2025-04-16","기타","2393","19630500","1820","31.5","14860000","32.1","2315","3.4","15730430","24.8"
"2025-04-15","기타","1605","15965500","1706","-5.9","13921000","14.7","2257","-28.9","15709483","1.6"
"2025-04-14","기타","1662","15583500",,"0.0",,"0.0","2182","-23.8","15359350","1.5"
"2025-04-13","기타",,,"3195","0.0","21928500","0.0","2429","0.0","16979357","0.0"
"2025-04-12","기타","2290","18981500","1837","24.7","15778500","20.3","2482","-7.7","17050533","11.3"
"2025-04-11","기타","1560","13293500","2594","-39.9","20087000","-33.8","2518","-38.0","17343183","-23.4"
"2025-04-10","기타","1823","16271000","1887","-3.4","15136000","7.5","2560","-28.8","17786050","-8.5"
"2025-04-09","기타","1876","17062500","2265","-17.2","17635000","-3.2","2374","-21.0","17772600","-4.0"
"2025-04-08","기타","1801","19358000","2595","-30.6","20245500","-4.4","2165","-16.8","16717017","15.8"
"2025-04-07","기타","1467","15782500",,"0.0",,"0.0","2030","-27.7","16333717","-3.4"
"2025-04-06","기타",,,"1725","0.0","14811000","0.0","1978","0.0","16426750","0.0"
"2025-04-05","기타","1915","19693000","1714","11.7","15885000","24.0","1908","0.4","16301900","20.8"
"2025-04-04","기타","1670","18082500","1655","0.9","15955500","13.3","1818","-8.1","15527367","16.5"
"2025-04-03","기타","1893","20071000","2355","-19.6","22705000","-11.6","1990","-4.9","17010013","18.0"
"2025-04-02","기타","1670","17219500","2025","-17.5","22048000","-21.9","2026","-17.6","17559780","-1.9"
"2025-04-01","기타","1605","17025000","2005","-20.0","23162500","-26.5","2056","-21.9","18293713","-6.9"
"2025-03-31","기타","1945","20431000",,"0.0",,"0.0","1992","-2.4","18621080","9.7"
"2025-03-30","기타",,,"2030","0.0","22519000","0.0","1960","0.0","18707197","0.0"
"2025-03-29","기타","1876","20952000","1713","9.5","20779000","0.8","1703","10.2","16709883","25.4"
"2025-03-28","기타","2009","22734500","1765","13.8","21109500","7.7","1610","24.8","15542000","46.3"
"2025-03-27","기타","1598","19919000","1758","-9.1","20283000","-1.8","1505","6.2","14746733","35.1"
"2025-03-26","기타","1736","22648000","1185","46.5","15909000","42.4","1585","9.5","15040533","50.6"
"2025-03-25","기타","1390","17169000","1315","5.7","13506000","27.1","1511","-8.0","14865450","15.5"
"2025-03-24","기타","1390","15042000",,"0.0",,"0.0","1596","-12.9","15607507","-3.6"
"2025-03-23","기타",,,"1185","0.0","12289000","0.0","1670","0.0","16101033","0.0"
"2025-03-22","기타","2093","19687500","1386","51.0","15265000","29.0","1678","24.7","16221326","21.4"
"2025-03-21","기타","2255","21991000","1799","25.3","18651500","17.9","1726","30.6","16494993","33.3"
"2025-03-20","기타","1736","19065000","1957","-11.3","21291000","-10.5","1740","-0.2","16387610","16.3"
"2025-03-19","기타","1275","14788000","1635","-22.0","19445000","-23.9","1728","-26.2","15479803","-4.5"
"2025-03-18","기타","1290","13248000","1760","-26.7","18314500","-27.7","1660","-22.3","14788517","-10.4"
"2025-03-17","기타","1708","15642500",,"0.0",,"0.0","1645","3.8","14977583","4.4"
"2025-03-16","기타",,,"1455","0.0","15492500","0.0","1607","0.0","14502967","0.0"
"2025-03-15","기타","2027","17214000","1777","14.1","20520500","-16.1","1666","21.7","15517000","10.9"
"2025-03-14","기타","2440","23908000","1521","60.4","17342500","37.9","1715","42.3","16193567","47.6"
"2025-03-13","기타","1945","17555500","1726","12.7","19177500","-8.5","1817","7.0","17515550","0.2"
"2025-03-12","기타","2915","24264500","1635","78.3","19829000","22.4","1886","54.6","17258760","40.6"
"2025-03-11","기타","2125","17488000","1192","78.3","14047000","24.5","1911","11.2","17712693","-1.3"
"2025-03-10","기타","2580","21510500",,"0.0",,"0.0","1839","40.3","17541950","22.6"
"2025-03-09","기타",,,"1125","0.0","11996000","0.0","1756","0.0","17099127","0.0"
"2025-03-08","기타","2059","18139500","1557","32.2","17963000","1.0","1593","29.3","15904000","14.1"
"2025-03-07","기타","2656","24290500","1325","100.5","15528000","56.4","1404","89.2","15313700","58.6"
"2025-03-06","기타","1952","18355000","1672","16.7","19323500","-5.0","1325","47.3","14599200","25.7"
"2025-03-05","기타",,,"1435","0.0","19314000","0.0","1427","0.0","14198500","0.0"
"2025-03-04","기타","1546","15459000","787","96.4","10339500","49.5","1434","7.8","13864787","11.5"
"2025-03-03","기타","2134","21137500",,"0.0",,"0.0","1442","48.0","13832220","52.8"
"2025-03-02","기타",,,,"0.0",,"0.0","1451","0.0","13690053","0.0"
"2025-03-01","기타","1550","15052000","1121","38.3","13421500","12.1","1481","4.7","13545753","11.1"
"2025-02-28","기타","1309","12312500","1294","1.2","14101000","-12.7","1434","-8.7","13503753","-8.8"
"2025-02-27","기타","1815","17939500","1330","36.5","15788500","13.6","1555","16.7","13376650","34.1"
"2025-02-26","기타","1776","18218500","960","85.0","11130000","63.7","1615","10.0","14253050","27.8"
"2025-02-25","기타","1645","15765000",,"0.0",,"0.0","1700","-3.2","14741283","6.9"
"2025-02-24","기타","2163","20436000","1092","98.1","13906500","47.0","1662","30.1","15039117","35.9"
"2025-02-23","기타",,,"1481","0.0","18203000","0.0","1621","0.0","15614383","0.0"
"2025-02-22","기타","1368","13504000","1268","7.9","16131000","-16.3","1496","-8.6","15473780","-12.7"
"2025-02-21","기타","2029","21343000","1377","47.3","18872500","13.1","1498","35.4","15066847","41.7"
