"芭贰老磊","前格疙","馆涝樊","陛咀","傈斥 馆涝樊","傈斥 馆涝樊 刘皑伏(%)","傈斥 陛咀","傈斥 陛咀 刘皑伏(%)","乞斥 馆涝樊","乞斥 馆涝樊 刘皑伏(%)","乞斥 陛咀","乞斥 陛咀 刘皑伏(%)"
"2025-06-30","全绊眠(老馆)","17974","64007500",,"0.0",,"0.0","16356","9.9","71440775","-10.4"
"2025-06-29","全绊眠(老馆)",,,"18128","0.0","87535500","0.0","16556","0.0","73394644","0.0"
"2025-06-28","全绊眠(老馆)","18405","65627820","12863","43.1","65521930","0.2","16972","8.4","80651449","-18.6"
"2025-06-27","全绊眠(老馆)","23103","111115500","13543","70.6","64863700","71.3","17210","34.2","82514406","34.7"
"2025-06-26","全绊眠(老馆)","14079","94343470","17583","-19.9","88561000","6.5","17866","-21.2","85100486","10.9"
"2025-06-25","全绊眠(老馆)","11799","75149900","14760","-20.1","85575300","-12.2","17705","-33.4","84547347","-11.1"
"2025-06-24","全绊眠(老馆)","10882","64290400","21916","-50.3","131845950","-51.2","17245","-36.9","85316726","-24.6"
"2025-06-23","全绊眠(老馆)","16810","97509050",,"0.0",,"0.0","16457","2.1","85471713","14.1"
"2025-06-22","全绊眠(老馆)",,,"16131","0.0","100545850","0.0","17266","0.0","86461413","0.0"
"2025-06-21","全绊眠(老馆)","12489","69783000","14766","-15.4","102358150","-31.8","17097","-27.0","85270258","-18.2"
"2025-06-20","全绊眠(老馆)","13030","83800100","11878","9.7","81887900","2.3","17123","-23.9","86681223","-3.3"
"2025-06-19","全绊眠(老馆)","12449","85315000","12053","3.3","79882350","6.8","16882","-26.3","86589285","-1.5"
"2025-06-18","全绊眠(老馆)","12250","92210900","15936","-23.1","102191550","-9.8","16341","-25.0","84953635","8.5"
"2025-06-17","全绊眠(老馆)","12543","96577300","16399","-23.5","99011400","-2.5","15897","-21.1","86085997","12.2"
"2025-06-16","全绊眠(老馆)","14473","116772730",,"0.0",,"0.0","16524","-12.4","91896037","27.1"
"2025-06-15","全绊眠(老馆)",,,"14281","0.0","80473460","0.0","15659","0.0","89711449","0.0"
"2025-06-14","全绊眠(老馆)","13363","107460900","15227","-12.2","90152750","19.2","15470","-13.6","90511762","18.7"
"2025-06-13","全绊眠(老馆)","14480","114523450","11106","30.4","66890650","71.2","15498","-6.6","86470407","32.4"
"2025-06-12","全绊眠(老馆)","9358","74941650","14084","-33.6","77995500","-3.9","15107","-38.1","80393156","-6.8"
"2025-06-11","全绊眠(老馆)","11711","77165500","13437","-12.8","79051800","-2.4","14462","-19.0","77146427","0.0"
"2025-06-10","全绊眠(老馆)","12477","74471600","16157","-22.8","97574550","-23.7","14861","-16.0","77063003","-3.4"
"2025-06-09","全绊眠(老馆)","17038","110641550",,"0.0",,"0.0","14642","16.4","81023637","36.6"
"2025-06-08","全绊眠(老馆)",,,"12586","0.0","68170450","0.0","14572","0.0","78767560","0.0"
"2025-06-07","全绊眠(老馆)","13584","86100700","14218","-4.5","78908700","9.1","14665","-7.4","76839533","12.1"
"2025-06-06","全绊眠(老馆)","9912","74861900","13506","-26.6","76748600","-2.5","15225","-34.9","76478018","-2.1"
"2025-06-05","全绊眠(老馆)","10042","60007300","12572","-20.1","80389050","-25.4","15469","-35.1","78586462","-23.6"
"2025-06-04","全绊眠(老馆)","12236","67865050","14297","-14.4","102381850","-33.7","15577","-21.4","75735432","-10.4"
"2025-06-03","全绊眠(老馆)","13598","73544000","17365","-21.7","133672550","-45.0","15282","-11.0","80398084","-8.5"
"2025-06-02","全绊眠(老馆)","16613","82491150",,"0.0",,"0.0","14520","14.4","83129482","-0.8"
"2025-06-01","全绊眠(老馆)",,,"11477","0.0","89717200","0.0","14396","0.0","86479451","0.0"
"2025-05-31","全绊眠(老馆)","14444","70797700","9788","47.6","81127750","-12.7","15261","-5.4","91706413","-22.8"
"2025-05-30","全绊眠(老馆)","11983","63902500","11144","7.5","96720650","-33.9","15785","-24.1","95093962","-32.8"
"2025-05-29","全绊眠(老馆)","9889","52059000","11413","-13.4","130604100","-60.1","15394","-35.8","91261113","-43.0"
"2025-05-28","全绊眠(老馆)","13396","69936100","10226","31.0","125953950","-44.5","14427","-7.1","85800758","-18.5"
"2025-05-27","全绊眠(老馆)","11132","56123500","11971","-7.0","139070250","-59.6","13867","-19.7","81643961","-31.3"
"2025-05-26","全绊眠(老馆)","15076","65557950",,"0.0",,"0.0","13493","11.7","79440734","-17.5"
"2025-05-25","全绊眠(老馆)",,,"10306","0.0","108059150","0.0","13844","0.0","81835316","0.0"
"2025-05-24","全绊眠(老馆)","12543","51663000","8993","39.5","101180100","-48.9","14111","-11.1","86682626","-40.4"
"2025-05-23","全绊眠(老馆)","13226","56056700","8746","51.2","85358850","-34.3","14523","-8.9","86642528","-35.3"
"2025-05-22","全绊眠(老馆)","13853","61754950","8262","67.7","78949400","-21.8","14391","-3.7","88553431","-30.3"
"2025-05-21","全绊眠(老馆)","14652","68583600","11363","28.9","95412550","-28.1","13437","9.0","84233973","-18.6"
"2025-05-20","全绊眠(老馆)","13055","68656800","17143","-23.8","141794900","-51.6","12633","3.3","80542721","-14.8"
"2025-05-19","全绊眠(老馆)","13934","72934650",,"0.0",,"0.0","12597","10.6","81351881","-10.3"
"2025-05-18","全绊眠(老馆)",,,"10248","0.0","72961650","0.0","12743","0.0","80948066","0.0"
"2025-05-17","全绊眠(老馆)","11509","59521550","9784","17.6","70919650","-16.1","12339","-6.7","76368405","-22.1"
"2025-05-16","全绊眠(老馆)","11685","63367000","9584","21.9","66625600","-4.9","12764","-8.5","75318180","-15.9"
"2025-05-15","全绊眠(老馆)","9394","54940400","8695","8.0","53689000","2.3","12418","-24.4","72740503","-24.5"
"2025-05-14","全绊眠(老馆)","10790","67041660","12990","-16.9","80938700","-17.2","12275","-12.1","71422157","-6.1"
"2025-05-13","全绊眠(老馆)","10779","68788480","10878","-0.9","66070000","4.1","11999","-10.2","69556917","-1.1"
"2025-05-12","全绊眠(老馆)","14804","105295000",,"0.0",,"0.0","11971","23.7","68254140","54.3"
"2025-05-11","全绊眠(老馆)",,,"11927","0.0","62109800","0.0","11762","0.0","66815400","0.0"
"2025-05-10","全绊眠(老馆)","10126","86477900","9839","2.9","54446800","58.8","12086","-16.2","68107120","27.0"
"2025-05-09","全绊眠(老馆)","7689","60411300","11664","-34.1","62007150","-2.6","11903","-35.4","71964493","-16.1"
"2025-05-08","全绊眠(老馆)","6905","47042500","9942","-30.5","65491750","-28.2","11819","-41.6","79122263","-40.5"
"2025-05-07","全绊眠(老馆)","8478","56531180","10683","-20.6","95863900","-41.0","11634","-27.1","77538795","-27.1"
"2025-05-06","全绊眠(老馆)","10730","71848300","13677","-21.5","171460900","-58.1","10999","-2.4","72649223","-1.1"
"2025-05-05","全绊眠(老馆)","12852","88465650",,"0.0",,"0.0","10840","18.6","74769862","18.3"
"2025-05-04","全绊眠(老馆)",,,"11325","0.0","164187200","0.0","11203","0.0","78434542","0.0"
"2025-05-03","全绊眠(老馆)","9187","78125350","8515","7.9","151206400","-48.3","11427","-19.6","79345050","-1.5"
"2025-05-02","全绊眠(老馆)","6739","49610400","10116","-33.4","180939300","-72.6","11534","-41.6","79001660","-37.2"
"2025-05-01","全绊眠(老馆)","8161","44708700","7163","13.9","144798400","-69.1","11520","-29.2","78045417","-42.7"
"2025-04-30","全绊眠(老馆)","8447","48325300","6130","37.8","123023300","-60.7","10416","-18.9","72722427","-33.5"
"2025-04-29","全绊眠(老馆)","9557","56936300","8132","17.5","150004600","-62.0","10044","-4.8","67660178","-15.8"
"2025-04-28","全绊眠(老馆)","10430","63418200",,"0.0",,"0.0","9766","6.8","66251645","-4.3"
"2025-04-27","全绊眠(老馆)",,,"8727","0.0","148963850","0.0","9621","0.0","69063373","0.0"
"2025-04-26","全绊眠(老馆)","10470","58880050","7226","44.9","139675200","-57.8","9839","6.4","78735787","-25.2"
"2025-04-25","全绊眠(老馆)","8959","59332200","6497","37.9","127243400","-53.4","10310","-13.1","87921474","-32.5"
