"거래일자","품목명","반입량","금액","전년 반입량","전년 반입량 증감률(%)","전년 금액","전년 금액 증감률(%)","평년 반입량","평년 반입량 증감률(%)","평년 금액","평년 금액 증감률(%)"
"2025-06-30","기타","2304","7841100",,"0.0",,"0.0","2434","-5.3","9649230","-18.7"
"2025-06-29","기타",,,"1213","0.0","6298400","0.0","2234","0.0","9758337","0.0"
"2025-06-28","기타","3427","7944700","2793","22.7","9424900","-15.7","2536","35.1","10678390","-25.6"
"2025-06-27","기타","5274","12985800","4939","6.8","12059700","7.7","3287","60.5","11310857","14.8"
"2025-06-26","기타","2040","5345200","3203","-36.3","6045000","-11.6","3450","-40.9","10360623","-48.4"
"2025-06-25","기타","3230","6994500","6151","-47.5","15278700","-54.2","3880","-16.8","11290827","-38.1"
"2025-06-24","기타","2787","7276500","1896","47.0","5129200","41.9","4041","-31.0","12573753","-42.1"
"2025-06-23","기타","3456","8151200",,"0.0",,"0.0","4212","-17.9","13263687","-38.5"
"2025-06-22","기타",,,"4603","0.0","10683000","0.0","4495","0.0","13096857","0.0"
"2025-06-21","기타","180","793600","6937","-97.4","18508800","-95.7","4952","-96.4","13636760","-94.2"
"2025-06-20","기타","1326","3483600","5231","-74.7","8774600","-60.3","4772","-72.2","13294173","-73.8"
"2025-06-19","기타","1456","4416400","4462","-67.4","9864700","-55.2","4649","-68.7","12448767","-64.5"
"2025-06-18","기타","1082","3298800","2507","-56.8","6693400","-50.7","3709","-70.8","11230067","-70.6"
"2025-06-17","기타","412","1223300","3781","-89.1","10192200","-88.0","2971","-86.1","9821427","-87.5"
"2025-06-16","기타","150","270000",,"0.0",,"0.0","2367","-93.7","7622373","-96.5"
"2025-06-15","기타",,,"1259","0.0","3611200","0.0","2019","0.0","6063260","0.0"
"2025-06-14","기타","240","890000","1121","-78.6","3946900","-77.5","1490","-83.9","4552703","-80.5"
"2025-06-13","기타","380","945000","51","645.1","223000","323.8","1242","-69.4","3561227","-73.5"
"2025-06-12","기타",,,"213","0.0","516700","0.0","920","0.0","2618427","0.0"
"2025-06-11","기타","132","502500","1371","-90.4","2998100","-83.2","1212","-89.1","4616310","-89.1"
"2025-06-10","기타","50","150000","90","-44.4","341000","-56.0","1091","-95.4","3539565","-95.8"
"2025-06-09","기타",,,,"0.0",,"0.0","1180","0.0","3133255","0.0"
"2025-06-08","기타",,,"284","0.0","1152500","0.0","1224","0.0","3213387","0.0"
"2025-06-07","기타","129","446500","96","34.4","261000","71.1","1260","-89.8","3297037","-86.5"
"2025-06-06","기타",,,,"0.0",,"0.0","1157","0.0","2770938","0.0"
"2025-06-05","기타",,,"557","0.0","1703000","0.0","950","0.0","2485505","0.0"
"2025-06-04","기타",,,,"0.0",,"0.0","819","0.0","3095730","0.0"
"2025-06-03","기타","20","68000",,"0.0",,"0.0","660","-97.0","2720420","-97.5"
"2025-06-02","기타","36","108000",,"0.0",,"0.0","1816","-98.0","6889720","-98.4"
"2025-06-01","기타",,,,"0.0",,"0.0","2495","0.0","9201540","0.0"
"2025-05-31","기타",,,,"0.0",,"0.0","2726","0.0","9845780","0.0"
"2025-05-30","기타",,,,"0.0",,"0.0","3165","0.0","11639860","0.0"
"2025-05-29","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-28","기타","150","495000",,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-27","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-26","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-25","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-24","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-23","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-22","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-21","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-20","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-19","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-18","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-17","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-16","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-15","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-14","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-13","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-12","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-11","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-10","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-09","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-08","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-07","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-06","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-05","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-04","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-03","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-02","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-01","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-30","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-29","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-28","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-27","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-26","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-25","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-24","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-23","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-22","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-21","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
